city_name,latitude,longitude
Abbeville,34.17817,-82.37901
Abbeville,34.22257,-82.45871
Aiken,33.56042,-81.71955
Aiken County,33.54437,-81.63474
Allendale,33.00793,-81.30844
Allendale,32.98811,-81.3582
Anderson,34.50344,-82.65013
Anderson,34.51909,-82.63788
Andrews,33.45128,-79.5609
Arcadia,34.95818,-81.99066
Arial,34.84595,-82.64152
Awendaw,33.03767,-79.61313
Bamberg,33.2971,-81.03482
Bamberg,33.21477,-81.05423
Barnwell,33.24487,-81.35872
Barnwell,33.26606,-81.43502
Batesburg,33.90792,-81.54733
Batesburg-Leesville,33.91014,-81.53733
Beaufort,32.43158,-80.66983
Beaufort County,32.35706,-80.69217
Belton,34.52289,-82.49429
Belvedere,33.53097,-81.94484
Bennettsville,34.61738,-79.68478
Berea,34.8854,-82.45596
Berkeley,33.19768,-79.95099
Bishopville,34.21821,-80.24841
Blacksburg,35.12124,-81.51592
Blackville,33.35793,-81.27066
Bluffton,32.23715,-80.86039
Blythewood,34.21432,-80.97398
Boiling Springs,35.04651,-81.98177
Bonneau Beach,33.31989,-80.00036
Brookdale,33.50682,-80.82342
Buffalo,34.72569,-81.68343
Burnettown,33.51541,-81.849
Burton,32.43575,-80.724
Calhoun County,33.67486,-80.78028
Calhoun Falls,34.09234,-82.59569
Camden,34.24654,-80.60702
Cane Savannah,33.90182,-80.45036
Catawba,34.85292,-80.91119
Cayce,33.96571,-81.07398
Centerville,34.53205,-82.70402
Central,34.72427,-82.78125
Chapin,34.16598,-81.34982
Charleston,32.77657,-79.93092
Charleston County,32.74917,-79.94202
Cheraw,34.69766,-79.8834
Cherokee County,35.0482,-81.62039
Cherryvale,33.95571,-80.45814
Chester,34.70486,-81.21426
Chester County,34.69206,-81.15953
Chesterfield,34.73599,-80.08812
Chesterfield County,34.63978,-80.15872
City View,34.86151,-82.43151
Clarendon,33.66581,-80.2164
Clearwater,33.4968,-81.89206
Clemson,34.68344,-82.83737
Clinton,34.47263,-81.88066
Clover,35.11125,-81.22646
Colleton,32.84343,-80.64968
Columbia,34.00071,-81.03481
Conway,33.836,-79.04781
Cowpens,35.01679,-81.80399
Dalzell,34.01682,-80.43008
Darlington,34.29988,-79.87617
Darlington County,34.33235,-79.95769
Denmark,33.32265,-81.14232
Dentsville,34.06404,-80.95815
Dillon,34.41655,-79.37116
Dillon County,34.39152,-79.37893
Dorchester,33.07949,-80.40556
Due West,34.33345,-82.3879
Duncan,34.9379,-82.14511
Dunean,34.82484,-82.41929
Easley,34.82984,-82.60152
East Gaffney,35.08013,-81.63287
East Sumter,33.92544,-80.29619
Edgefield,33.78958,-81.92956
Edgefield County,33.77229,-81.96658
Edisto,33.47654,-80.8987
Elgin,34.67293,-80.71896
Estill,32.75489,-81.24205
Eureka Mill,34.71764,-81.1937
Fairfax,32.95905,-81.2365
Fairfield County,34.39511,-81.12123
Fairforest,34.95651,-82.01011
Five Forks,34.80484,-82.22956
Florence,34.19543,-79.76256
Florence County,34.02439,-79.70282
Folly Beach,32.65518,-79.94037
Forest Acres,34.01932,-80.98981
Forestbrook,33.72239,-78.95809
Fort Mill,35.00737,-80.94508
Fountain Inn,34.68901,-82.19567
Gadsden,33.84571,-80.76592
Gaffney,35.07179,-81.64982
Gantt,34.80012,-82.42429
Garden City,33.59295,-79.00865
Gaston,33.8171,-81.10093
Georgetown,33.37683,-79.2945
Georgetown County,33.41275,-79.29934
Gloverville,33.52597,-81.83011
Golden Grove,34.73401,-82.44374
Goose Creek,32.98101,-80.03259
Graniteville,33.56375,-81.80789
Great Falls,34.57514,-80.90202
Greenville,34.85262,-82.39401
Greenville County,34.89431,-82.37072
Greenwood,34.1954,-82.16179
Greenwood County,34.15383,-82.12593
Greer,34.93873,-82.22706
Hampton,32.87794,-81.12761
Hampton County,32.77628,-81.1407
Hanahan,32.91851,-80.02203
Hardeeville,32.28714,-81.08067
Hartsville,34.37404,-80.0734
Hilton Head,32.21632,-80.75261
Hilton Head Island,32.19382,-80.73816
Holly Hill,33.32266,-80.4137
Hollywood,32.73434,-80.24177
Homeland Park,34.47066,-82.67069
Honea Path,34.4465,-82.39151
Hopkins,33.90432,-80.87703
Horry,33.90448,-78.97615
India Hook,35.00737,-81.02174
Inman,35.04706,-82.09011
Inman Mills,35.04151,-82.10428
Irmo,34.08598,-81.18315
Irwin,34.69376,-80.82229
Isle of Palms,32.78684,-79.7948
Iva,34.3065,-82.66374
Jackson,33.32542,-81.78789
James Island,32.72374,-79.96284
Jasper,32.42195,-81.02327
Joanna,34.41491,-81.8124
Johnsonville,33.81794,-79.44922
Johnston,33.83208,-81.80094
Judson,34.83317,-82.42762
Kershaw,34.55182,-80.58368
Kershaw,34.33876,-80.59026
Kiawah Island,32.60824,-80.08482
Kingstree,33.66766,-79.83063
Ladson,32.98573,-80.10981
Lake,33.871,-79.75535
Lake Murray of Richland,34.12048,-81.2645
Lake Secession,34.28455,-82.59457
Lake Wylie,35.10848,-81.04285
Lakewood,33.84683,-80.35008
Lancaster,34.72043,-80.7709
Lancaster,34.6867,-80.70543
Lancaster Mill,34.70931,-80.79479
Landrum,35.17511,-82.18928
Langley,33.51791,-81.844
Latta,34.3371,-79.43116
Laurel Bay,32.45019,-80.78483
Laurens,34.49901,-82.01426
Laurens,34.48357,-82.00593
Lee,34.16329,-80.25452
Leesville,33.91653,-81.51344
Lesslie,34.8907,-80.95647
Lexington,33.98154,-81.23621
Lexington,33.90233,-81.27219
Liberty,34.78789,-82.69236
Lincolnville,33.00684,-80.15537
Little River,33.87323,-78.61418
Loris,34.05628,-78.8903
Lugoff,34.22737,-80.68925
Lyman,34.94817,-82.12733
Manning,33.69516,-80.21091
Marion,34.17822,-79.40061
Marion County,34.08006,-79.36251
Marlboro,34.60199,-79.67863
Mauldin,34.77873,-82.31012
Mayo,35.08401,-81.85983
McColl,34.66877,-79.54533
McCormick,33.91346,-82.29346
McCormick County,33.89955,-82.30988
Meggett,32.71796,-80.23899
Monarch Mill,34.7161,-81.585
Moncks Corner,33.19632,-80.01429
Mount Pleasant,32.79407,-79.86259
Mullins,34.20572,-79.25449
Murphys Estates,33.60125,-81.94428
Murrells Inlet,33.551,-79.04143
Myrtle Beach,33.68906,-78.88669
New Ellenton,33.42153,-81.68567
Newberry,34.27458,-81.61872
Newberry County,34.28981,-81.60012
