city_name,latitude,longitude
Aberdeen,45.4647,-98.48648
Alexandria,43.65359,-97.78285
Armour,43.3186,-98.34675
Aurora,43.71801,-98.56155
Baltic,43.76136,-96.74033
Beadle,44.41448,-98.27811
Belle Fourche,44.67137,-103.85215
Bennett,43.19492,-101.66397
Beresford,43.08054,-96.77366
Bison,45.52026,-102.46127
Blackhawk,44.1511,-103.30796
Bon Homme,42.98837,-97.88463
Box Elder,44.11249,-103.06823
Brandon,43.5947,-96.57199
Britton,45.79162,-97.75094
Brookings,44.31136,-96.79839
Brookings County,44.36968,-96.79042
Brown,45.58972,-98.35161
Brule,43.71806,-99.08094
Buffalo,45.58416,-103.54603
Buffalo County,44.07635,-99.20496
Burke,43.1825,-99.29205
Butte,44.90583,-103.50802
Campbell,45.77113,-100.05163
Canton,43.30081,-96.59282
Chamberlain,43.81083,-99.33066
Charles Mix,43.20791,-98.58789
Clark,44.87774,-97.73314
Clark County,44.85825,-97.7295
Clay County,42.91465,-96.97566
Clear Lake,44.7458,-96.68256
Codington,44.97785,-97.18862
Colonial Pine Hills,44.00777,-103.31546
Corson,45.7086,-101.19687
Crooks,43.6647,-96.81089
Custer,43.76665,-103.59881
Custer County,43.67763,-103.45154
Dakota Dunes,42.48749,-96.48642
Davison,43.67474,-98.146
Day,45.36715,-97.60741
De Smet,44.38747,-97.55035
Deadwood,44.37665,-103.72964
Dell Rapids,43.82608,-96.70616
Deuel,44.76006,-96.66797
Dewey County,45.15662,-100.87186
Douglas County,43.38692,-98.3661
Dupree,45.04748,-101.60099
Eagle Butte,45.00248,-101.23349
Edmunds,45.4188,-99.21533
Elk Point,42.68333,-96.68365
Fall River,43.23939,-103.52756
Faulk,45.07101,-99.14525
Faulkton,45.03497,-99.124
Flandreau,44.04942,-96.59532
Fort Pierre,44.35359,-100.37374
Fort Thompson,44.0686,-99.43788
Freeman,43.35249,-97.43729
Garretson,43.71747,-96.50282
Gettysburg,45.01165,-99.95567
Grant County,45.17194,-96.76769
Gregory,43.23222,-99.43038
Gregory County,43.19238,-99.18561
Groton,45.44746,-98.09871
Haakon,44.29443,-101.53999
Hamlin,44.67376,-97.18833
Hand,44.54778,-99.00494
Hanson,43.67482,-97.78734
Harding,45.58035,-103.49577
Harrisburg,43.43137,-96.69727
Hartford,43.62303,-96.94255
Hayti,44.65719,-97.20507
Highmore,44.52137,-99.4415
Hot Springs,43.43165,-103.47436
Howard,44.01081,-97.52674
Hughes,44.38903,-99.99605
Huron,44.36332,-98.21426
Hutchinson,43.33485,-97.75442
Hyde,44.54736,-99.48711
Ipswich,45.44442,-99.02928
Jackson County,43.69421,-101.62813
Jerauld,44.06635,-98.62973
Jones,43.96061,-100.68972
Kadoka,43.83388,-101.50987
Kennebec,43.9036,-99.86178
Kingsbury,44.36959,-97.49148
Lake,44.02204,-97.12938
Lake Andes,43.15638,-98.54147
Lawrence County,44.35863,-103.79222
Lead,44.35221,-103.7652
Lemmon,45.94083,-102.15932
Lennox,43.35415,-96.892
Leola,45.72275,-98.94094
Lincoln County,43.27892,-96.72182
Lyman County,43.89582,-99.84738
Madison,44.00608,-97.11395
Marshall County,45.75867,-97.5985
Martin,43.1725,-101.73265
McCook,43.67431,-97.36844
McIntosh,45.92139,-101.34958
McPherson County,45.76637,-99.22146
Meade County,44.56684,-102.71687
Mellette,43.58127,-100.75999
Milbank,45.21913,-96.63562
Miller,44.51831,-98.98843
Miner,44.02195,-97.61025
Minnehaha,43.67418,-96.79144
Mission,43.30584,-100.65819
Mitchell,43.70943,-98.0298
Mobridge,45.53722,-100.42791
Moody,44.02201,-96.67092
Mound City,45.72527,-100.06845
Murdo,43.88832,-100.71291
North Eagle Butte,45.00415,-101.23376
North Sioux City,42.52722,-96.48309
North Spearfish,44.50665,-103.89215
Oglala,43.18859,-102.73962
Oglala Lakota,43.33559,-102.55162
Olivet,43.24082,-97.67534
Onida,44.70804,-100.05984
Parker,43.39748,-97.13645
Parkston,43.39888,-97.98368
Pennington,44.00373,-102.82383
Perkins,45.49051,-102.47563
Philip,44.03943,-101.66514
Pierre,44.36832,-100.35097
Pine Ridge,43.02554,-102.55627
Plankinton,43.71555,-98.48509
Platte,43.38694,-98.84453
Porcupine,43.23971,-102.33099
Potter,45.0645,-99.95725
Rapid City,44.08054,-103.23101
Rapid Valley,44.06249,-103.14629
Redfield,44.87581,-98.51871
Roberts,45.62965,-96.94612
Rosebud,43.23278,-100.85348
Salem,43.72415,-97.38895
Sanborn,44.02345,-98.09139
Selby,45.50638,-100.03207
Sioux Falls,43.54997,-96.70033
Sisseton,45.66468,-97.0498
Spearfish,44.49082,-103.85937
Spink,44.93802,-98.34619
Springfield,42.85417,-97.89729
Stanley,44.41232,-100.73594
Sturgis,44.40971,-103.50908
Sully,44.71558,-100.1322
Summerset,44.18998,-103.34384
Tea,43.44637,-96.83588
Timber Lake,45.42915,-101.07403
Todd,43.19337,-100.71841
Tripp,43.34587,-99.884
Turner,43.31087,-97.14866
Tyndall,42.99333,-97.86285
Union County,42.83249,-96.65609
Vermillion,42.77944,-96.92921
Volga,44.32358,-96.92645
Wagner,43.07972,-98.29313
Walworth County,45.42995,-100.03156
Watertown,44.89941,-97.11507
Webster,45.33218,-97.52009
Wessington Springs,44.07916,-98.56954
White River,43.56805,-100.74542
Winner,43.37667,-99.85901
Woonsocket,44.0536,-98.27564
Yankton,42.87111,-97.39728
Yankton County,43.00897,-97.39475
Ziebach,44.98041,-101.66586
