city_name,latitude,longitude
Abernathy,33.8323,-101.84295
Abilene,32.44874,-99.73314
Abram,26.1998,-98.41113
Addison,32.96179,-96.82917
Agua Dulce,31.65511,-106.13887
Alamo,26.18369,-98.12306
Alamo Heights,29.48495,-98.46585
Albany,32.72345,-99.2973
Aldine,29.93245,-95.38021
Aledo,32.69596,-97.60225
Alice,27.75225,-98.06972
Alief,29.71106,-95.59633
Allen,33.10317,-96.67055
Alpine,30.35862,-103.66206
Alto,31.65045,-95.07272
Alton,26.28729,-98.31335
Alton North (historical),26.29535,-98.30446
Alvarado,32.40653,-97.21168
Alvin,29.42385,-95.2441
Alvord,33.35845,-97.69475
Amarillo,35.222,-101.8313
Ames,30.05383,-94.74353
Anahuac,29.773,-94.6827
Anderson,30.48715,-95.9869
Anderson County,31.81333,-95.65255
Anderson Mill,30.45492,-97.80584
Andrews,32.31872,-102.54572
Andrews County,32.30503,-102.63781
Angelina,31.25476,-94.61185
Angleton,29.16941,-95.43188
Anna,33.349,-96.5486
Annetta,32.7093,-97.67614
Anson,32.7565,-99.89621
Anthony,31.99927,-106.60555
Anton,33.8112,-102.16379
Aransas,28.01501,-97.07382
Aransas Pass,27.90947,-97.14999
Archer,33.61525,-98.68765
Archer City,33.59566,-98.62561
Arcola,29.49607,-95.46578
Argyle,33.12123,-97.18335
Arlington,32.73569,-97.10807
Armstrong,34.96493,-101.3574
Asherton,28.44193,-99.76033
Aspermont,33.13343,-100.22733
Atascocita,29.99883,-95.1766
Atascosa,28.89352,-98.52713
Athens,32.20487,-95.85552
Atlanta,33.11374,-94.16435
Aubrey,33.30428,-96.98612
Aurora,33.06068,-97.50336
Austin,30.26715,-97.74306
Austin County,29.88702,-96.27791
Azle,32.89513,-97.54586
Bacliff,29.5069,-94.99243
Bailey,34.06852,-102.82987
Baird,32.39402,-99.39424
Balch Springs,32.72874,-96.62277
Balcones Heights,29.48801,-98.55169
Ballinger,31.73821,-99.94731
Bandera,29.72661,-99.07365
Bandera County,29.74721,-99.24624
Bangs,31.7171,-99.13255
Barrett,29.87995,-95.06298
Bartlett,30.79491,-97.42556
Barton Creek,30.28521,-97.86917
Bartonville,33.07318,-97.13168
Bastrop,30.11049,-97.31527
Bastrop County,30.10361,-97.31201
Batesville,28.95108,-99.61783
