city_name,latitude,longitude
Addison,44.08867,-73.30262
Addison County,44.03091,-73.14094
Arlington,43.0748,-73.154
Barre,44.19701,-72.50205
Bellows Falls,43.13341,-72.44398
Bennington,42.87813,-73.19677
Bennington County,43.03546,-73.09295
Brandon,43.79812,-73.08761
Brattleboro,42.85092,-72.55787
Bridport,43.98506,-73.31262
Bristol,44.13339,-73.07901
Burlington,44.47588,-73.21207
Caledonia,44.46472,-72.10219
Castleton,43.61062,-73.17983
Charlotte,44.30977,-73.26096
Chelsea,43.98979,-72.4476
Chester,43.26285,-72.59509
Chittenden,43.70784,-72.94816
Chittenden County,44.46098,-73.08092
Clarendon,43.51618,-72.96983
Colchester,44.54394,-73.14791
Danby,43.34618,-72.99538
Dover,42.94369,-72.80399
Enosburg Falls,44.90699,-72.80652
Essex County,44.72779,-71.73605
Essex Junction,44.49061,-73.11096
Fair Haven,43.59479,-73.26567
Ferrisburgh,44.20561,-73.24623
Franklin County,44.85748,-72.912
Grand Isle,44.79683,-73.29483
Guildhall,44.56506,-71.55981
Hardwick,44.50478,-72.36816
Hartford,43.66063,-72.33842
Hinesburg,44.32922,-73.11068
Hyde Park,44.59394,-72.61651
Jamaica,43.10036,-72.77843
Jericho,44.50394,-72.99763
Johnson,44.63561,-72.6804
Lamoille,44.60576,-72.64145
Leicester,43.86673,-73.10789
Lincoln,44.10589,-72.99706
Londonderry,43.22646,-72.80649
Lunenburg,44.46311,-71.68203
Lyndon,44.51422,-72.01093
Lyndonville,44.53367,-72.00315
Manchester Center,43.17702,-73.05705
Mendon,43.65198,-72.9278
Middlebury (village),44.01553,-73.16937
Milton,44.63977,-73.11041
Montgomery,44.90255,-72.63818
Montpelier,44.26006,-72.57539
Moretown,44.25089,-72.76095
Morristown,44.55727,-72.62373
Morrisville,44.56172,-72.59845
Mount Holly,43.45229,-72.82482
Newfane,42.98564,-72.65593
Newport,44.93644,-72.2051
North Bennington,42.93036,-73.24261
North Hero,44.83125,-73.27323
Northfield,44.15117,-72.6565
Orange County,44.0056,-72.37661
Orleans,44.82881,-72.24381
Pawlet,43.34674,-73.17622
Poultney,43.51701,-73.23622
Pownal,42.76564,-73.23594
Randolph,43.92507,-72.66594
Richford,44.99699,-72.67124
Rockingham,43.18758,-72.48898
Rutland,43.61062,-72.97261
Rutland County,43.58009,-73.03661
Saint Albans,44.81088,-73.08319
Saint Johnsbury,44.41922,-72.01509
Salisbury,43.89645,-73.09984
South Barre,44.17701,-72.50566
South Burlington,44.46699,-73.17096
Springfield,43.29841,-72.48231
St Johnsbury,44.42526,-72.01512
Starksboro,44.22728,-73.05734
Stowe,44.46533,-72.68456
Swanton,44.9181,-73.1243
Townshend,43.0473,-72.66759
Vergennes,44.16728,-73.25401
Washington,44.10562,-72.4326
Washington County,44.27342,-72.6149
Waterbury,44.33783,-72.75623
West Brattleboro,42.85592,-72.60315
West Rutland,43.59312,-73.04511
White River Junction,43.64896,-72.31926
Wilder,43.67285,-72.3087
Williamstown,44.12173,-72.54149
Williston,44.43755,-73.06818
Windham County,42.99059,-72.71384
Windsor,43.48035,-72.38481
Windsor County,43.58,-72.58624
Winooski,44.49144,-73.18568
Woodstock,43.62424,-72.51843
