country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
AU,Australia,Australia,2620,Paddys River,Australian Capital Territory,ACT,Snowy Monaro,17040,,,-35.4404,149.2114,3,paddys-river
AU,Australia,Australia,2620,Tharwa,Australian Capital Territory,ACT,Snowy Monaro,17040,,,-35.5167,149.0667,4,tharwa
AU,Australia,Australia,2620,Williamsdale,Australian Capital Territory,ACT,Snowy Monaro,17040,,,-35.4404,149.2114,3,williamsdale
AU,Australia,Australia,2620,Kowen Forest,Australian Capital Territory,ACT,Snowy Monaro,17040,,,-35.4404,149.2114,3,kowen-forest
AU,Australia,Australia,2620,Hume,Australian Capital Territory,ACT,Snowy Monaro,17040,,,-35.3855,149.1658,4,hume
AU,Australia,Australia,2620,Top Naas,Australian Capital Territory,ACT,Snowy Monaro,17040,,,-35.4404,149.2114,3,top-naas
AU,Australia,Australia,2620,Oaks Estate,Australian Capital Territory,ACT,Snowy Monaro,17040,,,-35.34,149.228,4,oaks-estate
AU,Australia,Australia,2620,Beard,Australian Capital Territory,ACT,Snowy Monaro,17040,,,-35.3422,149.2101,4,beard
AU,Australia,Australia,2620,Kowen,Australian Capital Territory,ACT,Snowy Monaro,17040,,,-35.3129,149.3162,4,kowen
AU,Australia,Australia,2611,Waramanga,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.353,149.0621,4,waramanga
AU,Australia,Australia,2611,Stirling,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3497,149.0493,4,stirling
AU,Australia,Australia,2611,Denman Prospect,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.2996,149.0207,4,denman-prospect
AU,Australia,Australia,2611,Rivett,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3471,149.0379,4,rivett
AU,Australia,Australia,2611,Weston,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3358,149.0593,4,weston
AU,Australia,Australia,2611,Fisher,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3613,149.057,4,fisher
AU,Australia,Australia,2611,Whitlam,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3497,148.9986,3,whitlam
AU,Australia,Australia,2611,Coombs,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3163,149.0394,4,coombs
AU,Australia,Australia,2611,Stromlo,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3255,148.9993,4,stromlo
AU,Australia,Australia,2611,Wright,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3224,149.0346,4,wright
AU,Australia,Australia,2611,Mount Stromlo,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3497,148.9986,3,mount-stromlo
AU,Australia,Australia,2611,Chapman,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3562,149.0374,4,chapman
AU,Australia,Australia,2611,Coree,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.2794,148.9194,4,coree
AU,Australia,Australia,2611,Duffy,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3346,149.0319,4,duffy
AU,Australia,Australia,2611,Pierces Creek,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3497,148.9986,3,pierces-creek
AU,Australia,Australia,2611,Uriarra Village,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.2947,148.9256,4,uriarra-village
AU,Australia,Australia,2611,Holder,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3344,149.0461,4,holder
AU,Australia,Australia,2611,Uriarra Forest,Australian Capital Territory,ACT,Snowy Valleys,17080,,,-35.3497,148.9986,3,uriarra-forest
