country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
BY,Belarus,Bielorrusia,225110,Жабинка,Brest,01,Jabinka,618911,,,52.1904,23.9143,1,
BY,Belarus,Bielorrusia,225111,Ленинский,Brest,01,Jabinka,618911,,,52.1904,23.9143,1,
BY,Belarus,Bielorrusia,225112,Чижевщина,Brest,01,Jabinka,618911,,,52.1904,23.9143,1,
BY,Belarus,Bielorrusia,225114,Озяты,Brest,01,Jabinka,618911,,,52.1904,23.9143,1,
BY,Belarus,Bielorrusia,225115,Федьковичи,Brest,01,Jabinka,618911,,,52.1531,24.0502,4,
BY,Belarus,Bielorrusia,225116,Ракитница,Brest,01,Jabinka,618911,,,52.1346,23.9871,4,
BY,Belarus,Bielorrusia,225117,Орепичи,Brest,01,Jabinka,618911,,,52.3164,23.9941,4,
BY,Belarus,Bielorrusia,225118,Старое Село,Brest,01,Jabinka,618911,,,52.1575,23.6258,4,
BY,Belarus,Bielorrusia,225119,Санаторий Буг,Brest,01,Jabinka,618911,,,52.1904,23.9143,1,
BY,Belarus,Bielorrusia,225120,Соколово,Brest,01,Jabinka,618911,,,52.5408,25.0748,4,
BY,Belarus,Bielorrusia,225121,Большие Яковчицы,Brest,01,Jabinka,618911,,,52.3261,24.2954,1,
BY,Belarus,Bielorrusia,225122,Кривляны,Brest,01,Jabinka,618911,,,52.3928,23.9875,4,
BY,Belarus,Bielorrusia,225123,Подлесье,Brest,01,Jabinka,618911,,,52.1822,24.7651,4,
BY,Belarus,Bielorrusia,225124,Степанки,Brest,01,Jabinka,618911,,,52.2698,23.9954,4,
BY,Belarus,Bielorrusia,225125,Вежки,Brest,01,Jabinka,618911,,,52.3191,24.043,4,
BY,Belarus,Bielorrusia,225127,Хмелево,Brest,01,Jabinka,618911,,,52.2516,23.9065,4,
BY,Belarus,Bielorrusia,225128,Матеевичи,Brest,01,Jabinka,618911,,,52.3261,24.2954,1,
BY,Belarus,Bielorrusia,225502,Речица,Brest,01,Stolin,621276,,,51.9891,26.987,1,
BY,Belarus,Bielorrusia,225510,Столин,Brest,01,Stolin,621276,,,51.8911,26.846,4,
BY,Belarus,Bielorrusia,225511,Струга,Brest,01,Stolin,621276,,,51.8519,26.8929,4,
BY,Belarus,Bielorrusia,225512,Рухча 2,Brest,01,Stolin,621276,,,51.9792,26.7167,1,2
BY,Belarus,Bielorrusia,225513,Плотница,Brest,01,Stolin,621276,,,52.0192,26.6146,4,
BY,Belarus,Bielorrusia,225514,Хорск,Brest,01,Stolin,621276,,,52.0746,27.1991,4,
BY,Belarus,Bielorrusia,225515,Стахово,Brest,01,Stolin,621276,,,52.0812,26.7163,4,
BY,Belarus,Bielorrusia,225516,Осовцы,Brest,01,Stolin,621276,,,52.087,25.2309,4,
BY,Belarus,Bielorrusia,225517,Ольпень,Brest,01,Stolin,621276,,,52.0191,27.1692,4,
BY,Belarus,Bielorrusia,225519,Ольманы,Brest,01,Stolin,621276,,,51.8096,27.065,4,
BY,Belarus,Bielorrusia,225521,Ворони,Brest,01,Stolin,621276,,,51.8282,26.826,4,
BY,Belarus,Bielorrusia,225522,Городная,Brest,01,Stolin,621276,,,51.9075,26.5758,1,
BY,Belarus,Bielorrusia,225523,Колодное,Brest,01,Stolin,621276,,,51.9075,26.5758,1,
BY,Belarus,Bielorrusia,225524,Федоры,Brest,01,Stolin,621276,,,51.9486,26.3989,4,
BY,Belarus,Bielorrusia,225525,Радчицк,Brest,01,Stolin,621276,,,51.9075,26.5758,1,
BY,Belarus,Bielorrusia,225526,Глинка,Brest,01,Stolin,621276,,,51.9248,26.6744,4,
BY,Belarus,Bielorrusia,225527,Нечатово,Brest,01,Stolin,621276,,,51.9285,26.4041,4,
BY,Belarus,Bielorrusia,225528,Верхний Теребежов,Brest,01,Stolin,621276,,,51.9075,26.5758,1,
BY,Belarus,Bielorrusia,225530,Маньковичи,Brest,01,Stolin,621276,,,51.9035,26.8733,4,
BY,Belarus,Bielorrusia,225531,Белоуша,Brest,01,Stolin,621276,,,51.938,26.9075,4,
BY,Belarus,Bielorrusia,225532,Бережное,Brest,01,Stolin,621276,,,51.965,26.9392,1,
BY,Belarus,Bielorrusia,225533,Рубель,Brest,01,Stolin,621276,,,51.9756,27.067,4,
BY,Belarus,Bielorrusia,225534,Хотомель,Brest,01,Stolin,621276,,,51.9532,27.0507,4,
BY,Belarus,Bielorrusia,225535,Дубой,Brest,01,Stolin,621276,,,52.03,26.8651,4,
BY,Belarus,Bielorrusia,225536,Видибор,Brest,01,Stolin,621276,,,51.9848,26.7663,4,
BY,Belarus,Bielorrusia,225537,Отвержичи,Brest,01,Stolin,621276,,,51.9126,26.9257,4,
BY,Belarus,Bielorrusia,225538,Уголец,Brest,01,Stolin,621276,,,52.0219,27.0577,4,
BY,Belarus,Bielorrusia,225539,Деревная,Brest,01,Stolin,621276,,,51.965,26.9392,1,
BY,Belarus,Bielorrusia,225540,Давид - Городок,Brest,01,Stolin,621276,,,52.0566,27.2161,4,
BY,Belarus,Bielorrusia,225541,Туры,Brest,01,Stolin,621276,,,52.0628,27.1677,4,
BY,Belarus,Bielorrusia,225542,Лядец,Brest,01,Stolin,621276,,,52.0087,27.0645,1,
BY,Belarus,Bielorrusia,225543,Большие Орлы,Brest,01,Stolin,621276,,,52.0538,27.0529,4,
BY,Belarus,Bielorrusia,225544,Хоромск,Brest,01,Stolin,621276,,,52.0242,27.11,4,
BY,Belarus,Bielorrusia,225545,Дубенец,Brest,01,Stolin,621276,,,52.0379,26.9819,4,
BY,Belarus,Bielorrusia,225546,Бор Дубенецкий,Brest,01,Stolin,621276,,,52.0018,26.9187,4,
BY,Belarus,Bielorrusia,225547,Бухличи,Brest,01,Stolin,621276,,,51.798,26.7755,4,
BY,Belarus,Bielorrusia,225548,Турское,Brest,01,Stolin,621276,,,52.0345,27.2933,4,
BY,Belarus,Bielorrusia,225550,Велемичи,Brest,01,Stolin,621276,,,52.0188,27.2349,4,
BY,Belarus,Bielorrusia,225551,Ремель,Brest,01,Stolin,621276,,,52.0407,27.3396,4,
BY,Belarus,Bielorrusia,225552,Теребличи,Brest,01,Stolin,621276,,,52.0144,27.44,4,
BY,Belarus,Bielorrusia,225553,Оздамичи,Brest,01,Stolin,621276,,,52.0469,27.4824,4,
BY,Belarus,Bielorrusia,225554,Коротичи,Brest,01,Stolin,621276,,,52.0129,27.5449,4,
BY,Belarus,Bielorrusia,225555,Большое Малешево,Brest,01,Stolin,621276,,,52.0412,27.4061,1,
BY,Belarus,Bielorrusia,225556,Семигостичи,Brest,01,Stolin,621276,,,52.0949,27.4235,4,
BY,Belarus,Bielorrusia,225557,Ольшаны,Brest,01,Stolin,621276,,,52.0777,27.3504,4,
BY,Belarus,Bielorrusia,225558,Ольгомель,Brest,01,Stolin,621276,,,52.0469,27.4824,4,
BY,Belarus,Bielorrusia,225559,Мочуль,Brest,01,Stolin,621276,,,52.0175,27.3566,4,
BY,Belarus,Bielorrusia,225560,Юнище,Brest,01,Stolin,621276,,,51.9628,26.7827,4,
BY,Belarus,Bielorrusia,225140,Пружаны,Brest,01,Proujany,622998,,,52.556,24.4573,4,
BY,Belarus,Bielorrusia,225141,Слободка,Brest,01,Proujany,622998,,,52.5168,24.5172,4,
BY,Belarus,Bielorrusia,225142,Бакуны Первые,Brest,01,Proujany,622998,,,52.5961,24.5582,1,
BY,Belarus,Bielorrusia,225143,Смоляны,Brest,01,Proujany,622998,,,52.5961,24.5582,1,
BY,Belarus,Bielorrusia,225144,Скорцы,Brest,01,Proujany,622998,,,52.6163,24.6768,4,
BY,Belarus,Bielorrusia,225145,Хорева,Brest,01,Proujany,622998,,,52.637,24.5836,4,
BY,Belarus,Bielorrusia,225146,Смоляница,Brest,01,Proujany,622998,,,52.7057,24.6386,4,
BY,Belarus,Bielorrusia,225147,Рудники,Brest,01,Proujany,622998,,,52.6676,24.5179,4,
BY,Belarus,Bielorrusia,225148,Мокрое,Brest,01,Proujany,622998,,,52.5961,24.5582,1,
BY,Belarus,Bielorrusia,225149,Линово,Brest,01,Proujany,622998,,,52.473,24.5158,4,
BY,Belarus,Bielorrusia,225150,Байки,Brest,01,Proujany,622998,,,52.8302,24.8513,4,
BY,Belarus,Bielorrusia,225151,Юндилы,Brest,01,Proujany,622998,,,52.8601,24.8319,1,
BY,Belarus,Bielorrusia,225152,Колозубы,Brest,01,Proujany,622998,,,52.8256,24.997,4,
BY,Belarus,Bielorrusia,225153,Ворониловичи,Brest,01,Proujany,622998,,,52.8089,24.9356,4,
BY,Belarus,Bielorrusia,225154,Ружаны,Brest,01,Proujany,622998,,,52.8632,24.8936,4,
BY,Belarus,Bielorrusia,225155,Полонск,Brest,01,Proujany,622998,,,52.9215,24.8616,4,
BY,Belarus,Bielorrusia,225156,Зеленевичи,Brest,01,Proujany,622998,,,52.9273,24.7176,4,
BY,Belarus,Bielorrusia,225157,Могилевцы,Brest,01,Proujany,622998,,,52.8732,24.6751,4,
BY,Belarus,Bielorrusia,225158,Лысково,Brest,01,Proujany,622998,,,52.853,24.6156,4,
BY,Belarus,Bielorrusia,225159,Долки,Brest,01,Proujany,622998,,,52.8377,24.9393,4,
