country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
CA,Canada,Canadá,V3T 4E6,Surrey,British Columbia,BC,,,,,49.1811,-122.8396,6,surrey
CA,Canada,Canadá,V3T 4E7,Surrey,British Columbia,BC,,,,,49.1806,-122.8397,6,surrey
CA,Canada,Canadá,V3T 4E9,Surrey,British Columbia,BC,,,,,49.1848,-122.8432,6,surrey
CA,Canada,Canadá,V3T 4G1,Surrey,British Columbia,BC,,,,,49.1844,-122.8432,6,surrey
CA,Canada,Canadá,V3T 4G2,Surrey,British Columbia,BC,,,,,49.1876,-122.8436,6,surrey
CA,Canada,Canadá,V3T 4G7,Surrey,British Columbia,BC,,,,,49.1774,-122.8434,6,surrey
CA,Canada,Canadá,V3T 4G8,Surrey,British Columbia,BC,,,,,49.177,-122.8436,6,surrey
CA,Canada,Canadá,V3T 4G9,Surrey,British Columbia,BC,,,,,49.1793,-122.8432,6,surrey
CA,Canada,Canadá,V3T 4H1,Surrey,British Columbia,BC,,,,,49.1797,-122.8431,6,surrey
CA,Canada,Canadá,V3T 4H2,Surrey,British Columbia,BC,,,,,49.1884,-122.8431,6,surrey
CA,Canada,Canadá,V3T 4H4,Surrey,British Columbia,BC,,,,,49.192,-122.842,6,surrey
CA,Canada,Canadá,V3T 4H5,Surrey,British Columbia,BC,,,,,49.1936,-122.8424,6,surrey
CA,Canada,Canadá,V3T 4H6,Surrey,British Columbia,BC,,,,,49.1943,-122.8424,6,surrey
CA,Canada,Canadá,V3T 4H7,Surrey,British Columbia,BC,,,,,49.1946,-122.8424,6,surrey
CA,Canada,Canadá,V3T 4H8,Surrey,British Columbia,BC,,,,,49.196,-122.8424,6,surrey
CA,Canada,Canadá,V3T 4H9,Surrey,British Columbia,BC,,,,,49.1774,-122.8423,6,surrey
CA,Canada,Canadá,V3T 4J1,Surrey,British Columbia,BC,,,,,49.1776,-122.8422,6,surrey
CA,Canada,Canadá,V3T 4J2,Surrey,British Columbia,BC,,,,,49.1793,-122.842,6,surrey
CA,Canada,Canadá,V3T 4J3,Surrey,British Columbia,BC,,,,,49.18,-122.8419,6,surrey
CA,Canada,Canadá,V3T 4J4,Surrey,British Columbia,BC,,,,,49.1844,-122.8418,6,surrey
CA,Canada,Canadá,V3T 4J5,Surrey,British Columbia,BC,,,,,49.1868,-122.8413,6,surrey
CA,Canada,Canadá,V3T 4J6,Surrey,British Columbia,BC,,,,,49.1945,-122.841,6,surrey
CA,Canada,Canadá,V3T 4J7,Surrey,British Columbia,BC,,,,,49.1945,-122.841,6,surrey
CA,Canada,Canadá,V3T 4J8,Surrey,British Columbia,BC,,,,,49.1771,-122.8409,6,surrey
CA,Canada,Canadá,V3T 4J9,Surrey,British Columbia,BC,,,,,49.1797,-122.8407,6,surrey
CA,Canada,Canadá,V3T 4K1,Surrey,British Columbia,BC,,,,,49.1785,-122.8408,6,surrey
CA,Canada,Canadá,V3T 4K2,Surrey,British Columbia,BC,,,,,49.1809,-122.8398,6,surrey
CA,Canada,Canadá,V3T 4K3,Surrey,British Columbia,BC,,,,,49.1924,-122.8397,6,surrey
CA,Canada,Canadá,V3T 4K4,Surrey,British Columbia,BC,,,,,49.1928,-122.8397,6,surrey
CA,Canada,Canadá,V3T 4K5,Surrey,British Columbia,BC,,,,,49.1962,-122.8397,6,surrey
CA,Canada,Canadá,V3T 4K6,Surrey,British Columbia,BC,,,,,49.1942,-122.8397,6,surrey
CA,Canada,Canadá,V3T 4K7,Surrey,British Columbia,BC,,,,,49.1945,-122.8397,6,surrey
CA,Canada,Canadá,V3T 4K8,Surrey,British Columbia,BC,,,,,49.1978,-122.8396,6,surrey
CA,Canada,Canadá,V3T 4K9,Surrey,British Columbia,BC,,,,,49.1825,-122.8382,6,surrey
CA,Canada,Canadá,V3T 4L1,Surrey,British Columbia,BC,,,,,49.1831,-122.8383,6,surrey
CA,Canada,Canadá,V3T 4L2,Surrey,British Columbia,BC,,,,,49.1921,-122.8384,6,surrey
CA,Canada,Canadá,V3T 4L3,Surrey,British Columbia,BC,,,,,49.1943,-122.8383,6,surrey
CA,Canada,Canadá,V3T 4L4,Surrey,British Columbia,BC,,,,,49.1864,-122.8371,6,surrey
CA,Canada,Canadá,V3T 4L5,Surrey,British Columbia,BC,,,,,49.1938,-122.837,6,surrey
CA,Canada,Canadá,V3T 4L6,Surrey,British Columbia,BC,,,,,49.1917,-122.837,6,surrey
CA,Canada,Canadá,V3T 4L7,Surrey,British Columbia,BC,,,,,49.1962,-122.837,6,surrey
CA,Canada,Canadá,V3T 4L8,Surrey,British Columbia,BC,,,,,49.1972,-122.837,6,surrey
CA,Canada,Canadá,V3T 4L9,Surrey,British Columbia,BC,,,,,49.1985,-122.837,6,surrey
CA,Canada,Canadá,V3T 4M1,Surrey,British Columbia,BC,,,,,49.1879,-122.8358,6,surrey
CA,Canada,Canadá,V3T 4M2,Surrey,British Columbia,BC,,,,,49.1778,-122.8345,6,surrey
CA,Canada,Canadá,V3T 4M3,Surrey,British Columbia,BC,,,,,49.1788,-122.8345,6,surrey
CA,Canada,Canadá,V3T 4M4,Surrey,British Columbia,BC,,,,,49.1792,-122.8345,6,surrey
CA,Canada,Canadá,V3T 4M5,Surrey,British Columbia,BC,,,,,49.179,-122.8345,6,surrey
CA,Canada,Canadá,V3T 4M7,Surrey,British Columbia,BC,,,,,49.1857,-122.8343,6,surrey
CA,Canada,Canadá,V3T 4M8,Surrey,British Columbia,BC,,,,,49.1851,-122.8341,6,surrey
CA,Canada,Canadá,V3T 4M9,Surrey,British Columbia,BC,,,,,49.1867,-122.8342,6,surrey
CA,Canada,Canadá,V3T 4N1,Surrey,British Columbia,BC,,,,,49.1878,-122.8342,6,surrey
CA,Canada,Canadá,V3T 4N2,Surrey,British Columbia,BC,,,,,49.1887,-122.8343,6,surrey
CA,Canada,Canadá,V3T 4N3,Surrey,British Columbia,BC,,,,,49.189,-122.8341,6,surrey
CA,Canada,Canadá,V3T 4N4,Surrey,British Columbia,BC,,,,,49.1906,-122.8341,6,surrey
CA,Canada,Canadá,V3T 4N5,Surrey,British Columbia,BC,,,,,49.1927,-122.8341,6,surrey
CA,Canada,Canadá,V3T 4N6,Surrey,British Columbia,BC,,,,,49.1944,-122.8341,6,surrey
CA,Canada,Canadá,V3T 4N7,Surrey,British Columbia,BC,,,,,49.1962,-122.8341,6,surrey
CA,Canada,Canadá,V3T 4N8,Surrey,British Columbia,BC,,,,,49.1955,-122.8341,6,surrey
CA,Canada,Canadá,V3T 4N9,Surrey,British Columbia,BC,,,,,49.1921,-122.832,6,surrey
CA,Canada,Canadá,V3T 4P1,Surrey,British Columbia,BC,,,,,49.1919,-122.8321,6,surrey
CA,Canada,Canadá,V3T 4P2,Surrey,British Columbia,BC,,,,,49.1845,-122.8315,6,surrey
CA,Canada,Canadá,V3T 4P3,Surrey,British Columbia,BC,,,,,49.1852,-122.8314,6,surrey
CA,Canada,Canadá,V3T 4P4,Surrey,British Columbia,BC,,,,,49.1859,-122.8314,6,surrey
CA,Canada,Canadá,V3T 4P5,Surrey,British Columbia,BC,,,,,49.1864,-122.8315,6,surrey
CA,Canada,Canadá,V3T 4P6,Surrey,British Columbia,BC,,,,,49.1872,-122.8314,6,surrey
CA,Canada,Canadá,V3T 4P7,Surrey,British Columbia,BC,,,,,49.1872,-122.8314,6,surrey
CA,Canada,Canadá,V3T 4P8,Surrey,British Columbia,BC,,,,,49.1878,-122.8314,6,surrey
CA,Canada,Canadá,V3T 4P9,Surrey,British Columbia,BC,,,,,49.1892,-122.8316,6,surrey
CA,Canada,Canadá,V3T 4R1,Surrey,British Columbia,BC,,,,,49.1898,-122.8314,6,surrey
CA,Canada,Canadá,V3T 4R3,Surrey,British Columbia,BC,,,,,49.1914,-122.8313,6,surrey
CA,Canada,Canadá,V3T 4R4,Surrey,British Columbia,BC,,,,,49.1952,-122.8314,6,surrey
CA,Canada,Canadá,V3T 4R5,Surrey,British Columbia,BC,,,,,49.197,-122.8313,6,surrey
CA,Canada,Canadá,V3T 4R6,Surrey,British Columbia,BC,,,,,49.1953,-122.83,6,surrey
CA,Canada,Canadá,V3T 4R7,Surrey,British Columbia,BC,,,,,49.1968,-122.8299,6,surrey
CA,Canada,Canadá,V3T 4R8,Surrey,British Columbia,BC,,,,,49.1857,-122.8286,6,surrey
CA,Canada,Canadá,V3T 4R9,Surrey,British Columbia,BC,,,,,49.186,-122.8288,6,surrey
CA,Canada,Canadá,V3T 4S1,Surrey,British Columbia,BC,,,,,49.1861,-122.8286,6,surrey
CA,Canada,Canadá,V3T 4S2,Surrey,British Columbia,BC,,,,,49.1897,-122.8285,6,surrey
CA,Canada,Canadá,V3T 4S3,Surrey,British Columbia,BC,,,,,49.1897,-122.8285,6,surrey
CA,Canada,Canadá,V3T 4S4,Surrey,British Columbia,BC,,,,,49.1906,-122.8285,6,surrey
CA,Canada,Canadá,V3T 4S5,Surrey,British Columbia,BC,,,,,49.1987,-122.8285,6,surrey
CA,Canada,Canadá,V3T 4S6,Surrey,British Columbia,BC,,,,,49.1969,-122.8285,6,surrey
CA,Canada,Canadá,V3T 4S7,Surrey,British Columbia,BC,,,,,49.1844,-122.8259,6,surrey
CA,Canada,Canadá,V3T 4S8,Surrey,British Columbia,BC,,,,,49.1845,-122.8259,6,surrey
CA,Canada,Canadá,V3T 4S9,Surrey,British Columbia,BC,,,,,49.1855,-122.8259,6,surrey
CA,Canada,Canadá,V3T 4T1,Surrey,British Columbia,BC,,,,,49.1861,-122.8259,6,surrey
CA,Canada,Canadá,V3T 4T2,Surrey,British Columbia,BC,,,,,49.1869,-122.8261,6,surrey
CA,Canada,Canadá,V3T 4T3,Surrey,British Columbia,BC,,,,,49.188,-122.8259,6,surrey
CA,Canada,Canadá,V3T 4T4,Surrey,British Columbia,BC,,,,,49.1891,-122.826,6,surrey
CA,Canada,Canadá,V3T 4T5,Surrey,British Columbia,BC,,,,,49.19,-122.8259,6,surrey
CA,Canada,Canadá,V3T 4T6,Surrey,British Columbia,BC,,,,,49.1909,-122.8259,6,surrey
