country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
CA,Canada,Canadá,N5X 3K4,London,Ontario,ON,,,,,43.0344,-81.2706,6,london
CA,Canada,Canadá,N5X 3K5,London,Ontario,ON,,,,,43.0347,-81.2717,6,london
CA,Canada,Canadá,N5X 3K6,London,Ontario,ON,,,,,43.0336,-81.2703,6,london
CA,Canada,Canadá,N5X 3K7,London,Ontario,ON,,,,,43.0352,-81.272,6,london
CA,Canada,Canadá,N5X 3K8,London,Ontario,ON,,,,,43.0361,-81.2718,6,london
CA,Canada,Canadá,N5X 3K9,London,Ontario,ON,,,,,43.0343,-81.2727,6,london
CA,Canada,Canadá,N5X 3L1,London,Ontario,ON,,,,,43.035,-81.2731,6,london
CA,Canada,Canadá,N5X 3L2,London,Ontario,ON,,,,,43.0352,-81.2743,6,london
CA,Canada,Canadá,N5X 3L3,London,Ontario,ON,,,,,43.0348,-81.2741,6,london
CA,Canada,Canadá,N5X 3L4,London,Ontario,ON,,,,,43.0351,-81.2743,6,london
CA,Canada,Canadá,N5X 3L5,London,Ontario,ON,,,,,43.0322,-81.2721,6,london
CA,Canada,Canadá,N5X 3L6,London,Ontario,ON,,,,,43.0336,-81.2704,6,london
CA,Canada,Canadá,N5X 3L7,London,Ontario,ON,,,,,43.0335,-81.2735,6,london
CA,Canada,Canadá,N5X 3L9,London,Ontario,ON,,,,,43.0406,-81.246,6,london
CA,Canada,Canadá,N5X 3M2,London,Ontario,ON,,,,,43.035,-81.2547,6,london
CA,Canada,Canadá,N5X 3M4,London,Ontario,ON,,,,,43.023,-81.2764,6,london
CA,Canada,Canadá,N5X 3M5,London,Ontario,ON,,,,,43.0223,-81.275,6,london
CA,Canada,Canadá,N5X 3N1,London,Ontario,ON,,,,,43.0243,-81.2723,6,london
CA,Canada,Canadá,N5X 3N2,London,Ontario,ON,,,,,43.0245,-81.2739,6,london
CA,Canada,Canadá,N5X 3N3,London,Ontario,ON,,,,,43.024,-81.2728,6,london
CA,Canada,Canadá,N5X 3N4,London,Ontario,ON,,,,,43.0226,-81.2698,6,london
CA,Canada,Canadá,N5X 3N5,London,Ontario,ON,,,,,43.0244,-81.272,6,london
CA,Canada,Canadá,N5X 3N6,London,Ontario,ON,,,,,43.0247,-81.2707,6,london
