country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
CA,Canada,Canadá,S0A 0A0,Abernethy,Saskatchewan,SK,,,,,50.6151,-103.4128,6,abernethy
CA,Canada,Canadá,S0A 0A1,Abernethy,Saskatchewan,SK,,,,,50.7466,-103.4179,6,abernethy
CA,Canada,Canadá,S0A 0A2,Endeavour,Saskatchewan,SK,,,,,51.6159,-103.2093,6,endeavour
CA,Canada,Canadá,S0A 0A3,Buchanan,Saskatchewan,SK,,,,,51.3636,-102.8862,6,buchanan
CA,Canada,Canadá,S0A 0A4,Esterhazy,Saskatchewan,SK,,,,,50.6569,-102.0758,6,esterhazy
CA,Canada,Canadá,S0A 0A5,Grayson,Saskatchewan,SK,,,,,50.7197,-102.6403,6,grayson
CA,Canada,Canadá,S0A 0A6,Invermay,Saskatchewan,SK,,,,,51.3636,-102.8862,6,invermay
CA,Canada,Canadá,S0A 0A7,Lemberg,Saskatchewan,SK,,,,,50.7274,-103.203,6,lemberg
CA,Canada,Canadá,S0A 0A8,Pelly,Saskatchewan,SK,,,,,51.8559,-101.9316,6,pelly
CA,Canada,Canadá,S0A 0A9,Springside,Saskatchewan,SK,,,,,51.3636,-102.8862,6,springside
CA,Canada,Canadá,S0A 0B0,Arran,Saskatchewan,SK,,,,,52.0733,-101.657,6,arran
CA,Canada,Canadá,S0A 0B1,Duff,Saskatchewan,SK,,,,,50.8736,-103.0915,6,duff
CA,Canada,Canadá,S0A 0B2,Saltcoats,Saskatchewan,SK,,,,,51.3636,-102.8862,6,saltcoats
CA,Canada,Canadá,S0A 0B3,Margo,Saskatchewan,SK,,,,,51.3636,-102.8862,6,margo
CA,Canada,Canadá,S0A 0B4,Tantallon,Saskatchewan,SK,,,,,50.5367,-101.8421,6,tantallon
CA,Canada,Canadá,S0A 0B5,Ebenezer,Saskatchewan,SK,,,,,51.3636,-102.8862,6,ebenezer
CA,Canada,Canadá,S0A 0B6,Ituna,Saskatchewan,SK,,,,,51.3636,-102.8862,6,ituna
CA,Canada,Canadá,S0A 0B7,Mozart,Saskatchewan,SK,,,,,51.7779,-103.9904,6,mozart
