country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
CL,Chile,Chile,2340000,Valparaíso,Región de Valparaíso,01,Provincia de Valparaíso,51,Valparaíso,05101,-33.1298,-71.5735,4,valparaiso
CL,Chile,Chile,2480000,Casablanca,Región de Valparaíso,01,Provincia de Valparaíso,51,Casablanca,05102,-33.3158,-71.4353,4,casablanca
CL,Chile,Chile,2490000,Quintero,Región de Valparaíso,01,Provincia de Valparaíso,51,Quintero,05107,-32.843,-71.4738,4,quintero
CL,Chile,Chile,2500000,Puchuncaví,Región de Valparaíso,01,Provincia de Valparaíso,51,Puchuncaví,05105,-32.7176,-71.4111,4,puchuncavi
CL,Chile,Chile,2510000,Concón,Región de Valparaíso,01,Provincia de Valparaíso,51,Concón,05103,-32.9534,-71.4678,4,concon
CL,Chile,Chile,2520000,Viña Del Mar,Región de Valparaíso,01,Provincia de Valparaíso,51,Viña Del Mar,05109,-33.0288,-71.5159,4,vina-del-mar
CL,Chile,Chile,2600000,Juan Fernández,Región de Valparaíso,01,Provincia de Valparaíso,51,Juan Fernández,05104,-33.6387,-78.8583,4,juan-fernandez
CL,Chile,Chile,2770000,Isla De Pascua,Región de Valparaíso,01,Provincia de Isla de Pascua,52,Isla De Pascua,05201,-27.1288,-109.36,4,isla-de-pascua
CL,Chile,Chile,2100000,Los Andes,Región de Valparaíso,01,Provincia de Los Andes,53,Los Andes,05301,-32.9503,-70.2398,4,los-andes
CL,Chile,Chile,2120000,San Esteban,Región de Valparaíso,01,Provincia de Los Andes,53,San Esteban,05304,-32.6859,-70.3484,4,san-esteban
CL,Chile,Chile,2130000,Calle Larga,Región de Valparaíso,01,Provincia de Los Andes,53,Calle Larga,05302,-32.9504,-70.545,4,calle-larga
CL,Chile,Chile,2140000,Rinconada,Región de Valparaíso,01,Provincia de Los Andes,53,Rinconada,05303,-32.876,-70.7068,4,rinconada
CL,Chile,Chile,2030000,La Ligua,Región de Valparaíso,01,Petorca Province,54,La Ligua,05401,-32.3537,-71.2721,4,la-ligua
CL,Chile,Chile,2040000,Petorca,Región de Valparaíso,01,Petorca Province,54,Petorca,05404,-32.1903,-70.8704,4,petorca
CL,Chile,Chile,2050000,Cabildo,Región de Valparaíso,01,Petorca Province,54,Cabildo,05402,-32.4174,-70.8243,4,cabildo
CL,Chile,Chile,2060000,Zapallar,Región de Valparaíso,01,Petorca Province,54,Zapallar,05405,-32.5549,-71.4547,4,zapallar
