country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
DZ,Algeria,Argelia,01000,Tililane,Adrar,01,,,,,28.07,0.1158,1,tililane
DZ,Algeria,Argelia,01000,Adrar Rp,Adrar,01,,,,,28.07,0.1158,1,adrar-rp
DZ,Algeria,Argelia,01000,Akhnatir,Adrar,01,,,,,28.07,0.1158,1,akhnatir
DZ,Algeria,Argelia,01000,Adrar Cite Zerrari Med,Adrar,01,,,,,28.07,0.1158,1,adrar-cite-zerrari-med
DZ,Algeria,Argelia,01000,Ouled Ali,Adrar,01,,,,,28.07,0.1158,1,ouled-ali
DZ,Algeria,Argelia,01000,Meraguen,Adrar,01,,,,,28.07,0.1158,1,meraguen
DZ,Algeria,Argelia,01000,Gasbet El Kaid,Adrar,01,,,,,28.07,0.1158,1,gasbet-el-kaid
DZ,Algeria,Argelia,01000,Ouled Oungal,Adrar,01,,,,,28.07,0.1158,1,ouled-oungal
DZ,Algeria,Argelia,01001,Ouledtahar,Adrar,01,,,,,29.2687,0.2604,3,ouledtahar
DZ,Algeria,Argelia,01001,El Gasba,Adrar,01,,,,,29.2687,0.2604,3,el-gasba
DZ,Algeria,Argelia,01001,Ouled Brahim,Adrar,01,,,,,29.2687,0.2604,3,ouled-brahim
DZ,Algeria,Argelia,01001,Tmana,Adrar,01,,,,,29.2687,0.2604,3,tmana
DZ,Algeria,Argelia,01001,Ouled El Hadj,Adrar,01,,,,,29.2687,0.2604,3,ouled-el-hadj
DZ,Algeria,Argelia,01001,Elmanjour,Adrar,01,,,,,29.2687,0.2604,3,elmanjour
DZ,Algeria,Argelia,01001,Ghiat,Adrar,01,,,,,29.2687,0.2604,3,ghiat
DZ,Algeria,Argelia,01001,Guentour,Adrar,01,,,,,29.2687,0.2604,3,guentour
DZ,Algeria,Argelia,01001,Louajda,Adrar,01,,,,,29.2687,0.2604,3,louajda
