country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
FR,France,Francia,20000,Ajaccio,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,41.9189,8.7381,5,ajaccio
FR,France,Francia,20090,Ajaccio,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,41.9189,8.7381,5,ajaccio
FR,France,Francia,20100,Grossa,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.6103,8.8764,5,grossa
FR,France,Francia,20100,Foce,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.6167,9,5,foce
FR,France,Francia,20100,Bilia,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.625,8.907,5,bilia
FR,France,Francia,20100,Giuncheto,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.5884,8.9545,5,giuncheto
FR,France,Francia,20100,Granace,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.646,9.0082,5,granace
FR,France,Francia,20100,Sartène,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.6167,8.9833,5,sartene
FR,France,Francia,20110,Propriano,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.6759,8.9041,5,propriano
FR,France,Francia,20110,Belvédère-Campomoro,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.6277,8.8154,5,belvedere-campomoro
FR,France,Francia,20110,Arbellara,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.6816,8.9901,5,arbellara
FR,France,Francia,20110,Viggianello,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.6803,8.9519,5,viggianello
FR,France,Francia,20111,Calcatoggio,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.0284,8.7678,5,calcatoggio
FR,France,Francia,20111,Casaglione,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.0683,8.7884,5,casaglione
FR,France,Francia,20112,Zoza,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.7178,9.0705,5,zoza
FR,France,Francia,20112,Mela,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.6958,9.0945,5,mela
FR,France,Francia,20112,Sainte-Lucie-de-Tallano,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.6979,9.0647,5,sainte-lucie-de-tallano
FR,France,Francia,20112,Altagène,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.7061,9.0709,5,altagene
FR,France,Francia,20112,Olmiccia,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.6938,9.0598,5,olmiccia
FR,France,Francia,20113,Olmeto,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.7172,8.9178,5,olmeto
FR,France,Francia,20114,Figari,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.4882,9.1295,5,figari
FR,France,Francia,20115,Piana,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.2383,8.6356,5,piana
FR,France,Francia,20116,Zérubia,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.7527,9.0754,5,zerubia
FR,France,Francia,20116,Aullène,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.772,9.0815,5,aullene
FR,France,Francia,20117,Eccica-Suarella,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,41.9167,8.9167,5,eccica-suarella
FR,France,Francia,20117,Cauro,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,41.9176,8.9148,5,cauro
FR,France,Francia,20117,Ocana,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,41.9609,8.9349,5,ocana
FR,France,Francia,20117,Tolla,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,41.9752,8.9737,5,tolla
FR,France,Francia,20118,Vico,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.1667,8.8,5,vico
FR,France,Francia,20118,Coggia Maio,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.1213,8.759,5,coggia-maio
FR,France,Francia,20119,Bastelica,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.0034,9.0542,5,bastelica
FR,France,Francia,20121,Rezza,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.1266,8.946,5,rezza
FR,France,Francia,20121,Pastricciola,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.1403,8.9841,5,pastricciola
FR,France,Francia,20121,Salice,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.1197,8.9001,5,salice
FR,France,Francia,20121,Rosazia,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.1281,8.877,5,rosazia
FR,France,Francia,20121,Azzana,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.1169,8.9233,5,azzana
FR,France,Francia,20122,Quenza,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.7657,9.1377,5,quenza
FR,France,Francia,20123,Pila-Canale,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,41.8128,8.9099,5,pila-canale
FR,France,Francia,20123,Cognocoli-Monticchi,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,41.8285,8.9053,5,cognocoli-monticchi
FR,France,Francia,20124,Zonza,Corse,94,Corse-du-Sud,2A,Sartène,2A4,41.7493,9.1708,5,zonza
FR,France,Francia,20125,Orto,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.1872,8.9321,5,orto
FR,France,Francia,20125,Poggiolo,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.1765,8.9088,5,poggiolo
FR,France,Francia,20125,Soccia,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.1903,8.9098,5,soccia
FR,France,Francia,20126,Cristinacce,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.2391,8.8402,5,cristinacce
FR,France,Francia,20126,Évisa,Corse,94,Corse-du-Sud,2A,Ajaccio,2A1,42.2535,8.8024,5,evisa
