country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,744301,Sawai,Andaman & Nicobar Islands,01,Nicobar,638,Carnicobar,,7.5166,93.6031,4,sawai
IN,India,India,744301,Kakana,Andaman & Nicobar Islands,01,Nicobar,638,Carnicobar,,9.1167,92.8,4,kakana
IN,India,India,744301,Mus,Andaman & Nicobar Islands,01,Nicobar,638,Carnicobar,,9.2333,92.7833,4,mus
IN,India,India,744301,Lapathy,Andaman & Nicobar Islands,01,Nicobar,638,Carnicobar,,9.1833,92.7667,3,lapathy
IN,India,India,744301,Carnicobar,Andaman & Nicobar Islands,01,Nicobar,638,Carnicobar,,9.1833,92.7667,3,carnicobar
IN,India,India,744302,Campbelbay,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,campbelbay
IN,India,India,744302,Little Nicobar,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,little-nicobar
IN,India,India,744302,Pilomilo Island,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,pilomilo-island
IN,India,India,744302,Shabnamnagar,Andaman & Nicobar Islands,01,Nicobar,638,Nancorie,,9.1833,92.7667,1,shabnamnagar
IN,India,India,744302,Kondul Island,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,kondul-island
IN,India,India,744302,Gandhinagar,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,gandhinagar
IN,India,India,744303,Chowra,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,chowra
IN,India,India,744303,Champin,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,champin
IN,India,India,744303,Nancowrie,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,nancowrie
IN,India,India,744303,Trinket,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,trinket
IN,India,India,744303,Teressa,Andaman & Nicobar Islands,01,Nicobar,638,Carnicobar,,9.1833,92.7667,1,teressa
IN,India,India,744304,Kapanga,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,kapanga
IN,India,India,744304,Mildera,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,mildera
IN,India,India,744304,Nehrugram,Andaman & Nicobar Islands,01,Nicobar,638,Nancowrie,,9.1833,92.7667,1,nehrugram
IN,India,India,744201,Nimbudera,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Mayabander,,12.7167,92.9,3,nimbudera
IN,India,India,744201,Swdeshnagar,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.7167,92.9,3,swdeshnagar
IN,India,India,744201,Pitchernalla,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.7167,92.9,3,pitchernalla
IN,India,India,744201,Betapur,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.7167,92.9,4,betapur
IN,India,India,744202,Kishorinagar,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.1553,92.8778,4,kishorinagar
IN,India,India,744202,Smith  Island,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.211,92.9389,3,smith-island
IN,India,India,744202,Sitanagar,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.211,92.9389,3,sitanagar
IN,India,India,744202,Ramnagar,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.211,92.9389,3,ramnagar
IN,India,India,744202,Pashimsagar,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.211,92.9389,3,pashimsagar
IN,India,India,744202,Navagram,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.211,92.9389,3,navagram
IN,India,India,744202,Kalighat,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.211,92.9389,3,kalighat
IN,India,India,744202,Hathilevel,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.211,92.9389,3,hathilevel
IN,India,India,744202,Laxmipur,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.211,92.9389,3,laxmipur
IN,India,India,744202,Swarajgram,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.211,92.9389,3,swarajgram
IN,India,India,744202,Diglipur,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.2667,93,4,diglipur
IN,India,India,744202,Aerial Bay,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Diglipur,,13.211,92.9389,3,aerial-bay
IN,India,India,744203,Long Island,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.6435,92.8794,1,long-island
IN,India,India,744204,Mayabander,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Mayabander,,12.6435,92.8794,1,mayabander
IN,India,India,744204,Pudumadurai,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Mayabander,,12.6435,92.8794,1,pudumadurai
IN,India,India,744204,Rampur,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Mayabander,,12.6435,92.8794,1,rampur
IN,India,India,744204,Tugapur,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Mayabander,,12.6435,92.8794,1,tugapur
IN,India,India,744204,Weby,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Mayabander,,12.6435,92.8794,1,weby
IN,India,India,744205,Rangat,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.506,92.9155,4,rangat
IN,India,India,744205,Sabari,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.5,92.9,4,sabari
IN,India,India,744205,Nimbutala,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.503,92.9077,3,nimbutala
IN,India,India,744205,Bakultala,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.503,92.9077,3,bakultala
IN,India,India,744205,Parnasala,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.503,92.9077,3,parnasala
IN,India,India,744205,Panchawati,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.503,92.9077,3,panchawati
IN,India,India,744205,Kaushalyanagar,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.503,92.9077,3,kaushalyanagar
IN,India,India,744209,Uttara,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.6435,92.8794,1,uttara
IN,India,India,744209,Kadamtala (North And Middle Andaman),Andaman & Nicobar Islands,01,North And Middle Andaman,639,Rangat,,12.6435,92.8794,1,kadamtala-north-and-middle-andaman
IN,India,India,744210,Oralkatcha,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Port Blair,,12.1853,92.7718,3,oralkatcha
IN,India,India,744210,Sankarnalla,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Port Blair,,12.1853,92.7718,3,sankarnalla
IN,India,India,744210,Kanchangarh,Andaman & Nicobar Islands,01,North And Middle Andaman,639,Port Blair,,12.1853,92.7718,4,kanchangarh
IN,India,India,744101,Port Blair H.O,Andaman & Nicobar Islands,01,South Andaman,640,Port Blair,,11.6647,92.7026,1,port-blair-h-o
IN,India,India,744101,Marine Jetty,Andaman & Nicobar Islands,01,South Andaman,640,Portblair,,11.6647,92.7026,1,marine-jetty
