country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,362520,Fudam,Dadra and Nagar Haveli and Daman and Diu,52,Diu,494,Diu,,20.71,70.9621,4,fudam
IN,India,India,362520,Diu Zampa,Dadra and Nagar Haveli and Daman and Diu,52,Diu,494,Diu,,20.712,70.9722,3,diu-zampa
IN,India,India,362520,Diu,Dadra and Nagar Haveli and Daman and Diu,52,Diu,494,Diu,,20.7141,70.9822,4,diu
IN,India,India,362540,Ghoghla,Dadra and Nagar Haveli and Daman and Diu,52,Diu,494,Diu U.T.,,20.7209,70.9399,1,ghoghla
IN,India,India,362570,Wanakbara,Dadra and Nagar Haveli and Daman and Diu,52,Diu,494,NA,,20.7209,70.9399,1,wanakbara
IN,India,India,362570,Bucharvada,Dadra and Nagar Haveli and Daman and Diu,52,Diu,494,Diu,,20.7209,70.9399,1,bucharvada
IN,India,India,396210,Dunetha,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.4143,72.8324,3,dunetha
IN,India,India,396210,Daman,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.4143,72.8324,4,daman
IN,India,India,396210,Bhimpore,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.4143,72.8324,3,bhimpore
IN,India,India,396210,Kadaiya,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.4143,72.8324,3,kadaiya
IN,India,India,396210,Nani Vankad,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.4143,72.8324,3,nani-vankad
IN,India,India,396210,Varkund,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.4143,72.8324,3,varkund
IN,India,India,396210,Marvad,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.4143,72.8324,3,marvad
IN,India,India,396215,Daman I.E.,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.3964,72.875,3,daman-i-e
IN,India,India,396215,Kunta,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.3964,72.875,3,kunta
IN,India,India,396215,Dabhel,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.4095,72.8834,4,dabhel
IN,India,India,396215,Kachigam,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.3833,72.8667,4,kachigam
IN,India,India,396220,Magarwada,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.3467,72.9847,3,magarwada
IN,India,India,396220,Dholar,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.3833,72.8333,4,dholar
IN,India,India,396220,Moti Daman,Dadra and Nagar Haveli and Daman and Diu,52,Daman,495,Daman,,20.4141,72.8524,4,moti-daman
IN,India,India,396193,Dadra,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,4,dadra
IN,India,India,396193,Karvad,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Pardi,,20.1951,73.0707,3,karvad
IN,India,India,396230,Sindoni,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,sindoni
IN,India,India,396230,Umarkui,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,umarkui
IN,India,India,396230,Bonta,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,bonta
IN,India,India,396230,Dahikhed,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,dahikhed
IN,India,India,396230,Chisda,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,chisda
IN,India,India,396230,Chibhadkutch,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,chibhadkutch
IN,India,India,396230,Athola,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,athola
IN,India,India,396230,Kilvani,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,kilvani
IN,India,India,396230,Khutli,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,khutli
IN,India,India,396230,Dudhani,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,dudhani
IN,India,India,396230,Karachgam,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,karachgam
IN,India,India,396230,Samarvarni,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,samarvarni
IN,India,India,396230,Khanvel,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,khanvel
IN,India,India,396230,Selti,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,selti
IN,India,India,396230,Amli,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2833,73.0167,4,amli
IN,India,India,396230,Sili,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.3043,73.0424,4,sili
IN,India,India,396230,Mandoni,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1129,73.1499,4,mandoni
IN,India,India,396230,Velugam,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1447,72.9817,4,velugam
IN,India,India,396230,Kherdi,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1106,73.0259,4,kherdi
IN,India,India,396230,Karchond,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1547,73.1597,4,karchond
IN,India,India,396230,Masat,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2451,73.0084,4,masat
IN,India,India,396230,Parzai,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1951,73.0707,3,parzai
IN,India,India,396230,Rudana,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.0979,73.0899,4,rudana
IN,India,India,396230,Mota Randha,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.3101,73.1361,4,mota-randha
IN,India,India,396230,Silvassa,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2739,72.9967,4,silvassa
IN,India,India,396230,Bedpa,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.0962,73.2004,4,bedpa
IN,India,India,396235,Naroli,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2735,72.9417,4,naroli
IN,India,India,396235,Kharadpada,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2505,72.9563,4,kharadpada
IN,India,India,396235,Athal,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2675,72.9794,4,athal
IN,India,India,396240,Vasona,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2057,73.0376,4,vasona
IN,India,India,396240,Chikhli,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.1836,73.0176,4,chikhli
IN,India,India,396240,Rakholi,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2167,73.0333,4,rakholi
IN,India,India,396240,Saily,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2447,73.0315,4,saily
IN,India,India,396240,Karad Daman Project,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2127,73.03,3,karad-daman-project
IN,India,India,396240,Chinchpada,Dadra and Nagar Haveli and Daman and Diu,52,Dadra & Nagar Haveli,496,Dadra & Nagar Haveli,,20.2127,73.03,3,chinchpada
