country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,403001,C.C.Altinho,Goa,33,North Goa,585,Tiswadi,,15.4723,73.8097,3,c-c-altinho
IN,India,India,403001,St Inez,Goa,33,North Goa,585,Tiswadi,,15.4723,73.8097,3,st-inez
IN,India,India,403001,Panaji H.O,Goa,33,North Goa,585,Tiswadi,,15.4723,73.8097,3,panaji-h-o
IN,India,India,403001,Miramar,Goa,33,North Goa,585,Tiswaddi,,15.4723,73.8097,4,miramar
IN,India,India,403002,Caranzalem,Goa,33,North Goa,585,Tiswadi,,15.4672,73.8119,4,caranzalem
IN,India,India,403004,Matri Indian Antartic Station,Goa,33,North Goa,585,North Goa,,15.4785,73.8339,1,matri-indian-antartic-station
IN,India,India,403004,Nio Dona Paula,Goa,33,North Goa,585,Tiswadi,,15.4785,73.8339,1,nio-dona-paula
IN,India,India,403005,Santa Cruz,Goa,33,North Goa,585,Tiswadi,,15.4752,73.8456,4,santa-cruz
IN,India,India,403006,Ribandar,Goa,33,North Goa,585,Tiswadi,,15.4992,73.8682,4,ribandar
IN,India,India,403006,Chimbel,Goa,33,North Goa,585,Tiswadi,,15.4992,73.8682,3,chimbel
IN,India,India,403101,Penha De France,Goa,33,North Goa,585,Bardez,,15.5111,73.8283,3,penha-de-france
IN,India,India,403101,Salvador De Mond,Goa,33,North Goa,585,Bardez,,15.5111,73.8283,3,salvador-de-mond
IN,India,India,403101,Betim,Goa,33,North Goa,585,Bardez,,15.5111,73.8283,4,betim
IN,India,India,403102,Chorao,Goa,33,North Goa,585,Tiswadi,,15.4761,73.9417,1,chorao
IN,India,India,403103,Tarvalem,Goa,33,North Goa,585,Ponda,,15.4761,73.9417,1,tarvalem
IN,India,India,403103,Shiroda (North Goa),Goa,33,North Goa,585,Ponda,,15.4761,73.9417,1,shiroda-north-goa
IN,India,India,403104,Neura,Goa,33,North Goa,585,Tiswadi,,15.4426,73.9174,4,neura
IN,India,India,403104,Mandur,Goa,33,North Goa,585,Tiswadi,,15.4546,73.9234,4,mandur
IN,India,India,403105,Pale,Goa,33,North Goa,585,Sattari,,15.4667,74.0833,4,pale
IN,India,India,403107,Betki,Goa,33,North Goa,585,Ponda,,15.5377,73.984,3,betki
IN,India,India,403107,Cumbharjua,Goa,33,North Goa,585,Tiswadi,,15.5377,73.984,3,cumbharjua
IN,India,India,403108,Siridao,Goa,33,North Goa,585,Tiswadi,,15.4514,73.8589,4,siridao
IN,India,India,403108,Goa -velha,Goa,33,North Goa,585,Tiswadi,,15.4438,73.8857,4,goa-velha
IN,India,India,403109,N B Verem,Goa,33,North Goa,585,Tiswadi,,15.4761,73.9417,1,n-b-verem
IN,India,India,403110,Carambolim,Goa,33,North Goa,585,Tiswadi,,15.4841,73.922,4,carambolim
IN,India,India,403110,Corlim IE,Goa,33,North Goa,585,Tiswadi,,15.4841,73.922,3,corlim-ie
IN,India,India,403114,Reis Magos,Goa,33,North Goa,585,Tiswadi,,15.5219,73.7881,3,reis-magos
IN,India,India,403114,Pilerne,Goa,33,North Goa,585,Bardez,,15.5335,73.7953,4,pilerne
IN,India,India,403114,Nerul,Goa,33,North Goa,585,Tiswadi,,15.5103,73.7809,4,nerul
IN,India,India,403201,Bambolim Camp,Goa,33,North Goa,585,Tiswadi,,15.4296,73.9419,1,bambolim-camp
IN,India,India,403202,Bambolim Complex,Goa,33,North Goa,585,Tiswadi,,15.4296,73.9419,1,bambolim-complex
IN,India,India,403203,Pilar (North Goa),Goa,33,North Goa,585,Tiswadi,,15.4296,73.9419,1,pilar-north-goa
IN,India,India,403204,St. Lourence,Goa,33,North Goa,585,Tiswadi,,15.4296,73.9419,1,st-lourence
IN,India,India,403206,Goa University,Goa,33,North Goa,585,Tiswadi,,15.4296,73.9419,1,goa-university
IN,India,India,403401,Ponda,Goa,33,North Goa,585,Ponda,,15.4034,74.0152,4,ponda
IN,India,India,403402,Velha-goa,Goa,33,North Goa,585,Tiswadi,,15.4438,73.8857,4,velha-goa
IN,India,India,403403,Piedade,Goa,33,North Goa,585,Tiswadi,,15.5297,73.9106,3,piedade
IN,India,India,403403,Malar,Goa,33,North Goa,585,Tiswadi,,15.5297,73.9106,4,malar
IN,India,India,403404,Marcaim,Goa,33,North Goa,585,Ponda,,15.4142,73.9398,4,marcaim
IN,India,India,403406,Usgao,Goa,33,North Goa,585,Ponda,,15.4333,74.0667,4,usgao
IN,India,India,403406,Sancordem,Goa,33,North Goa,585,Ponda,,15.5525,73.9807,4,sancordem
IN,India,India,403406,Candepar,Goa,33,North Goa,585,Ponda,,15.5525,73.9807,3,candepar
IN,India,India,403406,Pillem,Goa,33,North Goa,585,Ponda,,15.5525,73.9807,3,pillem
IN,India,India,403406,Darbandora,Goa,33,North Goa,585,Ponda,,15.5525,73.9807,4,darbandora
IN,India,India,403501,Porvorim,Goa,33,North Goa,585,Bardez,,15.5859,73.9513,1,porvorim
IN,India,India,403502,Tivim,Goa,33,North Goa,585,Bardez,,15.6193,73.8442,4,tivim
IN,India,India,403502,Sirsaim,Goa,33,North Goa,585,Bicholim,,15.6193,73.8442,3,sirsaim
IN,India,India,403503,Dodamarg,Goa,33,North Goa,585,Bicholim,,15.6485,73.916,3,dodamarg
IN,India,India,403503,Nanora,Goa,33,North Goa,585,Bicholim,,15.6485,73.916,3,nanora
IN,India,India,403503,Ibrampur,Goa,33,North Goa,585,Pernem,,15.7069,73.9414,4,ibrampur
IN,India,India,403503,Mulgao,Goa,33,North Goa,585,Bicholim,,15.6167,73.9232,4,mulgao
IN,India,India,403503,Sirgao,Goa,33,North Goa,585,Bicholim,,15.6,73.9,4,sirgao
IN,India,India,403503,Advalpal,Goa,33,North Goa,585,Bicholim,,15.6485,73.916,3,advalpal
IN,India,India,403503,Assonora,Goa,33,North Goa,585,Bardez,,15.6187,73.8986,4,assonora
IN,India,India,403503,Salem,Goa,33,North Goa,585,Bicholim,,15.7,73.9167,4,salem
IN,India,India,403504,Bicholim,Goa,33,North Goa,585,Bicholim,,15.5932,73.9457,4,bicholim
IN,India,India,403504,Maulinge,Goa,33,North Goa,585,Bicholim,,15.5932,73.9457,3,maulinge
IN,India,India,403504,Mayem,Goa,33,North Goa,585,Bicholim,,15.5932,73.9457,3,mayem
IN,India,India,403504,Pilgao,Goa,33,North Goa,585,Bicholim,,15.5932,73.9457,3,pilgao
IN,India,India,403505,Kerim,Goa,33,North Goa,585,Sattari,,15.5565,74.0147,3,kerim
IN,India,India,403505,Pratapnagar Harvale,Goa,33,North Goa,585,Bicholim,,15.5565,74.0147,3,pratapnagar-harvale
IN,India,India,403505,Cudne,Goa,33,North Goa,585,Bicholim,,15.5565,74.0147,3,cudne
IN,India,India,403505,Morlem,Goa,33,North Goa,585,Bicholim,,15.5926,74.0468,4,morlem
IN,India,India,403505,Surla,Goa,33,North Goa,585,Bicholim,,15.5002,74.025,4,surla
IN,India,India,403505,Navelim,Goa,33,North Goa,585,Bicholim,,15.5333,73.9833,4,navelim
IN,India,India,403505,Sanquelim,Goa,33,North Goa,585,Sattari,,15.5642,74.008,4,sanquelim
IN,India,India,403505,Poriem,Goa,33,North Goa,585,Sattari,,15.5826,74.038,4,poriem
IN,India,India,403505,Carapur,Goa,33,North Goa,585,Bicholim,,15.5659,73.9871,4,carapur
IN,India,India,403506,Valpoi,Goa,33,North Goa,585,Sattari,,15.5324,74.1367,4,valpoi
IN,India,India,403506,Cotorem,Goa,33,North Goa,585,Sattari,,15.4823,74.1368,4,cotorem
IN,India,India,403506,Nagargaon,Goa,33,North Goa,585,Sattari,,15.5304,74.1632,3,nagargaon
IN,India,India,403506,Nanorem,Goa,33,North Goa,585,Sattari,,15.5794,74.2075,4,nanorem
IN,India,India,403506,Sanvordem,Goa,33,North Goa,585,Sattari,,15.5277,74.1718,4,sanvordem
IN,India,India,403506,Thana,Goa,33,North Goa,585,Sattari,,15.5304,74.1632,3,thana
IN,India,India,403506,Mauzi,Goa,33,North Goa,585,Sattari,,15.5304,74.1632,3,mauzi
IN,India,India,403506,Guleli,Goa,33,North Goa,585,Sattari,,15.5304,74.1632,3,guleli
IN,India,India,403506,Birondam,Goa,33,North Goa,585,Sattari,,15.5304,74.1632,3,birondam
IN,India,India,403506,Velguem O,Goa,33,North Goa,585,Sattari,,15.5304,74.1632,3,velguem-o
IN,India,India,403507,Gurim,Goa,33,North Goa,585,Bardez,,15.5945,73.81,3,gurim
IN,India,India,403507,Camurlim,Goa,33,North Goa,585,Bardez,,15.5945,73.81,3,camurlim
IN,India,India,403507,Mapusa I.E.,Goa,33,North Goa,585,Bardez,,15.5945,73.81,3,mapusa-i-e
IN,India,India,403507,Moira,Goa,33,North Goa,585,Bardez,,15.6026,73.839,4,moira
IN,India,India,403507,Bastora,Goa,33,North Goa,585,Bardez,,15.5809,73.8325,4,bastora
IN,India,India,403507,Assagao,Goa,33,North Goa,585,Bardez,,15.6029,73.7595,4,assagao
IN,India,India,403507,Mapusa,Goa,33,North Goa,585,Bardez,,15.5915,73.809,4,mapusa
IN,India,India,403507,Ucassiam,Goa,33,North Goa,585,Bardez,,15.5945,73.81,3,ucassiam
IN,India,India,403508,Nachinola,Goa,33,North Goa,585,Bardez,,15.5957,73.8616,4,nachinola
IN,India,India,403508,Corjuim,Goa,33,North Goa,585,Bardez,,15.5945,73.8682,3,corjuim
IN,India,India,403508,Aldona,Goa,33,North Goa,585,Bardez,,15.5934,73.8748,4,aldona
IN,India,India,403509,Caisua,Goa,33,North Goa,585,Bardez,,15.58,73.7449,3,caisua
IN,India,India,403509,Anjuna,Goa,33,North Goa,585,Bardez,,15.58,73.7449,4,anjuna
IN,India,India,403510,Canca,Goa,33,North Goa,585,Bardez,,15.5796,73.7941,3,canca
IN,India,India,403510,Parra,Goa,33,North Goa,585,Bardez,,15.5796,73.7941,4,parra
IN,India,India,403511,Sem Saligao,Goa,33,North Goa,585,Bardez,,15.5445,73.8029,3,sem-saligao
IN,India,India,403511,Sangolda,Goa,33,North Goa,585,Bardez,,15.5355,73.8154,4,sangolda
IN,India,India,403511,Saligao,Goa,33,North Goa,585,Bardez,,15.5536,73.7904,4,saligao
IN,India,India,403512,Virnora,Goa,33,North Goa,585,Pernem,,15.7072,73.8185,4,virnora
IN,India,India,403512,Torxem,Goa,33,North Goa,585,Pernem,,15.7833,73.85,4,torxem
IN,India,India,403512,Corgao,Goa,33,North Goa,585,Pernem,,15.7096,73.7497,4,corgao
IN,India,India,403512,Parxem,Goa,33,North Goa,585,Pernem,,15.6751,73.7799,4,parxem
IN,India,India,403512,Agarwada,Goa,33,North Goa,585,Pernem,,15.7096,73.8103,3,agarwada
IN,India,India,403512,Tuem I E,Goa,33,North Goa,585,Pernem,,15.7096,73.8103,3,tuem-i-e
IN,India,India,403512,Tamboxem,Goa,33,North Goa,585,Pernem,,15.7599,73.8371,4,tamboxem
IN,India,India,403512,Nagzar,Goa,33,North Goa,585,Pernem,,15.7096,73.8103,3,nagzar
IN,India,India,403512,Cansarvornem,Goa,33,North Goa,585,Pernem,,15.7117,73.8815,4,cansarvornem
IN,India,India,403512,Varconda,Goa,33,North Goa,585,Pernem,,15.7,73.8333,4,varconda
IN,India,India,403512,Tuem,Goa,33,North Goa,585,Pernem,,15.6649,73.7991,4,tuem
IN,India,India,403512,Poroscodem,Goa,33,North Goa,585,Pernem,,15.7403,73.8299,4,poroscodem
IN,India,India,403512,Morjim,Goa,33,North Goa,585,Pernem,,15.631,73.739,4,morjim
IN,India,India,403512,Pernem,Goa,33,North Goa,585,Bardez,,15.723,73.7951,4,pernem
IN,India,India,403513,Dhagalim,Goa,33,North Goa,585,Bardez,,15.6575,73.8572,3,dhagalim
IN,India,India,403513,Menkurim,Goa,33,North Goa,585,Bardez,,15.6575,73.8572,3,menkurim
IN,India,India,403513,Revora,Goa,33,North Goa,585,Bardez,,15.6652,73.8561,4,revora
IN,India,India,403513,Colvale,Goa,33,North Goa,585,Bardez,,15.6352,73.8243,4,colvale
IN,India,India,403513,Pirna,Goa,33,North Goa,585,Bardez,,15.6721,73.8913,4,pirna
IN,India,India,403513,Ozari,Goa,33,North Goa,585,Pernem,,15.6575,73.8572,3,ozari
