country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,133301,B.C.W. Suraj Pur,Haryana,10,Panchkula,069,Kalka,,30.8398,76.9406,1,b-c-w-suraj-pur
IN,India,India,133302,Kharanwali,Haryana,10,Panchkula,069,Kalka,,30.8398,76.9406,3,kharanwali
IN,India,India,133302,Kalka R.S.,Haryana,10,Panchkula,069,Kalka,,30.8398,76.9406,3,kalka-r-s
IN,India,India,133302,Kalka,Haryana,10,Panchkula,069,Kalka,,30.8398,76.9406,4,kalka
IN,India,India,134101,H.M.T.Pinjore,Haryana,10,Panchkula,069,Kalka,,30.7987,76.9182,1,h-m-t-pinjore
IN,India,India,134102,Chiken,Haryana,10,Panchkula,069,Panchkula,,30.7987,76.9182,3,chiken
IN,India,India,134102,Damaloan,Haryana,10,Panchkula,069,Panchkula,,30.7987,76.9182,3,damaloan
IN,India,India,134102,Mallah,Haryana,10,Panchkula,069,Panchkula,,30.7987,76.9182,3,mallah
IN,India,India,134102,Basolan,Haryana,10,Panchkula,069,Panchkula,,30.7987,76.9182,3,basolan
IN,India,India,134102,Nanakpur,Haryana,10,Panchkula,069,Panchkula,,30.7987,76.9182,3,nanakpur
IN,India,India,134102,Pinjore,Haryana,10,Panchkula,069,Kalka,,30.7987,76.9182,4,pinjore
IN,India,India,134103,I.T.B.P.  Bhanu,Haryana,10,Panchkula,069,Panchkula,,30.7987,76.9182,1,i-t-b-p-bhanu
IN,India,India,134104,C.R.P.F. Pinjore,Haryana,10,Panchkula,069,Kalka,,30.7987,76.9182,1,c-r-p-f-pinjore
IN,India,India,134105,Amravati Enclave,Haryana,10,Panchkula,069,Panchkula,,30.7987,76.9182,1,amravati-enclave
IN,India,India,134107,Chandi Mandir,Haryana,10,Panchkula,069,Panchkula,,30.7987,76.9182,1,chandi-mandir
