country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,193221,Handwara,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.3968,74.2814,4,handwara
IN,India,India,193221,Wadipora,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.4422,74.2599,3,wadipora
IN,India,India,193221,Zachaldara,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.4422,74.2599,3,zachaldara
IN,India,India,193221,Turkapora,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.4422,74.2599,3,turkapora
IN,India,India,193221,Shilhal,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.4422,74.2599,3,shilhal
IN,India,India,193221,Wader Nichama,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.4422,74.2599,3,wader-nichama
IN,India,India,193221,Natnusa,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.4422,74.2599,3,natnusa
IN,India,India,193221,Satkuji,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.4422,74.2599,3,satkuji
IN,India,India,193221,Chowgal,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.4422,74.2599,3,chowgal
IN,India,India,193221,Kandi,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.456,74.3325,4,kandi
IN,India,India,193221,Wagat,Jammu & Kashmir,12,Kupwara,001,Hadwara,,34.4564,74.1949,4,wagat
IN,India,India,193221,Magam,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.4595,74.2306,4,magam
IN,India,India,193222,Gulgam,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,4,gulgam
IN,India,India,193222,Dudi Machil,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,dudi-machil
IN,India,India,193222,Sarkuli,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,sarkuli
IN,India,India,193222,Pazipora,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,pazipora
IN,India,India,193222,Khumriyal,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,khumriyal
IN,India,India,193222,Karihama,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,karihama
IN,India,India,193222,Kalaroose,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,kalaroose
IN,India,India,193222,Jaggerpora,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,jaggerpora
IN,India,India,193222,Halmatpora,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,halmatpora
IN,India,India,193222,Haihama,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,haihama
IN,India,India,193222,Drugmulla,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,drugmulla
IN,India,India,193222,Batpora,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.55,74.2173,3,batpora
IN,India,India,193222,Kupwara,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,kupwara
IN,India,India,193222,Nagrimalpora,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,nagrimalpora
IN,India,India,193222,Batergam,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.55,74.2173,3,batergam
IN,India,India,193223,Dardpora,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5276,74.3949,3,dardpora
IN,India,India,193223,Wavoora,Jammu & Kashmir,12,Kupwara,001,SOGAM,,34.5276,74.3949,3,wavoora
IN,India,India,193223,Gogal,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5276,74.3949,3,gogal
IN,India,India,193223,Vernow,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5276,74.3949,3,vernow
IN,India,India,193223,Dever Inderbugh,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5276,74.3949,3,dever-inderbugh
IN,India,India,193223,Putushay,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5276,74.3949,3,putushay
IN,India,India,193223,Lalpora,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5276,74.3949,3,lalpora
IN,India,India,193223,Tekipora,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5276,74.3949,3,tekipora
IN,India,India,193223,Maidanpora,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5276,74.3949,3,maidanpora
IN,India,India,193223,Cheerkoot,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5276,74.3949,3,cheerkoot
IN,India,India,193223,Kuligam,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5472,74.4269,4,kuligam
IN,India,India,193223,Chandigam,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.4769,74.3886,4,chandigam
IN,India,India,193223,Krusan,Jammu & Kashmir,12,Kupwara,001,Sogam,,34.5851,74.3819,4,krusan
IN,India,India,193223,Sogam,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5014,74.3823,4,sogam
IN,India,India,193224,Manzgam,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.4795,74.0906,4,manzgam
IN,India,India,193224,Keran,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,4,keran
IN,India,India,193224,Kralpora,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,kralpora
IN,India,India,193224,Hayan,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,4,hayan
IN,India,India,193224,Zurhama,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,zurhama
IN,India,India,193224,Warsun,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,warsun
IN,India,India,193224,Villagam,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,villagam
IN,India,India,193224,Trehgam,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,trehgam
IN,India,India,193224,Tarathpora,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,tarathpora
IN,India,India,193224,Owoora,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,owoora
IN,India,India,193224,Meelyal,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,meelyal
IN,India,India,193224,Kakroosa,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,kakroosa
IN,India,India,193224,Gugloosa,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,gugloosa
IN,India,India,193224,Gazriyal,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,gazriyal
IN,India,India,193224,Chowkibal,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,chowkibal
IN,India,India,193224,Budnambal,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,budnambal
IN,India,India,193224,Panzgam,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.484,74.0753,4,panzgam
IN,India,India,193224,Kachhama,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,kachhama
IN,India,India,193224,Aloosa,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,3,aloosa
IN,India,India,193225,Nachian,Jammu & Kashmir,12,Kupwara,001,Tangdhar,,34.5319,74.2661,3,nachian
IN,India,India,193225,Teetwal,Jammu & Kashmir,12,Kupwara,001,Tangdhar,,34.5319,74.2661,3,teetwal
IN,India,India,193225,Hajitrah,Jammu & Kashmir,12,Kupwara,001,Tangdahr,,34.5319,74.2661,3,hajitrah
IN,India,India,193225,Chamkote,Jammu & Kashmir,12,Kupwara,001,Tagdhar,,34.5319,74.2661,3,chamkote
IN,India,India,193225,Nowgabra,Jammu & Kashmir,12,Kupwara,001,Tangdhar,,34.5319,74.2661,3,nowgabra
IN,India,India,193225,Tangdhar,Jammu & Kashmir,12,Kupwara,001,Kupwara,,34.5319,74.2661,4,tangdhar
IN,India,India,193225,Tad,Jammu & Kashmir,12,Kupwara,001,Tangdahr,,34.5319,74.2661,4,tad
IN,India,India,193302,Batagund,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,4,batagund
IN,India,India,193302,Kralgund,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,kralgund
IN,India,India,193302,Yaroo,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,yaroo
IN,India,India,193302,Sahipora,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,sahipora
IN,India,India,193302,Shatgund,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,shatgund
IN,India,India,193302,Gloora,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,gloora
IN,India,India,193302,Haril,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,4,haril
IN,India,India,193302,Puhroopeth,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,puhroopeth
IN,India,India,193302,Kalamchakla,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,kalamchakla
IN,India,India,193302,Nowgam,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,nowgam
IN,India,India,193302,Yunis Wahipora,Jammu & Kashmir,12,Kupwara,001,Handwara,,34.5319,74.2661,3,yunis-wahipora
IN,India,India,193303,Ashpora,Jammu & Kashmir,12,Kupwara,001,Sopore,,34.5319,74.2661,1,ashpora
IN,India,India,190005,Sanat Nagar,Jammu & Kashmir,12,Budgam,002,Sanat Nagar,,33.89,74.663,1,sanat-nagar
IN,India,India,190007,Sk Airport,Jammu & Kashmir,12,Budgam,002,Budgam,,33.89,74.663,1,sk-airport
IN,India,India,190014,Hyderpora,Jammu & Kashmir,12,Budgam,002,Hyderpora,,33.89,74.663,1,hyderpora
IN,India,India,190015,Nowgam,Jammu & Kashmir,12,Budgam,002,NA,,33.89,74.663,1,nowgam
IN,India,India,190015,Natipora,Jammu & Kashmir,12,Budgam,002,Natipora,,33.89,74.663,1,natipora
IN,India,India,190015,Kenihama,Jammu & Kashmir,12,Budgam,002,Kanihama,,33.89,74.663,1,kenihama
IN,India,India,190015,Nowgam,Jammu & Kashmir,12,Budgam,002,Nowgam,,33.89,74.663,1,nowgam
IN,India,India,190019,Kralpora,Jammu & Kashmir,12,Budgam,002,Badgam,,33.89,74.663,1,kralpora
IN,India,India,190021,Hamhama,Jammu & Kashmir,12,Budgam,002,NA,,33.89,74.663,1,hamhama
IN,India,India,191111,Watterhail,Jammu & Kashmir,12,Budgam,002,Watrihaal,,33.9245,74.6725,3,watterhail
IN,India,India,191111,Raithan,Jammu & Kashmir,12,Budgam,002,Raithan,,33.9187,74.6578,4,raithan
IN,India,India,191111,Shogapora,Jammu & Kashmir,12,Budgam,002,Shogapora,,33.9245,74.6725,3,shogapora
IN,India,India,191111,Budgam,Jammu & Kashmir,12,Budgam,002,Budgam,,33.9245,74.6725,3,budgam
IN,India,India,191111,Arigam,Jammu & Kashmir,12,Budgam,002,NA,,33.9303,74.6873,4,arigam
IN,India,India,191111,Khan Shaib,Jammu & Kashmir,12,Budgam,002,NA,,33.9245,74.6725,3,khan-shaib
IN,India,India,191111,Sholipora,Jammu & Kashmir,12,Budgam,002,Sholipora,,33.9245,74.6725,3,sholipora
IN,India,India,191111,Later Chadoora,Jammu & Kashmir,12,Budgam,002,Later Chadoora,,33.9245,74.6725,3,later-chadoora
IN,India,India,191111,Ichgam,Jammu & Kashmir,12,Budgam,002,Ichgam,,33.9245,74.6725,3,ichgam
IN,India,India,191111,Jawalapora,Jammu & Kashmir,12,Budgam,002,Jawalapora,,33.9245,74.6725,3,jawalapora
IN,India,India,191111,Kachwari,Jammu & Kashmir,12,Budgam,002,Kachwari,,33.9245,74.6725,3,kachwari
IN,India,India,191111,Ompora,Jammu & Kashmir,12,Budgam,002,Ompora,,33.9245,74.6725,3,ompora
IN,India,India,191111,Krim Shore,Jammu & Kashmir,12,Budgam,002,Krem Shora,,33.9245,74.6725,3,krim-shore
IN,India,India,191111,Soibugh,Jammu & Kashmir,12,Budgam,002,Saibugh,,33.9245,74.6725,3,soibugh
IN,India,India,191111,Arath,Jammu & Kashmir,12,Budgam,002,Arath,,33.9245,74.6725,3,arath
IN,India,India,191111,Bandgam,Jammu & Kashmir,12,Budgam,002,Bandgam,,33.9245,74.6725,3,bandgam
IN,India,India,191111,Gariend,Jammu & Kashmir,12,Budgam,002,Garend,,33.9245,74.6725,3,gariend
IN,India,India,191112,Darwan Nawgam,Jammu & Kashmir,12,Budgam,002,Darwan Nawgam,,33.8605,74.8026,1,darwan-nawgam
IN,India,India,191112,Abhama,Jammu & Kashmir,12,Budgam,002,Abhama,,33.8605,74.8026,1,abhama
IN,India,India,191112,Kenidajan,Jammu & Kashmir,12,Budgam,002,Kanidagan,,33.8605,74.8026,1,kenidajan
IN,India,India,191112,Pakherpora,Jammu & Kashmir,12,Budgam,002,Pakherpora,,33.8605,74.8026,1,pakherpora
IN,India,India,191112,Char-sharief,Jammu & Kashmir,12,Budgam,002,Char-sharief,,33.8605,74.8026,1,char-sharief
IN,India,India,191112,Hardudalwan,Jammu & Kashmir,12,Budgam,002,Hardudalwan,,33.8605,74.8026,1,hardudalwan
IN,India,India,191113,Chadoora,Jammu & Kashmir,12,Budgam,002,Chadoora,,33.9454,74.7971,4,chadoora
IN,India,India,191113,Lalgam,Jammu & Kashmir,12,Budgam,002,Lalgam,,33.9709,74.7819,4,lalgam
IN,India,India,191113,Gogjipathri,Jammu & Kashmir,12,Budgam,002,NA,,33.89,74.663,3,gogjipathri
IN,India,India,191113,Hanjura,Jammu & Kashmir,12,Budgam,002,NA,,33.89,74.663,3,hanjura
IN,India,India,191113,Kanir,Jammu & Kashmir,12,Budgam,002,Chadoora,,33.89,74.663,3,kanir
IN,India,India,191113,R N Hall,Jammu & Kashmir,12,Budgam,002,R H Hall,,33.89,74.663,3,r-n-hall
IN,India,India,191113,Wathura,Jammu & Kashmir,12,Budgam,002,NA,,33.89,74.663,3,wathura
IN,India,India,191113,Watakala,Jammu & Kashmir,12,Budgam,002,Watakala,,33.89,74.663,3,watakala
IN,India,India,191113,Wanpora,Jammu & Kashmir,12,Budgam,002,Wanpora,,33.89,74.663,3,wanpora
IN,India,India,191113,Sagam,Jammu & Kashmir,12,Budgam,002,Sagam,,33.89,74.663,3,sagam
IN,India,India,191113,Suraryan,Jammu & Kashmir,12,Budgam,002,Suraryan,,33.89,74.663,3,suraryan
IN,India,India,191113,Nagam,Jammu & Kashmir,12,Budgam,002,Nagam,,33.89,74.663,4,nagam
IN,India,India,191113,Bandipora,Jammu & Kashmir,12,Budgam,002,NA,,33.89,74.663,3,bandipora
IN,India,India,191113,Bogam Batapora,Jammu & Kashmir,12,Budgam,002,NA,,33.89,74.663,3,bogam-batapora
IN,India,India,191113,Hayatpora,Jammu & Kashmir,12,Budgam,002,NA,,33.89,74.663,3,hayatpora
IN,India,India,191113,Chattergam,Jammu & Kashmir,12,Budgam,002,NA,,33.89,74.663,3,chattergam
IN,India,India,191113,Brinjan,Jammu & Kashmir,12,Budgam,002,NA,,33.8827,74.728,4,brinjan
IN,India,India,191113,Rangar,Jammu & Kashmir,12,Budgam,002,Rangar,,33.9412,74.7578,4,rangar
IN,India,India,191132,Rangreth,Jammu & Kashmir,12,Budgam,002,NA,,33.89,74.663,1,rangreth
IN,India,India,192121,Pahroo,Jammu & Kashmir,12,Budgam,002,Chadura,,34.0151,74.919,3,pahroo
IN,India,India,193401,Sanoorkalipora,Jammu & Kashmir,12,Budgam,002,Beerwah,,33.89,74.663,3,sanoorkalipora
IN,India,India,193401,Peth Kanihama,Jammu & Kashmir,12,Budgam,002,Beerwah,,33.89,74.663,3,peth-kanihama
IN,India,India,193401,Narbal,Jammu & Kashmir,12,Budgam,002,Magam,,33.89,74.663,3,narbal
IN,India,India,193401,Kawoosa Khalisa,Jammu & Kashmir,12,Budgam,002,Beerwah,,33.89,74.663,3,kawoosa-khalisa
IN,India,India,193401,Aripanthan,Jammu & Kashmir,12,Budgam,002,Beerwah,,33.89,74.663,4,aripanthan
IN,India,India,193401,Kanihama,Jammu & Kashmir,12,Budgam,002,Beerwah,,33.89,74.663,3,kanihama
