country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,822112,Parsodih,Jharkhand,38,Garhwa,346,Garhwa,,24.4797,83.6204,4,parsodih
IN,India,India,822112,Makri,Jharkhand,38,Garhwa,346,Garhwa,,24.386,83.5559,4,makri
IN,India,India,822112,Raji,Jharkhand,38,Garhwa,346,Garhwa,,24.4552,83.3894,4,raji
IN,India,India,822112,Arangi,Jharkhand,38,Garhwa,346,Garhwa,,24.1747,83.7618,4,arangi
IN,India,India,822112,Chapri,Jharkhand,38,Garhwa,346,Garhwa,,24.4052,83.5752,4,chapri
IN,India,India,822112,Pachadumar,Jharkhand,38,Garhwa,346,Garhwa,,24.3728,83.5744,3,pachadumar
IN,India,India,822112,Bhawnathpur,Jharkhand,38,Garhwa,346,Garhwa,,24.3728,83.5744,3,bhawnathpur
IN,India,India,822112,Jhagra Khand,Jharkhand,38,Garhwa,346,Garhwa,,24.3728,83.5744,3,jhagra-khand
IN,India,India,822112,Kaetar,Jharkhand,38,Garhwa,346,Garhwa,,24.3728,83.5744,3,kaetar
IN,India,India,822112,Kariwadih,Jharkhand,38,Garhwa,346,Garhwa,,24.3728,83.5744,3,kariwadih
IN,India,India,822112,Partikushwani,Jharkhand,38,Garhwa,346,Garhwa,,24.3728,83.5744,3,partikushwani
IN,India,India,822112,Arsali,Jharkhand,38,Garhwa,346,Garhwa,,24.3754,83.5903,4,arsali
IN,India,India,822112,Pipra,Jharkhand,38,Garhwa,346,Garhwa,,24.168,83.8867,4,pipra
IN,India,India,822112,Kharaundhi,Jharkhand,38,Garhwa,346,Garhwa,,24.4263,83.4306,4,kharaundhi
IN,India,India,822112,Torelawa,Jharkhand,38,Garhwa,346,Garhwa,,24.4582,83.4731,4,torelawa
IN,India,India,822112,Amrora,Jharkhand,38,Garhwa,346,Garhwa,,24.3993,83.4606,4,amrora
IN,India,India,822114,Belhara,Jharkhand,38,Garhwa,346,Garhwa,,24.0898,83.8863,4,belhara
IN,India,India,822114,Kalyanpur,Jharkhand,38,Garhwa,346,Garhwa,,24.101,83.6993,4,kalyanpur
IN,India,India,822114,Rankabuliya,Jharkhand,38,Garhwa,346,Garhwa,,24.1854,83.9125,3,rankabuliya
IN,India,India,822114,Adar,Jharkhand,38,Garhwa,346,Garhwa,,24.3225,83.6998,4,adar
IN,India,India,822114,Doll,Jharkhand,38,Garhwa,346,Garhwa,,24.1854,83.9125,3,doll
IN,India,India,822114,Okhargara,Jharkhand,38,Garhwa,346,Garhwa,,24.2141,83.7856,4,okhargara
IN,India,India,822114,Garhwa,Jharkhand,38,Garhwa,346,Garhwa,,24.16,83.8075,4,garhwa
IN,India,India,822114,Ranicheri,Jharkhand,38,Garhwa,346,Garhwa,,24.0272,83.6239,4,ranicheri
IN,India,India,822114,Tildag,Jharkhand,38,Garhwa,346,Garhwa,,24.1283,83.8842,4,tildag
IN,India,India,822114,Soh,Jharkhand,38,Garhwa,346,Garhwa,,24.1135,83.826,4,soh
IN,India,India,822114,Anraj Nawdiha,Jharkhand,38,Garhwa,346,Garhwa,,24.1854,83.9125,3,anraj-nawdiha
IN,India,India,822114,Adhar,Jharkhand,38,Garhwa,346,Garhwa,,24.1854,83.9125,3,adhar
IN,India,India,822114,Ranpura,Jharkhand,38,Garhwa,346,Garhwa,,24.1854,83.9125,3,ranpura
IN,India,India,822114,Poska,Jharkhand,38,Garhwa,346,Garhwa,,24.1854,83.9125,3,poska
IN,India,India,822114,Manjhiaon,Jharkhand,38,Garhwa,346,Garhwa,,24.1854,83.9125,3,manjhiaon
IN,India,India,822114,Hoor,Jharkhand,38,Garhwa,346,Garhwa,,24.1854,83.9125,3,hoor
IN,India,India,822114,Chinia,Jharkhand,38,Garhwa,346,Garhwa,,24.1854,83.9125,3,chinia
IN,India,India,822114,Nawada,Jharkhand,38,Garhwa,346,Garhwa,,24.165,83.7872,4,nawada
IN,India,India,822114,Dumariya,Jharkhand,38,Garhwa,346,Garhwa,,24.101,83.6993,4,dumariya
IN,India,India,822118,Manjhigaon,Jharkhand,38,Garhwa,346,Lesliganj,,24.3948,83.5011,4,manjhigaon
IN,India,India,822124,Kadhwan,Jharkhand,38,Garhwa,346,Bisrampur,,24.502,83.6313,4,kadhwan
IN,India,India,822124,Belchampa,Jharkhand,38,Garhwa,346,Bisrampur,,24.2028,83.8727,4,belchampa
IN,India,India,822124,Bhikhahi,Jharkhand,38,Garhwa,346,Bisrampur,,24.1182,83.9405,4,bhikhahi
IN,India,India,822124,Bhandar,Jharkhand,38,Garhwa,346,Bishrampur,,24.2649,83.6821,4,bhandar
IN,India,India,822124,Danda,Jharkhand,38,Garhwa,346,Bisrampur,,24.1471,83.9539,4,danda
IN,India,India,822124,Sigsigi,Jharkhand,38,Garhwa,346,Bisrampur,,24.2557,83.8532,4,sigsigi
IN,India,India,822124,Kanda,Jharkhand,38,Garhwa,346,Bisrampur,,24.101,83.6993,4,kanda
IN,India,India,822124,Lalgarh,Jharkhand,38,Garhwa,346,Bisrampur,,24.101,83.6993,4,lalgarh
IN,India,India,822124,Gari,Jharkhand,38,Garhwa,346,Bisrampur,,24.101,83.6993,4,gari
IN,India,India,822124,Bansa,Jharkhand,38,Garhwa,346,Bisrampur,,24.101,83.6993,3,bansa
IN,India,India,822124,Ketat Kala,Jharkhand,38,Garhwa,346,Bisrampur,,24.101,83.6993,3,ketat-kala
IN,India,India,822124,Nawgarha,Jharkhand,38,Garhwa,346,Bisrampur,,24.101,83.6993,3,nawgarha
IN,India,India,822124,Rajhara Rest,Jharkhand,38,Garhwa,346,Bisrampur,,24.101,83.6993,3,rajhara-rest
IN,India,India,822124,Rehala,Jharkhand,38,Garhwa,346,Bisrampur,,24.101,83.6993,3,rehala
IN,India,India,822124,Sangrahekala,Jharkhand,38,Garhwa,346,Bisrampur,,24.101,83.6993,3,sangrahekala
