country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,670511,Kannivayal,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,kannivayal
IN,India,India,670511,Kamballur,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,kamballur
IN,India,India,670511,Kadumeni,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,kadumeni
IN,India,India,670511,Palavayal,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,palavayal
IN,India,India,670511,Thayyeni,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,thayyeni
IN,India,India,671121,Kasaragod R S,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,1,kasaragod-r-s
IN,India,India,671121,Kasaragod H.O,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,1,kasaragod-h-o
IN,India,India,671121,Adkathbail,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,1,adkathbail
IN,India,India,671122,Talangara,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,1,talangara
IN,India,India,671123,Muttathody,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,1,muttathody
IN,India,India,671123,Alampady,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,1,alampady
IN,India,India,671123,Vidyanagar (Kasargod),Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,1,vidyanagar-kasargod
IN,India,India,671123,Kallakatta,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,1,kallakatta
IN,India,India,671123,Cheroor,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,1,cheroor
IN,India,India,671123,Hidayathnagar,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,1,hidayathnagar
IN,India,India,671124,Bedradka,Kerala,13,Kasargod,588,Kasaragod,,12.5556,74.985,4,bedradka
IN,India,India,671124,Kudlu,Kerala,13,Kasargod,588,Kasaragod,,12.5298,74.9788,4,kudlu
IN,India,India,671124,Mogral Puthur,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,3,mogral-puthur
IN,India,India,671124,Mayipady,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,3,mayipady
IN,India,India,671124,Shiribagilu,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,3,shiribagilu
IN,India,India,671124,Ramdasnagar,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,3,ramdasnagar
IN,India,India,671124,Madhur,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,3,madhur
IN,India,India,671124,Patla,Kerala,13,Kasargod,588,Kasaragod,,12.5427,74.9819,3,patla
IN,India,India,671310,Trikarpur Kadapuram,Kerala,13,Kasargod,588,Hosdurg,,12.2277,75.205,1,trikarpur-kadapuram
IN,India,India,671310,Edachakai,Kerala,13,Kasargod,588,Hosdurg,,12.2277,75.205,1,edachakai
IN,India,India,671310,Maniyat,Kerala,13,Kasargod,588,Hosdurg,,12.2277,75.205,1,maniyat
IN,India,India,671310,Pilicode,Kerala,13,Kasargod,588,Hosdurg,,12.2277,75.205,1,pilicode
IN,India,India,671310,Trikarpur,Kerala,13,Kasargod,588,Hosdurg,,12.2277,75.205,1,trikarpur
IN,India,India,671310,Vellap,Kerala,13,Kasargod,588,Hosdurg,,12.2277,75.205,1,vellap
IN,India,India,671310,Kotakkat,Kerala,13,Kasargod,588,Hosdurg,,12.2277,75.205,1,kotakkat
IN,India,India,671310,Udinur,Kerala,13,Kasargod,588,Hosdurg,,12.2277,75.205,1,udinur
IN,India,India,671310,Olat,Kerala,13,Kasargod,588,Hosdurg,,12.2277,75.205,1,olat
IN,India,India,671311,Udumbanthala,Kerala,13,Kasargod,588,Hosdurg,,12.1165,75.1852,3,udumbanthala
IN,India,India,671311,Elambachi,Kerala,13,Kasargod,588,Hosdurg,,12.1165,75.1852,3,elambachi
IN,India,India,671311,Trikarpur South,Kerala,13,Kasargod,588,Hosdurg,,12.1165,75.1852,4,trikarpur-south
IN,India,India,671312,Mavilakadapuram,Kerala,13,Kasargod,588,Hosdurg,,12.1646,75.1372,3,mavilakadapuram
IN,India,India,671312,Padnekadapuram,Kerala,13,Kasargod,588,Hosdurg,,12.1646,75.1372,3,padnekadapuram
IN,India,India,671312,Valiaparaba,Kerala,13,Kasargod,588,Hosdurg,,12.1646,75.1372,3,valiaparaba
IN,India,India,671312,Padne,Kerala,13,Kasargod,588,Hosdurg,,12.1646,75.1372,4,padne
IN,India,India,671313,Podavur,Kerala,13,Kasargod,588,Hosdurg,,12.2606,75.2288,4,podavur
IN,India,India,671313,Kilaikote,Kerala,13,Kasargod,588,Hosdurg,,12.25,75.2319,3,kilaikote
IN,India,India,671313,Timiri - Chervathur,Kerala,13,Kasargod,588,Hosdurg,,12.25,75.2319,3,timiri-chervathur
IN,India,India,671313,Kayyur,Kerala,13,Kasargod,588,Hosdurg,,12.25,75.2319,3,kayyur
IN,India,India,671313,Pettikundu,Kerala,13,Kasargod,588,Hosdurg,,12.25,75.2319,3,pettikundu
IN,India,India,671313,Kaithakkad,Kerala,13,Kasargod,588,Hosdurg,,12.25,75.2319,3,kaithakkad
IN,India,India,671313,Chervathur,Kerala,13,Kasargod,588,Hosdurg,,12.25,75.2319,3,chervathur
IN,India,India,671313,Chimeni,Kerala,13,Kasargod,588,Hosdurg,,12.2394,75.235,4,chimeni
IN,India,India,671313,Valiapoil,Kerala,13,Kasargod,588,Hosdurg,,12.25,75.2319,3,valiapoil
IN,India,India,671313,Perumbatta,Kerala,13,Kasargod,588,Hosdurg,,12.25,75.2319,3,perumbatta
IN,India,India,671314,Kottapuram,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,4,kottapuram
IN,India,India,671314,Karindala,Kerala,13,Kasargod,588,Hosdurg,,12.2691,75.2392,4,karindala
IN,India,India,671314,Nileshwar,Kerala,13,Kasargod,588,Hosdurg,,12.2595,75.1352,4,nileshwar
IN,India,India,671314,Uppilakai,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,uppilakai
IN,India,India,671314,Chayoth,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,chayoth
IN,India,India,671314,Elerithattu,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,elerithattu
IN,India,India,671314,Erikulam,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,erikulam
IN,India,India,671314,Bengalam,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,bengalam
IN,India,India,671314,Bheemanady,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,bheemanady
IN,India,India,671314,Kalichanadukam,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,kalichanadukam
IN,India,India,671314,Kattipoil,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,kattipoil
IN,India,India,671314,Kollampara,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,kollampara
IN,India,India,671314,Kottamala Estate,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,kottamala-estate
IN,India,India,671314,Ozhinhavalappu,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,ozhinhavalappu
IN,India,India,671314,Madikai,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,madikai
IN,India,India,671314,Padnekkad,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,padnekkad
IN,India,India,671314,Chathamath,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,chathamath
IN,India,India,671314,Periyanganam,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,periyanganam
IN,India,India,671314,Pudukai,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,pudukai
IN,India,India,671314,Puthariadukkam,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,puthariadukkam
IN,India,India,671314,Thaikadapuram,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,thaikadapuram
IN,India,India,671314,West Eleri,Kerala,13,Kasargod,588,Hosdurg,,12.4628,75.1537,3,west-eleri
IN,India,India,671315,Kanhangad H.O,Kerala,13,Kasargod,588,Hosdurg,,12.2277,75.205,1,kanhangad-h-o
IN,India,India,671316,Bekal Fort,Kerala,13,Kasargod,588,Hosdurg,,12.3965,75.0351,4,bekal-fort
IN,India,India,671316,Periye,Kerala,13,Kasargod,588,Hosdurg,,12.4044,75.1026,4,periye
IN,India,India,671316,Manikoth,Kerala,13,Kasargod,588,Hosdurg,,12.39,75.0714,3,manikoth
IN,India,India,671316,Keekan,Kerala,13,Kasargod,588,Hosdurg,,12.39,75.0714,3,keekan
IN,India,India,671316,Movval,Kerala,13,Kasargod,588,Hosdurg,,12.39,75.0714,3,movval
IN,India,India,671316,Pakkom,Kerala,13,Kasargod,588,Hosdurg,,12.39,75.0714,3,pakkom
IN,India,India,671316,Ravaneshwaram,Kerala,13,Kasargod,588,Hosdurg,,12.39,75.0714,3,ravaneshwaram
IN,India,India,671316,Chittari,Kerala,13,Kasargod,588,Hosdurg,,12.3692,75.0764,4,chittari
IN,India,India,671317,Kalnad,Kerala,13,Kasargod,588,Kasaragod,,12.4637,74.9958,4,kalnad
IN,India,India,671317,Chandragiri,Kerala,13,Kasargod,588,Kasaragod,,12.4609,75.0021,4,chandragiri
IN,India,India,671317,Paravanadkam,Kerala,13,Kasargod,588,Kasaragod,,12.4623,74.999,3,paravanadkam
IN,India,India,671317,Chamnad,Kerala,13,Kasargod,588,Kasaragod,,12.4623,74.999,3,chamnad
IN,India,India,671317,Perumbala,Kerala,13,Kasargod,588,Kasaragod,,12.4623,74.999,3,perumbala
IN,India,India,671318,Paniyal,Kerala,13,Kasargod,588,Hosdurg,,12.3965,75.0351,3,paniyal
IN,India,India,671318,Bekal,Kerala,13,Kasargod,588,Hosdurg,,12.3965,75.0351,4,bekal
IN,India,India,671319,Udma,Kerala,13,Kasargod,588,Hosdurg,,12.446,75.042,3,udma
IN,India,India,671319,Mylatti,Kerala,13,Kasargod,588,Hosdurg,,12.446,75.042,3,mylatti
IN,India,India,671319,Umda - Padinhare,Kerala,13,Kasargod,588,Hosdurg,,12.446,75.042,3,umda-padinhare
IN,India,India,671319,Bare,Kerala,13,Kasargod,588,Hosdurg,,12.446,75.042,4,bare
IN,India,India,671321,Mogral,Kerala,13,Kasargod,588,Kasaragod,,12.5726,74.9584,4,mogral
IN,India,India,671321,Mugu,Kerala,13,Kasargod,588,Kasaragod,,12.6223,75.0354,4,mugu
IN,India,India,671321,Kodiamme,Kerala,13,Kasargod,588,Kasaragod,,12.5196,75.0296,3,kodiamme
IN,India,India,671321,Kannur,Kerala,13,Kasargod,588,Kasaragod,,12.4628,75.1537,4,kannur
IN,India,India,671321,Bombrana,Kerala,13,Kasargod,588,Kasaragod,,12.6306,74.9486,4,bombrana
IN,India,India,671321,Badur,Kerala,13,Kasargod,588,Kasaragod,,12.6531,75.0376,4,badur
IN,India,India,671321,Shiriya,Kerala,13,Kasargod,588,Kasaragod,,12.6334,74.9308,4,shiriya
IN,India,India,671321,Kumbla,Kerala,13,Kasargod,588,Kasaragod,,12.591,74.9445,4,kumbla
IN,India,India,671321,Bela,Kerala,13,Kasargod,588,Kasaragod,,12.5864,75.0237,4,bela
IN,India,India,671321,Ednad,Kerala,13,Kasargod,588,Kasaragod,,12.5196,75.0296,3,ednad
IN,India,India,671321,Ichlampady,Kerala,13,Kasargod,588,Kasaragod,,12.5196,75.0296,3,ichlampady
IN,India,India,671321,Puthige,Kerala,13,Kasargod,588,Kasaragod,,12.5196,75.0296,3,puthige
IN,India,India,671321,Angadimogaru,Kerala,13,Kasargod,588,Kasaragod,,12.5196,75.0296,3,angadimogaru
IN,India,India,671321,Arikady,Kerala,13,Kasargod,588,Kasaragod,,12.5196,75.0296,3,arikady
IN,India,India,671321,Kidoor,Kerala,13,Kasargod,588,Kasaragod,,12.5196,75.0296,3,kidoor
IN,India,India,671321,Ullody,Kerala,13,Kasargod,588,Kasaragod,,12.5196,75.0296,3,ullody
IN,India,India,671321,Nirchal,Kerala,13,Kasargod,588,Kasaragod,,12.5196,75.0296,3,nirchal
IN,India,India,671322,Bekur,Kerala,13,Kasargod,588,Kasaragod,,12.6844,74.9007,3,bekur
IN,India,India,671322,Uppala Gate,Kerala,13,Kasargod,588,Kasaragod,,12.6844,74.9007,3,uppala-gate
IN,India,India,671322,Kayyaru,Kerala,13,Kasargod,588,Kasaragod,,12.6844,74.9007,3,kayyaru
IN,India,India,671322,Beripadavu,Kerala,13,Kasargod,588,Kasaragod,,12.6844,74.9007,3,beripadavu
IN,India,India,671322,Kurudapadavu,Kerala,13,Kasargod,588,Kasaragod,,12.6844,74.9007,3,kurudapadavu
IN,India,India,671322,Chippar,Kerala,13,Kasargod,588,Kasaragod,,12.6844,74.9007,3,chippar
IN,India,India,671322,Ammeri,Kerala,13,Kasargod,588,Kasaragod,,12.6844,74.9007,3,ammeri
IN,India,India,671322,Uppala,Kerala,13,Kasargod,588,Kasaragod,,12.6844,74.9007,4,uppala
IN,India,India,671323,Badaje,Kerala,13,Kasargod,588,Kasaragod,,12.7234,74.9115,4,badaje
IN,India,India,671323,Pavoor,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,pavoor
IN,India,India,671323,Moodambail,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,moodambail
IN,India,India,671323,Miyapadavu,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,miyapadavu
IN,India,India,671323,Bangramanjeshwar,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,bangramanjeshwar
IN,India,India,671323,Charla,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,charla
IN,India,India,671323,Kadambar,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,kadambar
IN,India,India,671323,Majibail,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,majibail
IN,India,India,671323,Kodlamogaru,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,kodlamogaru
IN,India,India,671323,Koliyur,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,koliyur
IN,India,India,671323,Udyavara,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,udyavara
IN,India,India,671323,Kunjathur,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,kunjathur
IN,India,India,671323,Pathoor,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,pathoor
IN,India,India,671323,Vorkadi,Kerala,13,Kasargod,588,Kasaragod,,12.761,74.9252,4,vorkadi
IN,India,India,671323,Manjeshwar,Kerala,13,Kasargod,588,Kasaragod,,12.7129,74.8886,4,manjeshwar
IN,India,India,671323,Anekallu,Kerala,13,Kasargod,588,Kasaragod,,12.7484,74.9915,4,anekallu
IN,India,India,671323,Hosabettu,Kerala,13,Kasargod,588,Kasaragod,,12.7364,74.9292,3,hosabettu
IN,India,India,671324,Heroor,Kerala,13,Kasargod,588,Kasaragod,,12.6516,74.9722,3,heroor
IN,India,India,671324,Permude,Kerala,13,Kasargod,588,Kasaragod,,12.6516,74.9722,3,permude
IN,India,India,671324,Mangalpady,Kerala,13,Kasargod,588,Kasaragod,,12.6516,74.9722,3,mangalpady
IN,India,India,671324,Dharmathadka,Kerala,13,Kasargod,588,Kasaragod,,12.6516,74.9722,3,dharmathadka
IN,India,India,671324,Kudalmerkala,Kerala,13,Kasargod,588,Kasaragod,,12.6619,74.9955,4,kudalmerkala
IN,India,India,671324,Ichlangodu,Kerala,13,Kasargod,588,Kasaragod,,12.6414,74.9488,4,ichlangodu
IN,India,India,671326,Mandapam,Kerala,13,Kasargod,588,Hosdurg,,12.606,74.9866,1,mandapam
IN,India,India,671326,Chittarikkal,Kerala,13,Kasargod,588,Hosdurg,,12.606,74.9866,1,chittarikkal
IN,India,India,671348,Bayar,Kerala,13,Kasargod,588,Kasaragod,,12.6923,75.0243,4,bayar
