country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,425409,Padalda,Maharashtra,16,Nandurbar,497,Shahade,,21.3514,74.435,3,padalda
IN,India,India,425409,Shirud-digar,Maharashtra,16,Nandurbar,497,Shahada,,21.3514,74.435,3,shirud-digar
IN,India,India,425409,M-mohida,Maharashtra,16,Nandurbar,497,Shahada,,21.3514,74.435,3,m-mohida
IN,India,India,425409,Sonwad,Maharashtra,16,Nandurbar,497,Shahade,,21.3514,74.435,3,sonwad
IN,India,India,425409,Sulvade,Maharashtra,16,Nandurbar,497,Shahada,,21.3514,74.435,3,sulvade
IN,India,India,425409,Vardhe,Maharashtra,16,Nandurbar,497,Shahada,,21.3514,74.435,3,vardhe
IN,India,India,425409,Mohida TH,Maharashtra,16,Nandurbar,497,Shahada,,21.3514,74.435,3,mohida-th
IN,India,India,425409,Shahada Town,Maharashtra,16,Nandurbar,497,Shahade,,21.3514,74.435,3,shahada-town
IN,India,India,425409,Bhade,Maharashtra,16,Nandurbar,497,Shahada,,21.3514,74.435,3,bhade
IN,India,India,425409,Kahatul,Maharashtra,16,Nandurbar,497,Shahada,,21.511,74.5555,4,kahatul
IN,India,India,425409,Raikhed,Maharashtra,16,Nandurbar,497,Shahada,,21.3514,74.435,3,raikhed
IN,India,India,425409,Kalmadi,Maharashtra,16,Nandurbar,497,Shahade,,21.4229,74.3224,4,kalmadi
IN,India,India,425409,Lonkheda,Maharashtra,16,Nandurbar,497,Shahada,,21.567,74.4859,4,lonkheda
IN,India,India,425409,Shahada,Maharashtra,16,Nandurbar,497,Shahada,,21.5454,74.4711,4,shahada
IN,India,India,425409,Ambapur,Maharashtra,16,Nandurbar,497,Shahada,,21.5503,74.2197,4,ambapur
IN,India,India,425409,Londhare,Maharashtra,16,Nandurbar,497,Shahada,,21.5503,74.2197,4,londhare
IN,India,India,425409,Kalsadi,Maharashtra,16,Nandurbar,497,Shahada,,21.5765,74.428,4,kalsadi
IN,India,India,425409,Shelti,Maharashtra,16,Nandurbar,497,Shahada,,21.4434,74.4212,4,shelti
IN,India,India,425409,Dhurkheda,Maharashtra,16,Nandurbar,497,Shahada,,21.5361,74.4179,4,dhurkheda
IN,India,India,425409,Mubarakpur,Maharashtra,16,Nandurbar,497,Shahada,,21.6685,74.5412,4,mubarakpur
IN,India,India,425409,Brahmanpuri,Maharashtra,16,Nandurbar,497,Shahada,,21.6198,74.52,4,brahmanpuri
IN,India,India,425410,Anarad,Maharashtra,16,Nandurbar,497,Shahade,,21.4334,74.5273,3,anarad
IN,India,India,425410,Kalamboo,Maharashtra,16,Nandurbar,497,Shahada,,21.4334,74.5273,3,kalamboo
IN,India,India,425410,Biladi T.S,Maharashtra,16,Nandurbar,497,Shahada,,21.4334,74.5273,3,biladi-t-s
IN,India,India,425410,Sarangkheda,Maharashtra,16,Nandurbar,497,Shahada,,21.4334,74.5273,4,sarangkheda
IN,India,India,425411,Ranala,Maharashtra,16,Nandurbar,497,Nandurbar,,21.3437,74.3953,4,ranala
IN,India,India,425411,Koparli,Maharashtra,16,Nandurbar,497,Nandurbar,,21.4222,74.4269,4,koparli
IN,India,India,425411,Wavad,Maharashtra,16,Nandurbar,497,Nandurbar,,21.3829,74.4111,3,wavad
IN,India,India,425411,Manjare,Maharashtra,16,Nandurbar,497,Nandurbar,,21.3829,74.4111,3,manjare
IN,India,India,425411,Chaupale,Maharashtra,16,Nandurbar,497,Nandurbar,,21.3829,74.4111,3,chaupale
IN,India,India,425411,Bahyane,Maharashtra,16,Nandurbar,497,Nandurbar,,21.3829,74.4111,3,bahyane
IN,India,India,425412,Khondamali,Maharashtra,16,Nandurbar,497,Nandurbar,,21.4439,74.3293,4,khondamali
IN,India,India,425412,Dhamdai,Maharashtra,16,Nandurbar,497,Nandurbar,,21.4438,74.2234,4,dhamdai
IN,India,India,425412,Shinde,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,4,shinde
IN,India,India,425412,Nandurbar Kutchery,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,nandurbar-kutchery
IN,India,India,425412,Arditara,Maharashtra,16,Nandurbar,497,Nandurbar,,21.4109,74.0578,4,arditara
IN,India,India,425412,Nandurbar,Maharashtra,16,Nandurbar,497,Nandurbar,,21.3667,74.2405,4,nandurbar
IN,India,India,425412,Thanepada,Maharashtra,16,Nandurbar,497,Nandurbar,,21.2575,74.2655,4,thanepada
IN,India,India,425412,Natavad,Maharashtra,16,Nandurbar,497,Nandurbar,,21.4081,74.092,4,natavad
IN,India,India,425412,Kolda,Maharashtra,16,Nandurbar,497,Nandurbar,,21.4393,74.2831,4,kolda
IN,India,India,425412,Bhaler,Maharashtra,16,Nandurbar,497,Nandurbar,,21.3976,74.354,4,bhaler
IN,India,India,425412,Sindgavhan,Maharashtra,16,Nandurbar,497,Nandurbar,,21.4171,74.3536,4,sindgavhan
IN,India,India,425412,Patonda,Maharashtra,16,Nandurbar,497,Nandurbar,,21.3981,74.2612,4,patonda
IN,India,India,425412,Pimplod,Maharashtra,16,Nandurbar,497,Nandurbar,,21.4232,74.1159,4,pimplod
IN,India,India,425412,Dhanora,Maharashtra,16,Nandurbar,497,Nandurbar,,21.4392,74.0777,4,dhanora
IN,India,India,425412,Dhulwad,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,dhulwad
IN,India,India,425412,Gujarbhavali,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,gujarbhavali
IN,India,India,425412,June Mohide,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,june-mohide
IN,India,India,425412,Karajkupa,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,karajkupa
IN,India,India,425412,Korit,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,korit
IN,India,India,425412,Kothali KH,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,kothali-kh
IN,India,India,425412,Nandarkhe,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,nandarkhe
IN,India,India,425412,Nandurbar Bazar,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,nandurbar-bazar
IN,India,India,425412,Pachorabari,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,pachorabari
IN,India,India,425412,Songirpada,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,songirpada
IN,India,India,425412,Sundarde Digar,Maharashtra,16,Nandurbar,497,Nandurbar,,21.5503,74.2197,3,sundarde-digar
