country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,798602,Yannu,Nagaland,20,Mon,261,Tizit,,26.7312,95.0217,3,yannu
IN,India,India,798602,Namsa,Nagaland,20,Mon,261,Tizit,,26.7312,95.0217,3,namsa
IN,India,India,798602,Zangkham,Nagaland,20,Mon,261,Tizit,,26.7312,95.0217,3,zangkham
IN,India,India,798602,Zaboka,Nagaland,20,Mon,261,Tizit,,26.7312,95.0217,3,zaboka
IN,India,India,798602,Tizit,Nagaland,20,Mon,261,Mon,,26.904,95.0798,4,tizit
IN,India,India,798603,Tobu,Nagaland,20,Mon,261,Champang,,26.7312,95.0217,4,tobu
IN,India,India,798603,Angphang,Nagaland,20,Mon,261,Champang,,26.5004,94.9793,4,angphang
IN,India,India,798603,Chenloisho,Nagaland,20,Mon,261,Champang,,26.4886,94.9519,3,chenloisho
IN,India,India,798603,Longching,Nagaland,20,Mon,261,Champang,,26.5178,94.935,4,longching
IN,India,India,798603,Monyakshu,Nagaland,20,Mon,261,Champang,,26.7312,95.0217,4,monyakshu
IN,India,India,798603,Chenwetnyu,Nagaland,20,Mon,261,Champang,,26.4886,94.9519,3,chenwetnyu
IN,India,India,798603,Jakpang,Nagaland,20,Mon,261,Champang,,26.4886,94.9519,3,jakpang
IN,India,India,798603,Ukha,Nagaland,20,Mon,261,Champang,,26.4886,94.9519,3,ukha
IN,India,India,798603,Champang,Nagaland,20,Mon,261,Mon,,26.4886,94.9519,3,champang
IN,India,India,798603,Pessao,Nagaland,20,Mon,261,Champang,,26.4886,94.9519,3,pessao
IN,India,India,798603,Chingkao,Nagaland,20,Mon,261,Champang,,26.4886,94.9519,3,chingkao
IN,India,India,798603,Chinglong,Nagaland,20,Mon,261,Champang,,26.624,94.919,4,chinglong
IN,India,India,798621,Wakching,Nagaland,20,Mon,261,Naginimora,,26.6608,94.8432,4,wakching
IN,India,India,798621,Pongkong,Nagaland,20,Mon,261,Mon,,26.6983,94.9508,3,pongkong
IN,India,India,798621,Totak,Nagaland,20,Mon,261,Mon,,26.6983,94.9508,3,totak
IN,India,India,798621,Chui,Nagaland,20,Mon,261,Mon,,26.6983,94.9508,3,chui
IN,India,India,798621,Longpong Senghe,Nagaland,20,Mon,261,Mon,,26.6983,94.9508,3,longpong-senghe
IN,India,India,798621,Longwa,Nagaland,20,Mon,261,Mon,,26.6983,94.9508,3,longwa
IN,India,India,798621,Waunching,Nagaland,20,Mon,261,Mon,,26.6983,94.9508,3,waunching
IN,India,India,798621,Singha Chingnyu,Nagaland,20,Mon,261,Mon,,26.6983,94.9508,3,singha-chingnyu
IN,India,India,798621,Tang,Nagaland,20,Mon,261,Mon,,26.6983,94.9508,3,tang
IN,India,India,798621,Mon,Nagaland,20,Mon,261,Mon,,26.7358,95.0584,4,mon
IN,India,India,798622,Kongon,Nagaland,20,Mon,261,Naginimora,,26.8149,94.8108,3,kongon
IN,India,India,798622,Baranamsang,Nagaland,20,Mon,261,Naginimora,,26.8149,94.8108,3,baranamsang
IN,India,India,798622,Naginimora,Nagaland,20,Mon,261,Mon,,26.8149,94.8108,4,naginimora
IN,India,India,798601,Aolijen,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,aolijen
IN,India,India,798601,Mangmentong,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,mangmentong
IN,India,India,798601,Khensa,Nagaland,20,Mokokchung,262,Ongpang Kong,,26.3457,94.4892,4,khensa
IN,India,India,798601,Arree Old,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,arree-old
IN,India,India,798601,V. K. Town,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,v-k-town
IN,India,India,798601,Tronger,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,tronger
IN,India,India,798601,S. E. Colony,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,s-e-colony
IN,India,India,798601,Nst Colony,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,nst-colony
IN,India,India,798601,Ongpangkong,Nagaland,20,Mokokchung,262,Mokokchung,,26.3631,94.4771,4,ongpangkong
IN,India,India,798601,Chare,Nagaland,20,Mokokchung,262,Mokokchung,,26.472,94.5318,4,chare
IN,India,India,798601,Kubza,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,kubza
IN,India,India,798601,Longmisa,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,longmisa
IN,India,India,798601,Fazl Ali College,Nagaland,20,Mokokchung,262,Ongpangkong,,26.3171,94.5143,3,fazl-ali-college
IN,India,India,798601,Changki,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,changki
IN,India,India,798601,Longkhum,Nagaland,20,Mokokchung,262,Mokokchung,,26.3171,94.5143,3,longkhum
IN,India,India,798601,Chungtia,Nagaland,20,Mokokchung,262,Mokokchung,,26.3836,94.442,4,chungtia
IN,India,India,798601,Longsa,Nagaland,20,Mokokchung,262,Mokokchung,,26.2209,94.5499,4,longsa
IN,India,India,798601,Ungma,Nagaland,20,Mokokchung,262,Mokokchung,,26.2963,94.5038,4,ungma
IN,India,India,798601,Mokokchung,Nagaland,20,Mokokchung,262,Mokokchung,,26.3248,94.5183,4,mokokchung
IN,India,India,798604,Alungkima,Nagaland,20,Mokokchung,262,Mongkholemba,,26.6109,94.49,3,alungkima
IN,India,India,798604,Longchem,Nagaland,20,Mokokchung,262,Mongkholemba,,26.6109,94.49,4,longchem
IN,India,India,798604,Alungtaki,Nagaland,20,Mokokchung,262,Mongkholemba,,26.6109,94.49,3,alungtaki
IN,India,India,798604,Mongchen,Nagaland,20,Mokokchung,262,Mongkholemba,,26.6109,94.49,3,mongchen
IN,India,India,798604,Waromung,Nagaland,20,Mokokchung,262,Mongkholemba,,26.6109,94.49,3,waromung
