country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,533464,Yanam,Pondicherry,22,Pondicherry,635,Pondicherry,,11.9121,79.733,3,yanam
IN,India,India,605001,Pondicherry H.O,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,pondicherry-h-o
IN,India,India,605002,Sri Aurobindo Ashram,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,sri-aurobindo-ashram
IN,India,India,605003,Muthialpet,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,muthialpet
IN,India,India,605004,Mouroungapakkam,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,mouroungapakkam
IN,India,India,605004,Thengaithittu,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,thengaithittu
IN,India,India,605004,Pondicherry Courts,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,pondicherry-courts
IN,India,India,605004,Mudaliarpet,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,mudaliarpet
IN,India,India,605005,Nellithoppe,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,nellithoppe
IN,India,India,605006,Dhanvantry Nagar,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,dhanvantry-nagar
IN,India,India,605007,Pooranankuppam,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,3,pooranankuppam
IN,India,India,605007,Veerampattinam,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,3,veerampattinam
IN,India,India,605007,Karikalambakkam,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,3,karikalambakkam
IN,India,India,605007,Ariyankuppam,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8953,79.8071,4,ariyankuppam
IN,India,India,605007,Abishegapakkam,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,3,abishegapakkam
IN,India,India,605007,Nallavadu,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8583,79.8143,4,nallavadu
IN,India,India,605007,Thimmanaickenpalayam,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,3,thimmanaickenpalayam
IN,India,India,605008,Lawspet,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,lawspet
IN,India,India,605009,Mottoupalayam,Pondicherry,22,Pondicherry,635,Pondicherry,,11.8768,79.8107,1,mottoupalayam
