country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,143505,Batala H.O,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,1,batala-h-o
IN,India,India,143505,Nehru Gate Batala,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,1,nehru-gate-batala
IN,India,India,143505,Krishna Nagar Batala,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,1,krishna-nagar-batala
IN,India,India,143505,Judicial Complex Batala,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,1,judicial-complex-batala
IN,India,India,143505,Batala City,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,1,batala-city
IN,India,India,143505,Guru Nanak Nagar (Gurdaspur),Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,1,guru-nanak-nagar-gurdaspur
IN,India,India,143506,Udhanwal,Punjab,23,Gurdaspur,035,Batala,,31.7362,75.3721,4,udhanwal
IN,India,India,143506,Chahal,Punjab,23,Gurdaspur,035,Batala,,31.7658,75.2217,4,chahal
IN,India,India,143506,Ranger Nangal,Punjab,23,Gurdaspur,035,NA,,31.6966,75.257,4,ranger-nangal
IN,India,India,143506,G S T C Batala,Punjab,23,Gurdaspur,035,Batala,,31.7328,75.2836,3,g-s-t-c-batala
IN,India,India,143506,Harpura Dhandoi,Punjab,23,Gurdaspur,035,Batala,,31.7328,75.2836,3,harpura-dhandoi
IN,India,India,143506,Bode Di Khui,Punjab,23,Gurdaspur,035,Batala,,31.7328,75.2836,3,bode-di-khui
IN,India,India,143506,Panjgarian,Punjab,23,Gurdaspur,035,Batala,,31.7328,75.2836,3,panjgarian
IN,India,India,143506,Batala Sugar Mills,Punjab,23,Gurdaspur,035,Batala,,31.7328,75.2836,3,batala-sugar-mills
IN,India,India,143506,Massania,Punjab,23,Gurdaspur,035,Batala,,31.7328,75.2836,3,massania
IN,India,India,143506,Govt. Poly. Tech Batala,Punjab,23,Gurdaspur,035,Batala,,31.7328,75.2836,3,govt-poly-tech-batala
IN,India,India,143506,Dadiala Nazara,Punjab,23,Gurdaspur,035,Batala,,31.7328,75.2836,3,dadiala-nazara
IN,India,India,143506,Chaudhriwal,Punjab,23,Gurdaspur,035,Batala,,31.7328,75.2836,3,chaudhriwal
IN,India,India,143506,Jaito Sarja,Punjab,23,Gurdaspur,035,Batala,,31.7328,75.2836,3,jaito-sarja
IN,India,India,143506,Wadala Granthia,Punjab,23,Gurdaspur,035,NA,,31.7328,75.2836,3,wadala-granthia
IN,India,India,143507,Kastiwal,Punjab,23,Gurdaspur,035,Batala,,31.8548,75.1191,4,kastiwal
IN,India,India,143507,Sarupwali,Punjab,23,Gurdaspur,035,Batala,,31.7708,75.1407,4,sarupwali
IN,India,India,143507,Talwandi Lal Singh,Punjab,23,Gurdaspur,035,Batala,,31.8367,75.1474,4,talwandi-lal-singh
IN,India,India,143507,Aliwal,Punjab,23,Gurdaspur,035,Batala,,31.8336,75.1152,4,aliwal
IN,India,India,143507,Shankarpura,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,3,shankarpura
IN,India,India,143507,Riali,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,3,riali
IN,India,India,143507,Balpurian,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,3,balpurian
IN,India,India,143507,Dabhanwala Kalan,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,3,dabhanwala-kalan
IN,India,India,143507,Dadiala Natt,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,3,dadiala-natt
IN,India,India,143507,Marar,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,4,marar
IN,India,India,143507,Gujjarpura,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,3,gujjarpura
IN,India,India,143507,Hardo Jhande,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,3,hardo-jhande
IN,India,India,143507,Ghoga,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,4,ghoga
IN,India,India,143511,Fazlabad,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,4,fazlabad
IN,India,India,143511,Dharamkot Bagga,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,4,dharamkot-bagga
IN,India,India,143511,Bhagowal,Punjab,23,Gurdaspur,035,Batala,,31.9161,75.2937,4,bhagowal
