country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,737111,Karjee,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,karjee
IN,India,India,737111,Sinek,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,sinek
IN,India,India,737111,Rangship,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,rangship
IN,India,India,737111,Lingchom,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,lingchom
IN,India,India,737111,Bhaluthang,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,bhaluthang
IN,India,India,737111,Yangtey,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,yangtey
IN,India,India,737111,Chingthang,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,chingthang
IN,India,India,737111,Legship,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,legship
IN,India,India,737111,Tashiding,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,tashiding
IN,India,India,737111,Gayzing,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,gayzing
IN,India,India,737111,Gerathang,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,gerathang
IN,India,India,737111,Rinchenpong,Sikkim,29,West Sikkim,242,Gayzing,,27.2433,88.2709,4,rinchenpong
IN,India,India,737111,Arithang,Sikkim,29,West Sikkim,242,Gayzing,,27.2635,88.2548,3,arithang
IN,India,India,737111,Yangthang,Sikkim,29,West Sikkim,242,Gayzing,,27.2836,88.2388,4,yangthang
IN,India,India,737113,Yuksom,Sikkim,29,West Sikkim,242,Pelling,,27.3692,88.2222,4,yuksom
IN,India,India,737113,Kaluk,Sikkim,29,West Sikkim,242,Pelling,,27.2313,88.2538,4,kaluk
IN,India,India,737113,Uttarey,Sikkim,29,West Sikkim,242,Pelling,,27.2885,88.2108,3,uttarey
IN,India,India,737113,Karmatar,Sikkim,29,West Sikkim,242,Pelling,,27.2885,88.2108,3,karmatar
IN,India,India,737113,Mechi Aching,Sikkim,29,West Sikkim,242,Pelling,,27.2885,88.2108,3,mechi-aching
IN,India,India,737113,Khechuperi,Sikkim,29,West Sikkim,242,Pelling,,27.2885,88.2108,3,khechuperi
