country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,247001,Phandpuri,Uttar Pradesh,36,Saharanpur,132,Nakur,,29.9297,77.4187,4,phandpuri
IN,India,India,247001,Saharanpur Kutchery,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,saharanpur-kutchery
IN,India,India,247001,Badheri Ghoghu,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,30.0317,77.6822,4,badheri-ghoghu
IN,India,India,247001,Saharanpur H.O,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,saharanpur-h-o
IN,India,India,247001,Khalapar,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,khalapar
IN,India,India,247001,Sunheti Kharkhari,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,sunheti-kharkhari
IN,India,India,247001,Mission Compound,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,mission-compound
IN,India,India,247001,Sabdalpur,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9333,77.4706,4,sabdalpur
IN,India,India,247001,Harpal,Uttar Pradesh,36,Saharanpur,132,Nakur,,29.8815,77.418,4,harpal
IN,India,India,247001,Unali,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9544,77.487,4,unali
IN,India,India,247001,Gopal Nagar,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,4,gopal-nagar
IN,India,India,247001,Halalpur,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,30.0014,77.5311,4,halalpur
IN,India,India,247001,Baliakheri,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9248,77.6379,4,baliakheri
IN,India,India,247001,Mavi Kalan,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9487,77.5487,3,mavi-kalan
IN,India,India,247001,Narayanpuri,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,4,narayanpuri
IN,India,India,247001,Kailashpur,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9487,77.5487,4,kailashpur
IN,India,India,247001,Malhipur,Uttar Pradesh,36,Saharanpur,132,Saharnpur,,29.9487,77.5487,4,malhipur
IN,India,India,247001,Lakhi Gate,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,lakhi-gate
IN,India,India,247001,Macharheri,Uttar Pradesh,36,Saharanpur,132,Nakur,,29.9487,77.5487,3,macharheri
IN,India,India,247001,Nandi Firozpur,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,nandi-firozpur
IN,India,India,247001,Paper Mill,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,paper-mill
IN,India,India,247001,Qutubshei,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,qutubshei
IN,India,India,247001,Sadak Dudhli,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,sadak-dudhli
IN,India,India,247001,Veer Nagar,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,veer-nagar
IN,India,India,247001,Bajoria Marg,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,bajoria-marg
IN,India,India,247001,Chakrata Road,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,chakrata-road
IN,India,India,247001,Dhakdei,Uttar Pradesh,36,Saharanpur,132,Nakur,,29.9487,77.5487,3,dhakdei
IN,India,India,247001,Gatta Mill,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,gatta-mill
IN,India,India,247001,Hakikat Nagar,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,hakikat-nagar
IN,India,India,247001,Hassanpur,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9487,77.5487,3,hassanpur
IN,India,India,247001,Kankarkui,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,kankarkui
IN,India,India,247001,Khalasi Line,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,khalasi-line
IN,India,India,247001,Khumran Pul,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,khumran-pul
IN,India,India,247001,Labour Colony,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,labour-colony
IN,India,India,247001,Mangal Nagar,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,mangal-nagar
IN,India,India,247001,Mazahir Uloom,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,mazahir-uloom
IN,India,India,247001,Nagrajpur,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9487,77.5487,3,nagrajpur
IN,India,India,247001,Nazirpura Devli,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,nazirpura-devli
IN,India,India,247001,Nehru Market,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,nehru-market
IN,India,India,247001,Pheraheri,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9487,77.5487,3,pheraheri
IN,India,India,247001,Pundain,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9487,77.5487,3,pundain
IN,India,India,247001,Rani Bazar,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,rani-bazar
IN,India,India,247001,Saharanpur City,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,saharanpur-city
IN,India,India,247001,Salempur Bhukheri,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,salempur-bhukheri
IN,India,India,247001,S.Hariya,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,3,s-hariya
IN,India,India,247001,Shekhpura Qudeem,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9487,77.5487,3,shekhpura-qudeem
IN,India,India,247001,Tiwaya,Uttar Pradesh,36,Saharanpur,132,Saharanpur H.o.,,29.9487,77.5487,3,tiwaya
IN,India,India,247002,Ptc,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,29.9487,77.5487,1,ptc
IN,India,India,247120,Kalsia,Uttar Pradesh,36,Saharanpur,132,Muzaffrabad`,,30.0846,77.5833,3,kalsia
IN,India,India,247120,Mussail,Uttar Pradesh,36,Saharanpur,132,Muzaffrabad,,30.0846,77.5833,3,mussail
IN,India,India,247120,Punwarka,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,30.0846,77.5833,3,punwarka
IN,India,India,247120,Randol,Uttar Pradesh,36,Saharanpur,132,Behat,,30.0846,77.5833,3,randol
IN,India,India,247120,Rehri Tajpur,Uttar Pradesh,36,Saharanpur,132,Behat,,30.0846,77.5833,3,rehri-tajpur
IN,India,India,247120,Ghunna,Uttar Pradesh,36,Saharanpur,132,Muzaffrabad,,30.0846,77.5833,3,ghunna
IN,India,India,247120,Bahera Sandal Singh,Uttar Pradesh,36,Saharanpur,132,Muzaffrabad,,30.0846,77.5833,3,bahera-sandal-singh
IN,India,India,247120,Babail Buzurg,Uttar Pradesh,36,Saharanpur,132,Muzaffarabad,,30.1109,77.6188,4,babail-buzurg
IN,India,India,247120,Topri,Uttar Pradesh,36,Saharanpur,132,Saharanpur,,30.0582,77.5478,4,topri
IN,India,India,247121,Sadholi Quadeem,Uttar Pradesh,36,Saharanpur,132,Behat,,30.2414,77.5921,3,sadholi-quadeem
IN,India,India,247121,Ruhalki,Uttar Pradesh,36,Saharanpur,132,Behat,,30.2414,77.5921,3,ruhalki
IN,India,India,247121,Jasmour,Uttar Pradesh,36,Saharanpur,132,Behat,,30.2414,77.5921,3,jasmour
IN,India,India,247121,Jatonwala,Uttar Pradesh,36,Saharanpur,132,Behat,,30.2414,77.5921,3,jatonwala
IN,India,India,247121,Mirjapur Poll,Uttar Pradesh,36,Saharanpur,132,Behat,,30.2414,77.5921,3,mirjapur-poll
IN,India,India,247121,Bhuradev,Uttar Pradesh,36,Saharanpur,132,Behat,,30.2414,77.5921,3,bhuradev
IN,India,India,247121,Kamboh Majra,Uttar Pradesh,36,Saharanpur,132,Behat,,30.2414,77.5921,3,kamboh-majra
IN,India,India,247121,Samaspur Naugaon,Uttar Pradesh,36,Saharanpur,132,Behat,,30.2414,77.5921,3,samaspur-naugaon
IN,India,India,247121,Kasimpur,Uttar Pradesh,36,Saharanpur,132,Behat,,30.2291,77.5819,4,kasimpur
IN,India,India,247121,Behat (Saharanpur),Uttar Pradesh,36,Saharanpur,132,Behat,,30.1718,77.6139,4,behat-saharanpur
IN,India,India,247121,Raipur,Uttar Pradesh,36,Saharanpur,132,Behat,,30.2474,77.5799,4,raipur
IN,India,India,247121,Faizabad,Uttar Pradesh,36,Saharanpur,132,Behat,,30.3173,77.5928,4,faizabad
IN,India,India,247122,Badshahi Bagh,Uttar Pradesh,36,Saharanpur,132,S.qudeem,,29.9487,77.5487,1,badshahi-bagh
IN,India,India,247129,Kurdi Khera,Uttar Pradesh,36,Saharanpur,132,M.bad,,29.9487,77.5487,3,kurdi-khera
IN,India,India,247129,Sansarpur,Uttar Pradesh,36,Saharanpur,132,M.bad,,29.9487,77.5487,4,sansarpur
IN,India,India,247129,Kaluwala Jahanpur,Uttar Pradesh,36,Saharanpur,132,Behat,,29.9487,77.5487,3,kaluwala-jahanpur
IN,India,India,247129,Talhapur,Uttar Pradesh,36,Saharanpur,132,M.bad,,29.9487,77.5487,3,talhapur
IN,India,India,247129,Muzaffrabad,Uttar Pradesh,36,Saharanpur,132,Muzaffrabad,,29.9487,77.5487,4,muzaffrabad
IN,India,India,247129,Khurrampur,Uttar Pradesh,36,Saharanpur,132,M.bad,,30.1662,77.7058,4,khurrampur
IN,India,India,247129,Khajnawar,Uttar Pradesh,36,Saharanpur,132,M.bad,,30.0963,77.7287,4,khajnawar
IN,India,India,247129,Anwarpur Baroli,Uttar Pradesh,36,Saharanpur,132,M.bad,,29.9487,77.5487,3,anwarpur-baroli
IN,India,India,247129,Niyamatpur,Uttar Pradesh,36,Saharanpur,132,M.bad,,29.9487,77.5487,4,niyamatpur
IN,India,India,247231,Chilkana,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,30.0794,77.4711,4,chilkana
IN,India,India,247231,Bartha Kayastha,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,30.0843,77.5774,3,bartha-kayastha
IN,India,India,247231,Toderpur,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,30.0843,77.5774,3,toderpur
IN,India,India,247231,Budhakhera,Uttar Pradesh,36,Saharanpur,132,Nakur,,30.0892,77.6836,4,budhakhera
IN,India,India,247232,Chauri,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,30.0741,77.4036,4,chauri
IN,India,India,247232,Telipura,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,30.0473,77.6043,4,telipura
IN,India,India,247232,Shahjahanpur,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,30.2001,77.8231,4,shahjahanpur
IN,India,India,247232,Jhabiran,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,29.6817,77.6427,4,jhabiran
IN,India,India,247232,Raipur,Uttar Pradesh,36,Saharanpur,132,NA,,30.173,77.6709,4,raipur
IN,India,India,247232,Sorana,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,29.9487,77.5487,3,sorana
IN,India,India,247232,Pilakhni,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,29.9487,77.5487,3,pilakhni
IN,India,India,247232,"Sugar Mill,Sarsawa",Uttar Pradesh,36,Saharanpur,132,Nakur,,29.9487,77.5487,3,sugar-mill-sarsawa
IN,India,India,247232,Gaderheri,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,29.9487,77.5487,3,gaderheri
IN,India,India,247232,Qutubpur,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,29.9487,77.5487,4,qutubpur
IN,India,India,247232,Dhikka Kalan,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,29.9487,77.5487,3,dhikka-kalan
IN,India,India,247232,Alipura,Uttar Pradesh,36,Saharanpur,132,Sarsawa,,30.0838,77.5572,4,alipura
IN,India,India,247232,Sarsawa,Uttar Pradesh,36,Saharanpur,132,Nakur,,30.0167,77.4007,4,sarsawa
IN,India,India,247340,Ambehta,Uttar Pradesh,36,Saharanpur,132,Nakur,,29.6486,77.621,4,ambehta
