country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
IN,India,India,249128,Naitwar,Uttarakhand,39,Uttarkashi,056,Puraula,,30.9731,78.6039,3,naitwar
IN,India,India,249128,Bhutanu,Uttarakhand,39,Uttarkashi,056,Purola,,30.9731,78.6039,3,bhutanu
IN,India,India,249128,Chinwa,Uttarakhand,39,Uttarkashi,056,Puraula,,30.9731,78.6039,3,chinwa
IN,India,India,249128,Dhatmeer,Uttarakhand,39,Uttarkashi,056,Purola,,30.9731,78.6039,3,dhatmeer
IN,India,India,249128,Doni,Uttarakhand,39,Uttarkashi,056,Puraula,,30.9731,78.6039,3,doni
IN,India,India,249128,Gangar,Uttarakhand,39,Uttarkashi,056,Puraula,,30.9731,78.6039,3,gangar
IN,India,India,249128,Jakholi,Uttarakhand,39,Uttarkashi,056,Purola,,30.9731,78.6039,4,jakholi
IN,India,India,249128,Masri,Uttarakhand,39,Uttarkashi,056,Puraula,,30.9731,78.6039,3,masri
IN,India,India,249128,Sankri,Uttarakhand,39,Uttarkashi,056,Puraula,,30.9731,78.6039,3,sankri
IN,India,India,249128,Arakot,Uttarakhand,39,Uttarkashi,056,Purola,,31.039,77.8287,4,arakot
IN,India,India,249128,Fitari,Uttarakhand,39,Uttarkashi,056,Purola,,30.9731,78.6039,3,fitari
IN,India,India,249128,Thadiyar,Uttarakhand,39,Uttarkashi,056,Puraula,,30.9731,78.6039,3,thadiyar
IN,India,India,249128,Tikochi,Uttarakhand,39,Uttarkashi,056,Puraula,,30.9731,78.6039,3,tikochi
IN,India,India,249131,Chotimani,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,chotimani
IN,India,India,249132,Siyansu,Uttarakhand,39,Uttarkashi,056,Tehri,,30.9731,78.6039,3,siyansu
IN,India,India,249135,Rainthal,Uttarakhand,39,Uttarkashi,056,Uttarkashi,,30.9731,78.6039,3,rainthal
IN,India,India,249135,Gorsali,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,gorsali
IN,India,India,249135,Jhalla,Uttarakhand,39,Uttarkashi,056,Uttarkasshi,,30.9731,78.6039,3,jhalla
IN,India,India,249135,Malla,Uttarakhand,39,Uttarkashi,056,Bhatwari,,30.9731,78.6039,3,malla
IN,India,India,249135,Bhatwari,Uttarakhand,39,Uttarkashi,056,Bhatwari,,30.8078,78.6236,4,bhatwari
IN,India,India,249135,Harsil,Uttarakhand,39,Uttarkashi,056,Bhatwari,,31.0333,78.7333,4,harsil
IN,India,India,249135,Gangnani,Uttarakhand,39,Uttarkashi,056,Uttrkashi,,30.9052,78.6794,4,gangnani
IN,India,India,249135,Barsu,Uttarakhand,39,Uttarkashi,056,Uttarkashi,,30.9731,78.6039,4,barsu
IN,India,India,249136,Gangotri,Uttarakhand,39,Uttarkashi,056,Gangotri,,30.9959,78.9432,4,gangotri
IN,India,India,249141,Rana,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,4,rana
IN,India,India,249141,Kharsali,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.97,78.4377,4,kharsali
IN,India,India,249141,Rajgarhi,Uttarakhand,39,Uttarkashi,056,Burkot,,30.844,78.2518,4,rajgarhi
IN,India,India,249141,Pujeli,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,pujeli
IN,India,India,249141,Jankimai Chatti,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.9731,78.6039,3,jankimai-chatti
IN,India,India,249141,Hanuman Chatti,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.9731,78.6039,4,hanuman-chatti
IN,India,India,249141,Gangtari,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.9731,78.6039,3,gangtari
IN,India,India,249141,Pounthi,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,pounthi
IN,India,India,249141,Burkot,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,burkot
IN,India,India,249141,Jamunachatti,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.9731,78.6039,3,jamunachatti
IN,India,India,249141,Sarnol,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,sarnol
IN,India,India,249141,Nagangaon,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.9731,78.6039,3,nagangaon
IN,India,India,249141,Bhansadi,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.9731,78.6039,3,bhansadi
IN,India,India,249141,Gangani,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,gangani
IN,India,India,249151,Siguni,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,siguni
IN,India,India,249151,Bhatwari-dhanari,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,bhatwari-dhanari
IN,India,India,249151,Pujargaon,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,pujargaon
IN,India,India,249151,Kali Gaon,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,kali-gaon
IN,India,India,249151,Tipri,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,4,tipri
IN,India,India,249151,Ranari,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,ranari
IN,India,India,249151,Thati-dhanari,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,thati-dhanari
IN,India,India,249151,Hitanubhalshi,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,hitanubhalshi
IN,India,India,249151,Katkhet,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,katkhet
IN,India,India,249151,Fold-dhanari,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,fold-dhanari
IN,India,India,249151,Dunda,Uttarakhand,39,Uttarkashi,056,Dunda,,30.4488,78.1377,3,dunda
IN,India,India,249152,Junga,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,junga
IN,India,India,249152,Banchaura,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,banchaura
IN,India,India,249152,Bangaon,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,4,bangaon
IN,India,India,249152,Gadoli,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,4,gadoli
IN,India,India,249152,Kalyani,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,4,kalyani
IN,India,India,249152,Manjgaon,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,4,manjgaon
IN,India,India,249152,Diwarikhol,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,diwarikhol
IN,India,India,249152,Geonla,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,geonla
IN,India,India,249152,Khurmola,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,khurmola
IN,India,India,249152,Kotdhar,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,kotdhar
IN,India,India,249152,Naggaon,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,naggaon
IN,India,India,249152,Srikot,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,srikot
IN,India,India,249152,Tarakot,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,tarakot
IN,India,India,249152,Patara,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,patara
IN,India,India,249165,Udri,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,udri
IN,India,India,249165,Thandi,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,thandi
IN,India,India,249165,Newsari,Uttarakhand,39,Uttarkashi,056,Dunda,,30.9731,78.6039,3,newsari
IN,India,India,249171,Bhatiya,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,4,bhatiya
IN,India,India,249171,Dewal,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,4,dewal
IN,India,India,249171,Kandari,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,4,kandari
IN,India,India,249171,Diyari,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.9731,78.6039,4,diyari
IN,India,India,249171,Naugaon,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.9731,78.6039,4,naugaon
IN,India,India,249171,Odgaon,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.9731,78.6039,4,odgaon
IN,India,India,249171,Kunwa,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,kunwa
IN,India,India,249171,Bhankoli-ranwain,Uttarakhand,39,Uttarkashi,056,Purola,,30.9731,78.6039,3,bhankoli-ranwain
IN,India,India,249171,Damta,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,damta
IN,India,India,249171,Gaatu,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,gaatu
IN,India,India,249171,Kafnol,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,kafnol
IN,India,India,249171,Kalogi,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,kalogi
IN,India,India,249171,Kotiyalgaon,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,kotiyalgaon
IN,India,India,249171,Sarigadkhamundi,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,sarigadkhamundi
IN,India,India,249171,Bagasu,Uttarakhand,39,Uttarkashi,056,Burkot,,30.9731,78.6039,3,bagasu
IN,India,India,249171,Rikhaown,Uttarakhand,39,Uttarkashi,056,Rajgarhi,,30.9731,78.6039,3,rikhaown
