country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
JP,Japan,Japón,796-0901,Mikamecho Shuki,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-shuki
JP,Japan,Japón,796-0902,Mikamecho Nagahaya,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-nagahaya
JP,Japan,Japón,796-0903,Mikamecho Nigyu,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-nigyu
JP,Japan,Japón,796-0904,Mikamecho Habu,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-habu
JP,Japan,Japón,796-0905,Mikamecho Shigiyama,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-shigiyama
JP,Japan,Japón,796-0906,Mikamecho Izumi,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-izumi
JP,Japan,Japón,796-0907,Mikamecho Asadatsu,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-asadatsu
JP,Japan,Japón,796-0908,Mikamecho Tsuburi,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-tsuburi
JP,Japan,Japón,796-0909,Mikamecho Azuchi,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-azuchi
JP,Japan,Japón,796-0910,Mikamecho Arajiro,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-arajiro
JP,Japan,Japón,796-0911,Mikamecho Aratachi,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-aratachi
JP,Japan,Japón,796-0912,Mikamecho Kuranukiura,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-kuranukiura
JP,Japan,Japón,796-0913,Mikamecho Kuranuki,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-kuranuki
JP,Japan,Japón,796-0914,Mikamecho Minae,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-minae
JP,Japan,Japón,796-0915,Mikamecho Shimodomari,Ehime Ken,05,Seiyo Shi,10861187,,,33.4535,132.3551,,mikamecho-shimodomari
JP,Japan,Japón,797-0000,Seiyo Shi,Ehime Ken,05,Seiyo Shi,10861187,,,33.3941,132.6326,,seiyo-shi
JP,Japan,Japón,797-0001,Uwacho Tanonaka,Ehime Ken,05,Seiyo Shi,10861187,,,33.3941,132.6326,,uwacho-tanonaka
JP,Japan,Japón,797-0002,Uwacho Hirano,Ehime Ken,05,Seiyo Shi,10861187,,,33.3941,132.6326,,uwacho-hirano
JP,Japan,Japón,797-0003,Uwacho Kubo,Ehime Ken,05,Seiyo Shi,10861187,,,33.3941,132.6326,,uwacho-kubo
JP,Japan,Japón,797-0004,Uwacho Isaki,Ehime Ken,05,Seiyo Shi,10861187,,,33.3941,132.6326,,uwacho-isaki
