country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
JP,Japan,Japón,914-0000,Tsuruga Shi,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6532,136.071,,tsuruga-shi
JP,Japan,Japón,914-0001,Shimbo,Fukui Ken,06,Tsuruga Shi,1849587,,,35.7057,136.1373,,shimbo
JP,Japan,Japón,914-0002,Habara,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6929,136.1424,,habara
JP,Japan,Japón,914-0003,Usogochi,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6677,136.1229,,usogochi
JP,Japan,Japón,914-0004,Ikenokochi,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6539,136.1389,,ikenokochi
JP,Japan,Japón,914-0005,Kashimagari,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6664,136.0997,,kashimagari
JP,Japan,Japón,914-0006,Ossaka,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6743,136.1083,,ossaka
JP,Japan,Japón,914-0007,Tajiri,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6944,136.1069,,tajiri
JP,Japan,Japón,914-0011,Miyamadera,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6557,136.0993,,miyamadera
JP,Japan,Japón,914-0012,Kawakita,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6465,136.1192,,kawakita
JP,Japan,Japón,914-0013,Taniguchi,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6512,136.0965,,taniguchi
JP,Japan,Japón,914-0014,Igawa,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6416,136.1025,,igawa
JP,Japan,Japón,914-0015,Kawaharacho,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6497,136.0871,,kawaharacho
JP,Japan,Japón,914-0016,Yoza,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6522,136.0866,,yoza
JP,Japan,Japón,914-0017,Fujigaokacho,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6553,136.0868,,fujigaokacho
JP,Japan,Japón,914-0018,Okura,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6535,136.0909,,okura
JP,Japan,Japón,914-0021,Izumigaokacho,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6426,136.0905,,izumigaokacho
JP,Japan,Japón,914-0022,Takano,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6392,136.0916,,takano
JP,Japan,Japón,914-0023,Fukagawacho,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6391,136.0836,,fukagawacho
JP,Japan,Japón,914-0024,Yoshiko,Fukui Ken,06,Tsuruga Shi,1849587,,,35.6369,136.0822,,yoshiko
