country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
JP,Japan,Japón,866-0000,Yatsushiro Shi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,yatsushiro-shi
JP,Japan,Japón,866-0001,Gunchiku 12-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-12-bancho
JP,Japan,Japón,866-0002,Gunchiku 11-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-11-bancho
JP,Japan,Japón,866-0003,Gunchiku 10-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-10-bancho
JP,Japan,Japón,866-0004,Gunchiku 9-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-9-bancho
JP,Japan,Japón,866-0005,Gunchiku 8-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-8-bancho
JP,Japan,Japón,866-0006,Gunchiku 7-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-7-bancho
JP,Japan,Japón,866-0007,Gunchiku 6-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-6-bancho
JP,Japan,Japón,866-0008,Gunchiku 5-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-5-bancho
JP,Japan,Japón,866-0011,Iagemachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5351,130.5875,,iagemachi
JP,Japan,Japón,866-0012,Kogobaramachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5297,130.5934,,kogobaramachi
JP,Japan,Japón,866-0013,Okimachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5279,130.5845,,okimachi
JP,Japan,Japón,866-0014,Takashimamachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5213,130.581,,takashimamachi
JP,Japan,Japón,866-0015,Tsukizoemachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5151,130.5805,,tsukizoemachi
JP,Japan,Japón,866-0016,Shinchimachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5086,130.5912,,shinchimachi
JP,Japan,Japón,866-0017,Sanrakucho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5098,130.5868,,sanrakucho
JP,Japan,Japón,866-0021,Gunchiku 4-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-4-bancho
JP,Japan,Japón,866-0022,Gunchiku 3-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-3-bancho
JP,Japan,Japón,866-0023,Gunchiku 2-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-2-bancho
JP,Japan,Japón,866-0024,Gunchiku 1-Bancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,gunchiku-1-bancho
JP,Japan,Japón,866-0031,Shinhamamachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5107,130.5818,,shinhamamachi
JP,Japan,Japón,866-0032,Shinkaimachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5078,130.5798,,shinkaimachi
JP,Japan,Japón,866-0033,Minatomachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5125,130.5499,,minatomachi
JP,Japan,Japón,866-0034,Shimminatomachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5092,130.5807,,shimminatomachi
JP,Japan,Japón,866-0035,Oshimamachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5393,130.5545,,oshimamachi
JP,Japan,Japón,866-0041,Hachimancho,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.505,130.5927,,hachimancho
JP,Japan,Japón,866-0042,Jakagomachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5032,130.5906,,jakagomachi
JP,Japan,Japón,866-0043,Furushiromachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.4983,130.593,,furushiromachi
JP,Japan,Japón,866-0044,Nakakitamachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.4988,130.5827,,nakakitamachi
JP,Japan,Japón,866-0045,Tateumamachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5059,130.5862,,tateumamachi
JP,Japan,Japón,866-0051,Mugishima Higashimachi,Kumamoto Ken,21,Yatsushiro Shi,1848441,,,32.5075,130.5878,,mugishima-higashimachi
