country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
JP,Japan,Japón,581-0000,Yao Shi,Osaka Fu,32,Yao Shi,1848519,,,34.6277,135.5994,,yao-shi
JP,Japan,Japón,581-0001,Suehirocho,Osaka Fu,32,Yao Shi,1848519,,,34.6326,135.5923,,suehirocho
JP,Japan,Japón,581-0002,Higashikyuhoji,Osaka Fu,32,Yao Shi,1848519,,,34.6297,135.5925,,higashikyuhoji
JP,Japan,Japón,581-0003,Hommachi,Osaka Fu,32,Yao Shi,1848519,,,34.6287,135.5981,,hommachi
JP,Japan,Japón,581-0004,Higashihommachi,Osaka Fu,32,Yao Shi,1848519,,,34.6278,135.6042,,higashihommachi
JP,Japan,Japón,581-0005,Sonaicho,Osaka Fu,32,Yao Shi,1848519,,,34.6271,135.6082,,sonaicho
JP,Japan,Japón,581-0006,Shimizucho,Osaka Fu,32,Yao Shi,1848519,,,34.6241,135.6015,,shimizucho
JP,Japan,Japón,581-0007,Konancho,Osaka Fu,32,Yao Shi,1848519,,,34.6239,135.5993,,konancho
JP,Japan,Japón,581-0010,Miyakozukakita,Osaka Fu,32,Yao Shi,1848519,,,34.6235,135.6124,,miyakozukakita
JP,Japan,Japón,581-0011,Wakakusacho,Osaka Fu,32,Yao Shi,1848519,,,34.627,135.6105,,wakakusacho
JP,Japan,Japón,581-0012,Kozakaaicho,Osaka Fu,32,Yao Shi,1848519,,,34.627,135.6147,,kozakaaicho
JP,Japan,Japón,581-0013,Yamamotocho Minami,Osaka Fu,32,Yao Shi,1848519,,,34.6235,135.6124,,yamamotocho-minami
JP,Japan,Japón,581-0014,Nakata,Osaka Fu,32,Yao Shi,1848519,,,34.6235,135.6124,,nakata
JP,Japan,Japón,581-0015,Osakabe,Osaka Fu,32,Yao Shi,1848519,,,34.6235,135.6124,,osakabe
JP,Japan,Japón,581-0016,Yaogi Kita,Osaka Fu,32,Yao Shi,1848519,,,34.6235,135.6124,,yaogi-kita
JP,Japan,Japón,581-0017,Takamicho,Osaka Fu,32,Yao Shi,1848519,,,34.617,135.6089,,takamicho
JP,Japan,Japón,581-0018,Aoyamacho,Osaka Fu,32,Yao Shi,1848519,,,34.6224,135.6119,,aoyamacho
JP,Japan,Japón,581-0019,Minamikozakaaicho,Osaka Fu,32,Yao Shi,1848519,,,34.6239,135.6158,,minamikozakaaicho
JP,Japan,Japón,581-0020,Akegawahigashi,Osaka Fu,32,Yao Shi,1848519,,,34.6184,135.6232,,akegawahigashi
JP,Japan,Japón,581-0021,Yamamototakayasucho,Osaka Fu,32,Yao Shi,1848519,,,34.6184,135.6232,,yamamototakayasucho
JP,Japan,Japón,581-0022,Kashimuracho,Osaka Fu,32,Yao Shi,1848519,,,34.6184,135.6232,,kashimuracho
JP,Japan,Japón,581-0023,Miyakozuka,Osaka Fu,32,Yao Shi,1848519,,,34.6184,135.6232,,miyakozuka
