country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
JP,Japan,Japón,103-8686,Ochiai,Tokyo To,40,Tama Shi,1850731,,,35.6305,139.4398,,ochiai
JP,Japan,Japón,206-0000,Tama Shi,Tokyo To,40,Tama Shi,1850731,,,35.6408,139.4423,,tama-shi
JP,Japan,Japón,206-0001,Wada,Tokyo To,40,Tama Shi,1850731,,,35.6429,139.4279,,wada
JP,Japan,Japón,206-0002,Ichinomiya,Tokyo To,40,Tama Shi,1850731,,,35.6382,139.4677,,ichinomiya
JP,Japan,Japón,206-0003,Higashiteragata,Tokyo To,40,Tama Shi,1850731,,,35.6444,139.4394,,higashiteragata
JP,Japan,Japón,206-0004,Mogusa,Tokyo To,40,Tama Shi,1850731,,,35.6376,139.4341,,mogusa
JP,Japan,Japón,206-0011,Sekido,Tokyo To,40,Tama Shi,1850731,,,35.6531,139.4549,,sekido
JP,Japan,Japón,206-0012,Kaidori,Tokyo To,40,Tama Shi,1850731,,,35.6359,139.4454,,kaidori
JP,Japan,Japón,206-0013,Sakuragaoka,Tokyo To,40,Tama Shi,1850731,,,35.6402,139.4444,,sakuragaoka
JP,Japan,Japón,206-0014,Kotta,Tokyo To,40,Tama Shi,1850731,,,35.6322,139.44,,kotta
JP,Japan,Japón,206-0015,Ochikawa,Tokyo To,40,Tama Shi,1850731,,,35.6395,139.4373,,ochikawa
JP,Japan,Japón,206-0021,Renkoji,Tokyo To,40,Tama Shi,1850731,,,35.6463,139.4668,,renkoji
JP,Japan,Japón,206-0022,Hijirigaoka,Tokyo To,40,Tama Shi,1850731,,,35.6463,139.4668,,hijirigaoka
JP,Japan,Japón,206-0023,Mahikizawa,Tokyo To,40,Tama Shi,1850731,,,35.6463,139.4668,,mahikizawa
JP,Japan,Japón,206-0024,Suwa,Tokyo To,40,Tama Shi,1850731,,,35.6463,139.4668,,suwa
JP,Japan,Japón,206-0025,Nagayama,Tokyo To,40,Tama Shi,1850731,,,35.6463,139.4668,,nagayama
JP,Japan,Japón,206-0031,Toyogaoka,Tokyo To,40,Tama Shi,1850731,,,35.6423,139.4506,,toyogaoka
JP,Japan,Japón,206-0032,Minamino,Tokyo To,40,Tama Shi,1850731,,,35.6423,139.4506,,minamino
JP,Japan,Japón,206-0033,Ochiai,Tokyo To,40,Tama Shi,1850731,,,35.6423,139.4506,,ochiai
JP,Japan,Japón,206-0034,Tsurumaki,Tokyo To,40,Tama Shi,1850731,,,35.6423,139.4506,,tsurumaki
JP,Japan,Japón,206-0035,Karakida,Tokyo To,40,Tama Shi,1850731,,,35.6423,139.4506,,karakida
