country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
JP,Japan,Japón,683-0000,Yonago Shi,Tottori Ken,41,Yonago Shi,1848276,,,35.4406,133.3593,,yonago-shi
JP,Japan,Japón,683-0001,Kaikeonsen,Tottori Ken,41,Yonago Shi,1848276,,,35.456,133.3609,,kaikeonsen
JP,Japan,Japón,683-0002,Kaikeshinden,Tottori Ken,41,Yonago Shi,1848276,,,35.4525,133.3678,,kaikeshinden
JP,Japan,Japón,683-0003,Kaike,Tottori Ken,41,Yonago Shi,1848276,,,35.4481,133.3614,,kaike
JP,Japan,Japón,683-0004,Kamifukubara,Tottori Ken,41,Yonago Shi,1848276,,,35.4396,133.3591,,kamifukubara
JP,Japan,Japón,683-0005,Nakashima,Tottori Ken,41,Yonago Shi,1848276,,,35.4358,133.3518,,nakashima
JP,Japan,Japón,683-0006,Kuzumo,Tottori Ken,41,Yonago Shi,1848276,,,35.4285,133.3529,,kuzumo
JP,Japan,Japón,683-0007,Kannonji,Tottori Ken,41,Yonago Shi,1848276,,,35.4205,133.3611,,kannonji
JP,Japan,Japón,683-0008,Kuzumominami,Tottori Ken,41,Yonago Shi,1848276,,,35.4278,133.3594,,kuzumominami
JP,Japan,Japón,683-0009,Kannonjishimmachi,Tottori Ken,41,Yonago Shi,1848276,,,35.424,133.3594,,kannonjishimmachi
JP,Japan,Japón,683-0011,Fukuichi,Tottori Ken,41,Yonago Shi,1848276,,,35.4081,133.3697,,fukuichi
JP,Japan,Japón,683-0012,Yawata,Tottori Ken,41,Yonago Shi,1848276,,,35.3997,133.3858,,yawata
JP,Japan,Japón,683-0013,Suwa,Tottori Ken,41,Yonago Shi,1848276,,,35.391,133.385,,suwa
JP,Japan,Japón,683-0014,Nagae,Tottori Ken,41,Yonago Shi,1848276,,,35.3963,133.3701,,nagae
JP,Japan,Japón,683-0015,Hibara,Tottori Ken,41,Yonago Shi,1848276,,,35.4082,133.3565,,hibara
JP,Japan,Japón,683-0016,Okunotani,Tottori Ken,41,Yonago Shi,1848276,,,35.4089,133.347,,okunotani
JP,Japan,Japón,683-0017,Munakata,Tottori Ken,41,Yonago Shi,1848276,,,35.4131,133.356,,munakata
JP,Japan,Japón,683-0021,Ishii,Tottori Ken,41,Yonago Shi,1848276,,,35.4061,133.3426,,ishii
JP,Japan,Japón,683-0022,Nagira,Tottori Ken,41,Yonago Shi,1848276,,,35.3998,133.3393,,nagira
JP,Japan,Japón,683-0023,Hashimoto,Tottori Ken,41,Yonago Shi,1848276,,,35.3962,133.3503,,hashimoto
JP,Japan,Japón,683-0024,Yoshitani,Tottori Ken,41,Yonago Shi,1848276,,,35.3888,133.3395,,yoshitani
JP,Japan,Japón,683-0025,Furuichi,Tottori Ken,41,Yonago Shi,1848276,,,35.3849,133.3298,,furuichi
JP,Japan,Japón,683-0026,Niiyama,Tottori Ken,41,Yonago Shi,1848276,,,35.389,133.3216,,niiyama
JP,Japan,Japón,683-0027,Indacho,Tottori Ken,41,Yonago Shi,1848276,,,35.4074,133.3295,,indacho
JP,Japan,Japón,683-0031,Higashiyamacho,Tottori Ken,41,Yonago Shi,1848276,,,35.4298,133.3453,,higashiyamacho
JP,Japan,Japón,683-0032,Yodencho,Tottori Ken,41,Yonago Shi,1848276,,,35.427,133.3477,,yodencho
JP,Japan,Japón,683-0033,Nagasunacho,Tottori Ken,41,Yonago Shi,1848276,,,35.4211,133.3512,,nagasunacho
JP,Japan,Japón,683-0034,Miyoshi,Tottori Ken,41,Yonago Shi,1848276,,,35.4188,133.344,,miyoshi
JP,Japan,Japón,683-0035,Megumicho,Tottori Ken,41,Yonago Shi,1848276,,,35.4179,133.3385,,megumicho
JP,Japan,Japón,683-0036,Yayoicho,Tottori Ken,41,Yonago Shi,1848276,,,35.423,133.3364,,yayoicho
JP,Japan,Japón,683-0037,Showacho,Tottori Ken,41,Yonago Shi,1848276,,,35.4269,133.342,,showacho
JP,Japan,Japón,683-0041,Chamachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4247,133.3322,,chamachi
JP,Japan,Japón,683-0042,Shiomachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4239,133.3314,,shiomachi
JP,Japan,Japón,683-0043,Suehirocho,Tottori Ken,41,Yonago Shi,1848276,,,35.422,133.3328,,suehirocho
JP,Japan,Japón,683-0044,Daikumachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4229,133.3312,,daikumachi
JP,Japan,Japón,683-0045,Odanicho,Tottori Ken,41,Yonago Shi,1848276,,,35.4151,133.3364,,odanicho
JP,Japan,Japón,683-0046,Atagocho,Tottori Ken,41,Yonago Shi,1848276,,,35.4204,133.3301,,atagocho
JP,Japan,Japón,683-0047,Gioncho,Tottori Ken,41,Yonago Shi,1848276,,,35.4406,133.3593,,gioncho
JP,Japan,Japón,683-0051,Kandamachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4325,133.3451,,kandamachi
JP,Japan,Japón,683-0052,Bakuromachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4406,133.3593,,bakuromachi
JP,Japan,Japón,683-0053,Meijicho,Tottori Ken,41,Yonago Shi,1848276,,,35.4242,133.3344,,meijicho
JP,Japan,Japón,683-0054,Kojimachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4406,133.3593,,kojimachi
JP,Japan,Japón,683-0055,Fujimicho,Tottori Ken,41,Yonago Shi,1848276,,,35.4334,133.3365,,fujimicho
JP,Japan,Japón,683-0061,Yokkaichimachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4296,133.3324,,yokkaichimachi
JP,Japan,Japón,683-0062,Koyamachi,Tottori Ken,41,Yonago Shi,1848276,,,35.429,133.3337,,koyamachi
JP,Japan,Japón,683-0063,Hotsushojimachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4282,133.3349,,hotsushojimachi
JP,Japan,Japón,683-0064,Doshomachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4406,133.3593,,doshomachi
JP,Japan,Japón,683-0065,Mannocho,Tottori Ken,41,Yonago Shi,1848276,,,35.4251,133.335,,mannocho
JP,Japan,Japón,683-0066,Hinomachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4257,133.3336,,hinomachi
JP,Japan,Japón,683-0067,Higashicho,Tottori Ken,41,Yonago Shi,1848276,,,35.4257,133.3311,,higashicho
JP,Japan,Japón,683-0101,Oshinozucho,Tottori Ken,41,Yonago Shi,1848276,,,35.4912,133.2533,,oshinozucho
JP,Japan,Japón,683-0102,Wadacho,Tottori Ken,41,Yonago Shi,1848276,,,35.485,133.2694,,wadacho
JP,Japan,Japón,683-0103,Tomimasucho,Tottori Ken,41,Yonago Shi,1848276,,,35.4741,133.2818,,tomimasucho
JP,Japan,Japón,683-0104,Ozaki,Tottori Ken,41,Yonago Shi,1848276,,,35.4683,133.2589,,ozaki
JP,Japan,Japón,683-0105,Yoshizu,Tottori Ken,41,Yonago Shi,1848276,,,35.4774,133.2413,,yoshizu
JP,Japan,Japón,683-0251,Kanehisa,Tottori Ken,41,Yonago Shi,1848276,,,35.4053,133.3614,,kanehisa
JP,Japan,Japón,683-0252,Aoki,Tottori Ken,41,Yonago Shi,1848276,,,35.3954,133.3642,,aoki
JP,Japan,Japón,683-0253,Shimoazuma,Tottori Ken,41,Yonago Shi,1848276,,,35.3892,133.3657,,shimoazuma
JP,Japan,Japón,683-0254,Bessho,Tottori Ken,41,Yonago Shi,1848276,,,35.3865,133.3756,,bessho
JP,Japan,Japón,683-0255,Kamiazuma,Tottori Ken,41,Yonago Shi,1848276,,,35.3834,133.3647,,kamiazuma
JP,Japan,Japón,683-0256,Obukuro,Tottori Ken,41,Yonago Shi,1848276,,,35.3864,133.3571,,obukuro
JP,Japan,Japón,683-0257,Enokihara,Tottori Ken,41,Yonago Shi,1848276,,,35.393,133.3549,,enokihara
JP,Japan,Japón,683-0801,Shinkai,Tottori Ken,41,Yonago Shi,1848276,,,35.4573,133.3453,,shinkai
JP,Japan,Japón,683-0802,Higashifukubara,Tottori Ken,41,Yonago Shi,1848276,,,35.4445,133.3471,,higashifukubara
JP,Japan,Japón,683-0803,Hinodecho,Tottori Ken,41,Yonago Shi,1848276,,,35.4376,133.3369,,hinodecho
JP,Japan,Japón,683-0804,Yonehara,Tottori Ken,41,Yonago Shi,1848276,,,35.4396,133.3309,,yonehara
JP,Japan,Japón,683-0805,Nishifukubara,Tottori Ken,41,Yonago Shi,1848276,,,35.4371,133.3396,,nishifukubara
JP,Japan,Japón,683-0811,Nishikicho,Tottori Ken,41,Yonago Shi,1848276,,,35.4416,133.3291,,nishikicho
JP,Japan,Japón,683-0812,Kakubancho,Tottori Ken,41,Yonago Shi,1848276,,,35.4416,133.3291,,kakubancho
JP,Japan,Japón,683-0813,Asahimachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4322,133.3309,,asahimachi
JP,Japan,Japón,683-0814,Odakamachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4325,133.3296,,odakamachi
JP,Japan,Japón,683-0815,Higashikurayoshimachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4304,133.3317,,higashikurayoshimachi
JP,Japan,Japón,683-0816,Nishikurayoshimachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4309,133.3302,,nishikurayoshimachi
JP,Japan,Japón,683-0821,Tenjimmachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4165,133.32,,tenjimmachi
JP,Japan,Japón,683-0822,Nakamachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4293,133.3304,,nakamachi
JP,Japan,Japón,683-0823,Kamocho,Tottori Ken,41,Yonago Shi,1848276,,,35.4165,133.32,,kamocho
JP,Japan,Japón,683-0824,Kumecho,Tottori Ken,41,Yonago Shi,1848276,,,35.4255,133.3254,,kumecho
JP,Japan,Japón,683-0825,Kinkaicho,Tottori Ken,41,Yonago Shi,1848276,,,35.4165,133.32,,kinkaicho
JP,Japan,Japón,683-0826,Nishicho,Tottori Ken,41,Yonago Shi,1848276,,,35.4276,133.3195,,nishicho
JP,Japan,Japón,683-0831,Teramachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4345,133.3279,,teramachi
JP,Japan,Japón,683-0832,Tatemachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4416,133.3291,,tatemachi
JP,Japan,Japón,683-0833,Iwakuramachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4324,133.3277,,iwakuramachi
JP,Japan,Japón,683-0834,Uchimachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4291,133.3177,,uchimachi
JP,Japan,Japón,683-0835,Nadamachi,Tottori Ken,41,Yonago Shi,1848276,,,35.4416,133.3291,,nadamachi
JP,Japan,Japón,683-0836,Hanazonocho,Tottori Ken,41,Yonago Shi,1848276,,,35.4361,133.3216,,hanazonocho
JP,Japan,Japón,683-0841,Kamigoto,Tottori Ken,41,Yonago Shi,1848276,,,35.4463,133.3164,,kamigoto
JP,Japan,Japón,683-0842,Sambommatsu,Tottori Ken,41,Yonago Shi,1848276,,,35.443,133.3238,,sambommatsu
JP,Japan,Japón,683-0843,Mihatacho,Tottori Ken,41,Yonago Shi,1848276,,,35.4403,133.3214,,mihatacho
JP,Japan,Japón,683-0844,Gihocho,Tottori Ken,41,Yonago Shi,1848276,,,35.4388,133.3233,,gihocho
