country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
JP,Japan,Japón,640-0000,Wakayama Shi,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2007,135.2422,,wakayama-shi
JP,Japan,Japón,640-0101,Okawa,Wakayama Ken,43,Wakayama Shi,1848936,,,34.3021,135.0885,,okawa
JP,Japan,Japón,640-0102,Miyama,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2905,135.0836,,miyama
JP,Japan,Japón,640-0103,Kada,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2751,135.0812,,kada
JP,Japan,Japón,640-0111,Hino,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2767,135.1043,,hino
JP,Japan,Japón,640-0112,Nishinosho,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2624,135.1131,,nishinosho
JP,Japan,Japón,640-0113,Motowaki,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2629,135.1018,,motowaki
JP,Japan,Japón,640-0114,Isonora,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2689,135.0917,,isonora
JP,Japan,Japón,640-0115,Tsutsujigaoka,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2677,135.1027,,tsutsujigaoka
JP,Japan,Japón,640-0301,Komakura,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2114,135.2614,,komakura
JP,Japan,Japón,640-0302,Nagayama,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2093,135.2711,,nagayama
JP,Japan,Japón,640-0303,Sandonaka,Wakayama Ken,43,Wakayama Shi,1848936,,,34.1989,135.2745,,sandonaka
JP,Japan,Japón,640-0304,Hirao,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2152,135.2447,,hirao
JP,Japan,Japón,640-0305,Myooji,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2209,135.2514,,myooji
JP,Japan,Japón,640-0306,Shionotani,Wakayama Ken,43,Wakayama Shi,1848936,,,34.217,135.2526,,shionotani
JP,Japan,Japón,640-0307,Yata,Wakayama Ken,43,Wakayama Shi,1848936,,,34.2201,135.2669,,yata
JP,Japan,Japón,640-0311,Kuroiwa,Wakayama Ken,43,Wakayama Shi,1848936,,,34.1821,135.2735,,kuroiwa
JP,Japan,Japón,640-0312,Kurodani,Wakayama Ken,43,Wakayama Shi,1848936,,,34.1819,135.2561,,kurodani
JP,Japan,Japón,640-0313,Sakaibara,Wakayama Ken,43,Wakayama Shi,1848936,,,34.1866,135.2446,,sakaibara
JP,Japan,Japón,640-0314,Zudaji,Wakayama Ken,43,Wakayama Shi,1848936,,,34.1896,135.249,,zudaji
