country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
KE,Kenya,Kenia,00100,Nairobi Gpo,Nairobi,05,,,,,-1.2615,36.7903,1,nairobi-gpo
KE,Kenya,Kenia,00101,Jamia,Nairobi,05,,,,,-1.2615,36.7903,1,jamia
KE,Kenya,Kenia,00102,State Law Office-Sheria HSE,Nairobi,05,,,,,-1.2615,36.7903,1,state-law-office-sheria-hse
KE,Kenya,Kenia,00200,City Square,Nairobi,05,,,,,-1.595,36.6506,1,city-square
KE,Kenya,Kenia,00202,Kenyatta Hospital,Nairobi,05,,,,,-1.595,36.6506,1,kenyatta-hospital
KE,Kenya,Kenia,00231,Mbari Ya Njiku,Nairobi,05,,,,,-1.1702,36.8536,1,mbari-ya-njiku
KE,Kenya,Kenia,00233,Karatu,Nairobi,05,,,,,-1.1702,36.8536,1,karatu
KE,Kenya,Kenia,00235,Mundoro,Nairobi,05,,,,,-1.1702,36.8536,1,mundoro
KE,Kenya,Kenia,00236,Kiamwangi,Nairobi,05,,,,,-1.1702,36.8536,1,kiamwangi
KE,Kenya,Kenia,00300,Ronald Ngala Street,Nairobi,05,,,,,-1.2615,36.7903,1,ronald-ngala-street
KE,Kenya,Kenia,00400,Tom Mboya Street,Nairobi,05,,,,,-1.2615,36.7903,1,tom-mboya-street
KE,Kenya,Kenia,00500,Enterprise Road,Nairobi,05,,,,,-1.3574,36.7416,1,enterprise-road
KE,Kenya,Kenia,00501,Jkia,Nairobi,05,,,,,-1.3574,36.7416,1,jkia
KE,Kenya,Kenia,00502,Karen,Nairobi,05,,,,,-1.3331,36.7162,4,karen
KE,Kenya,Kenia,00503,Mbagathi,Nairobi,05,,,,,-1.3817,36.7669,4,mbagathi
KE,Kenya,Kenia,00504,Mchumbi Road,Nairobi,05,,,,,-1.3574,36.7416,1,mchumbi-road
KE,Kenya,Kenia,00505,Ngong Road,Nairobi,05,,,,,-1.3574,36.7416,1,ngong-road
KE,Kenya,Kenia,00506,Nyayo Stadium,Nairobi,05,,,,,-1.3574,36.7416,1,nyayo-stadium
KE,Kenya,Kenia,00507,Viwandani,Nairobi,05,,,,,-1.3574,36.7416,1,viwandani
KE,Kenya,Kenia,00508,Yaya Towers,Nairobi,05,,,,,-1.3574,36.7416,1,yaya-towers
KE,Kenya,Kenia,00509,Langata Hardy,Nairobi,05,,,,,-1.3574,36.7416,1,langata-hardy
KE,Kenya,Kenia,00510,Makongeni,Nairobi,05,,,,,-1.2973,36.8494,4,makongeni
