country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
LI,Liechtenstein,Liechtenstein,9490,Vaduz,Vaduz,7001,,,,,47.1431,9.5256,6,vaduz
LI,Liechtenstein,Liechtenstein,9495,Triesen,Triesen,7002,,,,,47.0805,9.5515,6,triesen
LI,Liechtenstein,Liechtenstein,9496,Balzers,Balzers,7003,,,,,47.067,9.5078,6,balzers
LI,Liechtenstein,Liechtenstein,9497,Triesenberg,Triesenberg,7004,,,,,47.115,9.5831,6,triesenberg
LI,Liechtenstein,Liechtenstein,9494,Schaan,Schaan,7005,,,,,47.1746,9.5247,6,schaan
LI,Liechtenstein,Liechtenstein,9498,Planken,Planken,7006,,,,,47.1821,9.5574,6,planken
LI,Liechtenstein,Liechtenstein,9485,Nendeln,Eschen,7007,,,,,47.1984,9.5501,6,nendeln
LI,Liechtenstein,Liechtenstein,9492,Eschen,Eschen,7007,,,,,47.209,9.5223,6,eschen
LI,Liechtenstein,Liechtenstein,9486,Schaanwald,Mauren,7008,,,,,47.2151,9.562,6,schaanwald
LI,Liechtenstein,Liechtenstein,9493,Mauren FL,Mauren,7008,,,,,47.2191,9.5464,6,mauren-fl
LI,Liechtenstein,Liechtenstein,9487,Gamprin-Bendern,Gamprin,7009,,,,,47.2249,9.5135,6,gamprin-bendern
LI,Liechtenstein,Liechtenstein,9491,Ruggell,Ruggell,7010,,,,,47.2484,9.5345,6,ruggell
LI,Liechtenstein,Liechtenstein,9488,Schellenberg,Schellenberg,7011,,,,,47.2318,9.5478,6,schellenberg
