country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MA,Morocco,Marruecos,32000,Al Hoceima,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.2516,-3.9372,4,al-hoceima
MA,Morocco,Marruecos,32003,Ait Youssef Ou Ali,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.1065,-3.9685,1,ait-youssef-ou-ali
MA,Morocco,Marruecos,32004,Arbaa Taourirt,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9265,-3.832,4,arbaa-taourirt
MA,Morocco,Marruecos,32006,Rouadi,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.1412,-4.1363,4,rouadi
MA,Morocco,Marruecos,32013,Senada,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.0745,-4.2158,4,senada
MA,Morocco,Marruecos,32014,Torres De Alcala,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.1521,-4.3259,4,torres-de-alcala
MA,Morocco,Marruecos,32022,Ait Kamra,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.0672,-3.9867,1,ait-kamra
MA,Morocco,Marruecos,32023,Chakrane,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.95,-3.98,4,chakrane
MA,Morocco,Marruecos,32024,Izemmouren,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.1844,-3.9933,4,izemmouren
MA,Morocco,Marruecos,32050,Bni Bouayach,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.1051,-3.8403,4,bni-bouayach
MA,Morocco,Marruecos,32072,Nekkour,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.0982,-4.0326,1,nekkour
MA,Morocco,Marruecos,32102,Bni Boufrah,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.1002,-4.3106,4,bni-boufrah
MA,Morocco,Marruecos,32122,Beni Gmil Mestassa,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.0584,-4.1738,1,beni-gmil-mestassa
MA,Morocco,Marruecos,32152,Bni Hadifa,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.0225,-4.1401,4,bni-hadifa
MA,Morocco,Marruecos,32172,Bni Abdallah,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.0526,-4.0707,4,bni-abdallah
MA,Morocco,Marruecos,32202,Imrabten,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.1464,-3.8506,1,imrabten
MA,Morocco,Marruecos,32250,Imzouren,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.1464,-3.8506,4,imzouren
MA,Morocco,Marruecos,32253,Troukout,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.1464,-3.8506,1,troukout
MA,Morocco,Marruecos,32302,Issaguen,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9391,-4.4938,1,issaguen
MA,Morocco,Marruecos,32322,Ikaouen,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.7492,-4.6575,4,ikaouen
MA,Morocco,Marruecos,32323,Ketama,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9177,-4.5713,4,ketama
MA,Morocco,Marruecos,32324,Tabarannt,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9395,-4.5522,1,tabarannt
MA,Morocco,Marruecos,32325,Taghzout,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,35.1517,-4.4277,4,taghzout
MA,Morocco,Marruecos,32326,Tizi Tchen,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9395,-4.5522,1,tizi-tchen
MA,Morocco,Marruecos,32350,Targuist,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9377,-4.3186,4,targuist
MA,Morocco,Marruecos,32352,Bni Ammart,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9377,-4.3186,1,bni-ammart
MA,Morocco,Marruecos,32372,Ain Benabbou,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9391,-4.4938,1,ain-benabbou
MA,Morocco,Marruecos,32373,Bni Bounsar,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9391,-4.4938,1,bni-bounsar
MA,Morocco,Marruecos,32374,Bni Bchir,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9391,-4.4938,1,bni-bchir
MA,Morocco,Marruecos,32375,Sidi Bouzineb,Tanger-Tetouan-Al Hoceima,01,Al-Hoceima,051,,,34.9391,-4.4938,1,sidi-bouzineb
MA,Morocco,Marruecos,91000,Chefchaouen,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.1688,-5.2636,4,chefchaouen
MA,Morocco,Marruecos,91002,Bab Taza,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.0617,-5.1983,4,bab-taza
MA,Morocco,Marruecos,91003,Steha,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.1152,-5.2309,1,steha
MA,Morocco,Marruecos,91022,Ain Beida,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.0839,-5.0052,4,ain-beida
MA,Morocco,Marruecos,91023,Asifane,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.1136,-4.9709,4,asifane
MA,Morocco,Marruecos,91024,Asjen,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.0839,-5.0052,4,asjen
MA,Morocco,Marruecos,91025,Beni Rzen,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,34.98,-5.4234,1,beni-rzen
MA,Morocco,Marruecos,91026,Brikcha,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.0839,-5.0052,4,brikcha
MA,Morocco,Marruecos,91032,Derkoul,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.2294,-5.2368,1,derkoul
MA,Morocco,Marruecos,91033,Fifi,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,34.9487,-5.248,4,fifi
MA,Morocco,Marruecos,91034,Beni Bouzra,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.2294,-5.2368,1,beni-bouzra
MA,Morocco,Marruecos,91035,Kaa Asrass,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.2294,-5.2368,1,kaa-asrass
MA,Morocco,Marruecos,91036,Tassift,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.0839,-5.0052,4,tassift
MA,Morocco,Marruecos,91042,Derdera,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.1781,-5.3216,1,derdera
MA,Morocco,Marruecos,91043,Had Rhdir Krouch,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.1781,-5.3216,1,had-rhdir-krouch
MA,Morocco,Marruecos,91044,Talembote,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.2516,-5.1825,4,talembote
MA,Morocco,Marruecos,91045,Tanacob,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.1045,-5.4608,4,tanacob
MA,Morocco,Marruecos,91046,Tlata Assifane,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,35.1781,-5.3216,1,tlata-assifane
MA,Morocco,Marruecos,91052,Bab Berret,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,34.9983,-4.893,4,bab-berret
MA,Morocco,Marruecos,91072,Tamorote,Tanger-Tetouan-Al Hoceima,01,Chefchaouen Province,151,,,34.9363,-4.7794,4,tamorote
