country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MC,Monaco,Mónaco,98000,Larvotto,Monaco,01,Monaco,01,Larvotto,,43.7333,7.4333,,larvotto
MC,Monaco,Mónaco,98000,Monaco-Ville,Monaco,01,Monaco,01,Monaco-Ville,,43.7333,7.4167,,monaco-ville
MC,Monaco,Mónaco,98000,Monaco,Monaco,01,Monaco,01,Monaco,,43.7333,7.4,,monaco
MC,Monaco,Mónaco,98000,Port de Fontvieille,Monaco,01,Monaco,01,Fontvieille,,43.7306,7.4208,,port-de-fontvieille
MC,Monaco,Mónaco,98000,Pointe Focinana,Monaco,01,Monaco,01,Monte-Carlo,,43.7333,7.4333,,pointe-focinana
MC,Monaco,Mónaco,98000,Pointe Saint-Martin,Monaco,01,Monaco,01,Monaco-Ville,,43.7306,7.425,,pointe-saint-martin
MC,Monaco,Mónaco,98000,Port de La Condamine,Monaco,01,Monaco,01,La Condamine,,43.7361,7.425,,port-de-la-condamine
MC,Monaco,Mónaco,98000,Port Hercule,Monaco,01,Monaco,01,Fontvieille,,43.7361,7.425,,port-hercule
MC,Monaco,Mónaco,98000,La Condamine,Monaco,01,Monaco,01,La Condamine,,43.7333,7.4167,,la-condamine
MC,Monaco,Mónaco,98000,Anse du Portier,Monaco,01,Monaco,01,Larvotto,,43.7417,7.4322,,anse-du-portier
MC,Monaco,Mónaco,98000,Plage du Larvotto,Monaco,01,Monaco,01,Larvotto,,43.7333,7.4333,,plage-du-larvotto
MC,Monaco,Mónaco,98000,Pointe de la Poudrière,Monaco,01,Monaco,01,Monaco-Ville,,43.7319,7.4278,,pointe-de-la-poudriere
MC,Monaco,Mónaco,98000,Réserve Sous-marine de Monaco,Monaco,01,Monaco,01,Monaco,,43.7458,7.4394,,reserve-sous-marine-de-monaco
MC,Monaco,Mónaco,98000,Rocher de Monaco,Monaco,01,Monaco,01,Monaco-Ville,,43.7333,7.4333,,rocher-de-monaco
MC,Monaco,Mónaco,98000,Commune de Monaco,Monaco,01,Monaco,01,Monaco,,43.7333,7.4,,commune-de-monaco
MC,Monaco,Mónaco,98000,Ciappaira,Monaco,01,Monaco,01,Monaco-Ville,,43.7167,7.4167,,ciappaira
MC,Monaco,Mónaco,98000,Les Moneghetti,Monaco,01,Monaco,01,Les Moneghetti,,43.7375,7.4153,,les-moneghetti
MC,Monaco,Mónaco,98000,Pointe Sainte-Barbe,Monaco,01,Monaco,01,Fontvieille,,43.7167,7.4167,,pointe-sainte-barbe
MC,Monaco,Mónaco,98000,Stade Louis Deux,Monaco,01,Monaco,01,Fontvieille,,43.7167,7.4167,,stade-louis-deux
MC,Monaco,Mónaco,98000,Anse de Canton,Monaco,01,Monaco,01,Fontvieille,,43.7333,7.4167,,anse-de-canton
MC,Monaco,Mónaco,98000,Condamine,Monaco,01,Monaco,01,La Condamine,,43.7333,7.4167,,condamine
MC,Monaco,Mónaco,98000,Jardin Japonais,Monaco,01,Monaco,01,Larvotto,,43.7333,7.4167,,jardin-japonais
MC,Monaco,Mónaco,98000,Monte-Carlo,Monaco,01,Monaco,01,Monte-Carlo,,43.7333,7.4167,,monte-carlo
MC,Monaco,Mónaco,98000,Anse de la Grue,Monaco,01,Monaco,01,Monte-Carlo,,43.7306,7.4217,,anse-de-la-grue
MC,Monaco,Mónaco,98000,Fontvieille,Monaco,01,Monaco,01,Fontvieille,,43.7333,7.4167,,fontvieille
MC,Monaco,Mónaco,98000,Jardin Exotique,Monaco,01,Monaco,01,Monaco-Ville,,43.7167,7.4,,jardin-exotique
MC,Monaco,Mónaco,98000,Pointe Saint-Antoine,Monaco,01,Monaco,01,Larvotto,,43.7333,7.4278,,pointe-saint-antoine
MC,Monaco,Mónaco,98000,Port de Monaco,Monaco,01,Monaco,01,La Condamine,,43.7361,7.425,,port-de-monaco
MC,Monaco,Mónaco,98000,Réserve Sous-marine du Larvotto,Monaco,01,Monaco,01,Larvotto,,43.7458,7.4394,,reserve-sous-marine-du-larvotto
