country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MK,North Macedonia,Macedonia del Norte,1000,Skopje,,,,,,,42,21.4333,4,skopje
MK,North Macedonia,Macedonia del Norte,1010,Skopje,,,,,,,42,21.4333,4,skopje
MK,North Macedonia,Macedonia del Norte,1011,Kuceviste,,,,,,,42.1097,21.4181,4,kuceviste
MK,North Macedonia,Macedonia del Norte,1020,Skopje-Karpos 3,,,,,,,41.9367,21.5217,,skopje-karpos-3
MK,North Macedonia,Macedonia del Norte,1040,Skopje,,,,,,,42,21.4333,4,skopje
MK,North Macedonia,Macedonia del Norte,1041,Ilinden,,,,,,,41.9961,21.5822,4,ilinden
MK,North Macedonia,Macedonia del Norte,1042,Miladinovci,,,,,,,41.9781,21.6494,4,miladinovci
MK,North Macedonia,Macedonia del Norte,1043,Petrovec,,,,,,,41.9389,21.615,4,petrovec
MK,North Macedonia,Macedonia del Norte,1044,Katlanovo,,,,,,,41.8944,21.6831,4,katlanovo
MK,North Macedonia,Macedonia del Norte,1045,Aracinovo,,,,,,,42.0264,21.5619,4,aracinovo
MK,North Macedonia,Macedonia del Norte,1047,Jurumleri,,,,,,,41.9672,21.5569,4,jurumleri
MK,North Macedonia,Macedonia del Norte,1050,Skopje-Dracevo,,,,,,,41.9367,21.5217,,skopje-dracevo
MK,North Macedonia,Macedonia del Norte,1053,Zelenikovo,,,,,,,41.8867,21.5869,4,zelenikovo
MK,North Macedonia,Macedonia del Norte,1054,Rakotnici,,,,,,,41.3161,21.1898,,rakotnici
MK,North Macedonia,Macedonia del Norte,1060,Skopje-Gjorce Petrov,,,,,,,42.0609,21.3193,,skopje-gjorce-petrov
MK,North Macedonia,Macedonia del Norte,1062,Radusa,,,,,,,42.085,21.2106,4,radusa
MK,North Macedonia,Macedonia del Norte,1063,Bukovik,,,,,,,41.9683,21.2369,4,bukovik
MK,North Macedonia,Macedonia del Norte,1200,Tetovo,,,,,,,42.0106,20.9714,4,tetovo
MK,North Macedonia,Macedonia del Norte,1201,Mala Recica,,,,,,,41.9925,20.9578,4,mala-recica
MK,North Macedonia,Macedonia del Norte,1203,Nerashte,,,,,,,42.1067,21.1089,4,nerashte
MK,North Macedonia,Macedonia del Norte,1206,Jazince,,,,,,,42.1644,21.1761,4,jazince
MK,North Macedonia,Macedonia del Norte,1211,Dobroste,,,,,,,42.1033,21.0778,4,dobroste
MK,North Macedonia,Macedonia del Norte,1212,Dzepciste,,,,,,,42.0328,21,4,dzepciste
MK,North Macedonia,Macedonia del Norte,1213,Zerovjane,,,,,,,41.9153,20.9478,4,zerovjane
MK,North Macedonia,Macedonia del Norte,1214,Pirok,,,,,,,41.9108,20.9106,4,pirok
MK,North Macedonia,Macedonia del Norte,1215,Jegunovce,,,,,,,42.0736,21.1236,4,jegunovce
MK,North Macedonia,Macedonia del Norte,1216,Brvenica,,,,,,,41.9672,20.9808,4,brvenica
MK,North Macedonia,Macedonia del Norte,1218,Grupcin,,,,,,,41.9678,21.1303,4,grupcin
MK,North Macedonia,Macedonia del Norte,1219,Golema Recica,,,,,,,41.9903,20.9458,4,golema-recica
MK,North Macedonia,Macedonia del Norte,1220,Bogovinje,,,,,,,41.9236,20.9136,4,bogovinje
MK,North Macedonia,Macedonia del Norte,1221,Kamenjane,,,,,,,41.9444,20.9267,4,kamenjane
MK,North Macedonia,Macedonia del Norte,1224,Tearce,,,,,,,42.0744,21.0525,4,tearce
MK,North Macedonia,Macedonia del Norte,1225,Vratnica,,,,,,,42.1433,21.1169,4,vratnica
MK,North Macedonia,Macedonia del Norte,1226,Zelino,,,,,,,41.9803,21.0642,4,zelino
MK,North Macedonia,Macedonia del Norte,1227,Celopek,,,,,,,41.9317,21.0133,4,celopek
MK,North Macedonia,Macedonia del Norte,1228,Shemshevo,,,,,,,42.0247,21.0797,4,shemshevo
MK,North Macedonia,Macedonia del Norte,1230,Gostivar,,,,,,,41.7972,20.9083,4,gostivar
MK,North Macedonia,Macedonia del Norte,1231,Vrutok,,,,,,,41.7686,20.8392,4,vrutok
MK,North Macedonia,Macedonia del Norte,1234,Debreshe,,,,,,,41.8159,20.8842,,debreshe
MK,North Macedonia,Macedonia del Norte,1235,Negotino-Gostivarsko,,,,,,,41.4846,22.0906,,negotino-gostivarsko
MK,North Macedonia,Macedonia del Norte,1236,Dobri Dol,,,,,,,41.8658,20.8875,4,dobri-dol
MK,North Macedonia,Macedonia del Norte,1237,Cegrane,,,,,,,41.8389,20.9758,4,cegrane
MK,North Macedonia,Macedonia del Norte,1238,Vrapciste,,,,,,,41.8339,20.8853,4,vrapciste
MK,North Macedonia,Macedonia del Norte,1239,Srbinovo,,,,,,,41.7058,20.9603,4,srbinovo
MK,North Macedonia,Macedonia del Norte,1250,Debar,,,,,,,41.525,20.5275,4,debar
MK,North Macedonia,Macedonia del Norte,1254,Rostusa,,,,,,,41.61,20.6,4,rostusa
MK,North Macedonia,Macedonia del Norte,1255,Zirovnica,,,,,,,41.6744,20.5858,4,zirovnica
MK,North Macedonia,Macedonia del Norte,1256,Mavrovi Anovi,,,,,,,41.7006,20.7556,4,mavrovi-anovi
MK,North Macedonia,Macedonia del Norte,1257,Skudrinje,,,,,,,41.5656,20.6094,4,skudrinje
MK,North Macedonia,Macedonia del Norte,1258,Golem Papradnik,,,,,,,41.4767,20.5444,4,golem-papradnik
MK,North Macedonia,Macedonia del Norte,1300,Kumanovo,,,,,,,42.1322,21.7144,4,kumanovo
MK,North Macedonia,Macedonia del Norte,1302,Zeglane,,,,,,,42.2625,21.9108,4,zeglane
MK,North Macedonia,Macedonia del Norte,1303,Staro Negoricane,,,,,,,42.1981,21.8286,4,staro-negoricane
MK,North Macedonia,Macedonia del Norte,1304,Klecovce,,,,,,,42.1161,21.8572,,klecovce
MK,North Macedonia,Macedonia del Norte,1305,Orasec,,,,,,,42.0625,21.7997,4,orasec
MK,North Macedonia,Macedonia del Norte,1306,Matejce,,,,,,,42.1256,21.5978,4,matejce
MK,North Macedonia,Macedonia del Norte,1307,Lipkovo,,,,,,,42.1564,21.5853,4,lipkovo
MK,North Macedonia,Macedonia del Norte,1308,Tabanovce,,,,,,,42.2147,21.7083,4,tabanovce
MK,North Macedonia,Macedonia del Norte,1309,Gradiste,,,,,,,42.0231,21.8878,4,gradiste
MK,North Macedonia,Macedonia del Norte,1312,Mlado Nagoricane,,,,,,,42.1703,21.8017,4,mlado-nagoricane
MK,North Macedonia,Macedonia del Norte,1314,Oblavce,,,,,,,42.1572,21.9067,4,oblavce
MK,North Macedonia,Macedonia del Norte,1315,Otlja,,,,,,,42.1439,21.5878,4,otlja
MK,North Macedonia,Macedonia del Norte,1316,Rankovce,,,,,,,42.1819,22.1228,4,rankovce
MK,North Macedonia,Macedonia del Norte,1322,Romanovce,,,,,,,42.0947,21.6931,4,romanovce
MK,North Macedonia,Macedonia del Norte,1323,Pcinja,,,,,,,42.0397,21.7561,4,pcinja
MK,North Macedonia,Macedonia del Norte,1324,Vaksince,,,,,,,42.2061,21.6631,4,vaksince
MK,North Macedonia,Macedonia del Norte,1325,Slupcane,,,,,,,42.1733,21.6278,4,slupcane
