country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MQ,Martinique,Martinica,97200,Fort-de-France,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.6089,-61.0733,5,fort-de-france
MQ,Martinique,Martinica,97201 CEDEX,Fort-de-France,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.6089,-61.0733,5,fort-de-france
MQ,Martinique,Martinica,97202 CEDEX,Fort-de-France,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.6089,-61.0733,5,fort-de-france
MQ,Martinique,Martinica,97203 CEDEX,Fort-de-France,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.6089,-61.0733,5,fort-de-france
MQ,Martinique,Martinica,97204 CEDEX,Fort-de-France,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.6089,-61.0733,5,fort-de-france
MQ,Martinique,Martinica,97205 CEDEX,Fort-de-France,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.6089,-61.0733,5,fort-de-france
MQ,Martinique,Martinica,97206 CEDEX,Fort-de-France,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.6089,-61.0733,5,fort-de-france
MQ,Martinique,Martinica,97207 CEDEX,Fort-de-France,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.6089,-61.0733,5,fort-de-france
MQ,Martinique,Martinica,97208 CEDEX,Fort-de-France,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.6089,-61.0733,5,fort-de-france
MQ,Martinique,Martinica,97209 CEDEX,Fort-de-France,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.6089,-61.0733,5,fort-de-france
MQ,Martinique,Martinica,97210 CEDEX 2,Le Lamentin,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.608,-61.0093,5,le-lamentin
MQ,Martinique,Martinica,97211,Rivière-Pilote,Martinique,MQ,Martinique,972,Arrondissement du Marin,9723,14.4775,-60.9035,5,riviere-pilote
MQ,Martinique,Martinica,97212,Saint-Joseph,Martinique,MQ,Martinique,972,Arrondissement de Fort-de-France,9721,14.671,-61.0391,5,saint-joseph
MQ,Martinique,Martinica,97213,Le Gros-Morne,Martinique,MQ,Martinique,972,Arrondissement de La Trinité,9722,14.7,-61,5,le-gros-morne
MQ,Martinique,Martinica,97214,Le Lorrain,Martinique,MQ,Martinique,972,Arrondissement de La Trinité,9722,14.8329,-61.0567,5,le-lorrain
MQ,Martinique,Martinica,97215,Rivière-Salée,Martinique,MQ,Martinique,972,Arrondissement du Marin,9723,14.5272,-60.9781,5,riviere-salee
