country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MT,Malta,Malta,ATD,Attard,Attard,01,,,,,35.8917,14.4319,4,attard
MT,Malta,Malta,BZN,Balzan,Balzan,02,,,,,35.8972,14.4528,4,balzan
MT,Malta,Malta,BRG,Birgu,Il-Birgu,03,,,,,35.8861,14.5242,4,birgu
MT,Malta,Malta,BKR,Birkirkara,Birkirkara,04,,,,,35.8972,14.4653,4,birkirkara
MT,Malta,Malta,BBG,Birżebbuġa,Birżebbuġa,05,,,,,35.8222,14.5228,4,birzebbuga
MT,Malta,Malta,BML,Bormla,Bormla,06,,,,,35.8806,14.5217,4,bormla
MT,Malta,Malta,DGL,Dingli,Dingli,07,,,,,35.8597,14.3833,4,dingli
MT,Malta,Malta,FGR,Fgura,Il-Fgura,08,,,,,35.8728,14.5203,4,fgura
MT,Malta,Malta,FRN,Floriana,Il-Furjana,09,,,,,35.8917,14.5042,4,floriana
MT,Malta,Malta,FNT,Fontana,Il-Fontana,10,,,,,36.0375,14.2361,4,fontana
MT,Malta,Malta,GSM,Għajnsielem,Għajnsielem,11,,,,,36.0267,14.2861,4,g-ajnsielem
MT,Malta,Malta,KMN,Kemmuna,Għajnsielem,11,,,,,36.0267,14.2861,4,kemmuna
MT,Malta,Malta,GRB,Għarb,L-Għarb,12,,,,,36.0681,14.2014,4,g-arb
MT,Malta,Malta,GHR,Għargħur,Ħal Għargħur,13,,,,,35.9236,14.455,4,g-arg-ur
MT,Malta,Malta,GSR,Għasri,L-Għasri,14,,,,,36.0653,14.2217,4,g-asri
MT,Malta,Malta,GXQ,Għaxaq,Ħal Għaxaq,15,,,,,35.8458,14.5167,4,g-axaq
MT,Malta,Malta,GDJ,Gudja,Il-Gudja,16,,,,,35.8514,14.5033,4,gudja
MT,Malta,Malta,GZR,Gżira,Il-Gżira,17,,,,,35.9056,14.4928,4,gzira
MT,Malta,Malta,HMR,Ħamrun,Il-Ħamrun,18,,,,,35.8869,14.4883,4,amrun
MT,Malta,Malta,IKL,Iklin,L-Iklin,19,,,,,35.9097,14.4556,4,iklin
MT,Malta,Malta,MDN,Mdina,L-Imdina,20,,,,,35.8872,14.4053,4,mdina
MT,Malta,Malta,MGR,Mġarr,L-Imġarr,21,,,,,35.9194,14.3639,4,mgarr
MT,Malta,Malta,MQB,Mqabba,L-Imqabba,22,,,,,35.845,14.4675,4,mqabba
MT,Malta,Malta,MSD,Msida,L-Imsida,23,,,,,35.8986,14.4839,4,msida
MT,Malta,Malta,MTF,Mtarfa,L-Imtarfa,24,,,,,35.8906,14.3972,4,mtarfa
MT,Malta,Malta,ISL,Isla,L-Isla,25,,,,,35.8878,14.5169,4,isla
MT,Malta,Malta,KKR,Kalkara,Il-Kalkara,26,,,,,35.8911,14.5328,4,kalkara
MT,Malta,Malta,SCM,Smart City,Il-Kalkara,26,,,,,35.8911,14.5328,4,smart-city
