country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MW,Malawi,Malawi,209100,Dedza Township,Central Region,C,Dedza,06,,,-14.2627,34.1856,,dedza-township
MW,Malawi,Malawi,209101,Tambala,Central Region,C,Dedza,06,,,-14.0333,34.2333,4,tambala
MW,Malawi,Malawi,209102,Chauma,Central Region,C,Dedza,06,,,-14.2627,34.1856,,chauma
MW,Malawi,Malawi,209103,Kasumbu,Central Region,C,Dedza,06,,,-14.3,34.35,4,kasumbu
MW,Malawi,Malawi,209104,Kachindamoto,Central Region,C,Dedza,06,,,-14.3606,34.2637,4,kachindamoto
MW,Malawi,Malawi,209105,Kamenya Gwaza,Central Region,C,Dedza,06,,,-14.3667,34.45,4,kamenya-gwaza
MW,Malawi,Malawi,209106,Kaphuka,Central Region,C,Dedza,06,,,-14.15,34.1667,4,kaphuka
MW,Malawi,Malawi,209107,Chilikumwendo,Central Region,C,Dedza,06,,,-14.2167,33.95,4,chilikumwendo
MW,Malawi,Malawi,209108,Kachere,Central Region,C,Dedza,06,,,-14.4167,34.1167,4,kachere
MW,Malawi,Malawi,204100,Dowa BOMA,Central Region,C,Dowa,07,,,-13.601,33.8238,,dowa-boma
MW,Malawi,Malawi,204101,Chakhaza,Central Region,C,Dowa,07,,,-13.65,33.7333,4,chakhaza
MW,Malawi,Malawi,204102,Dzoole,Central Region,C,Dowa,07,,,-13.5791,33.6588,4,dzoole
MW,Malawi,Malawi,204103,Kayembe,Central Region,C,Dowa,07,,,-13.6331,33.6001,4,kayembe
MW,Malawi,Malawi,204104,Mponela,Central Region,C,Dowa,07,,,-13.5319,33.7401,4,mponela
MW,Malawi,Malawi,204105,Mponela Township,Central Region,C,Dowa,07,,,-13.601,33.8238,,mponela-township
MW,Malawi,Malawi,204106,Msakambewa,Central Region,C,Dowa,07,,,-13.5357,33.9178,4,msakambewa
MW,Malawi,Malawi,204107,Mkukula,Central Region,C,Dowa,07,,,-13.7545,33.8265,4,mkukula
MW,Malawi,Malawi,204108,Lumbadzi Township,Central Region,C,Dowa,07,,,-13.601,33.8238,,lumbadzi-township
MW,Malawi,Malawi,204109,Chiwere,Central Region,C,Dowa,07,,,-13.7667,34.1333,4,chiwere
MW,Malawi,Malawi,201100,Chisikwa,Central Region,C,Kasungu Rural,09,,,-14,33.4833,4,chisikwa
