country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MX,Mexico,México,22750,San Antonio Necua,Baja California,02,Ensenada,001,,,32.1051,-116.4969,4,san-antonio-necua
MX,Mexico,México,22750,Guadalupe,Baja California,02,Ensenada,001,,,32.1236,-116.54,4,guadalupe
MX,Mexico,México,22750,Francisco Zarco,Baja California,02,Ensenada,001,,,32.0987,-116.5686,4,francisco-zarco
MX,Mexico,México,22755,14 de Febrero,Baja California,02,Ensenada,001,,,32.0589,-116.6469,3,14-de-febrero
MX,Mexico,México,22755,El Porvenir,Baja California,02,Ensenada,001,,,32.0589,-116.6469,4,el-porvenir
MX,Mexico,México,22755,Las Brisas,Baja California,02,Ensenada,001,,,32.0589,-116.6469,3,las-brisas
MX,Mexico,México,22756,El Milagro,Baja California,02,Ensenada,001,,,32.0893,-116.5418,4,el-milagro
MX,Mexico,México,22760,Cíbolas Del Mar,Baja California,02,Ensenada,001,,,31.93,-116.7077,3,cibolas-del-mar
MX,Mexico,México,22760,Lomas Del Sauzal,Baja California,02,Ensenada,001,,,31.9028,-116.689,4,lomas-del-sauzal
MX,Mexico,México,22760,Santa Anita,Baja California,02,Ensenada,001,,,31.9103,-116.6878,4,santa-anita
MX,Mexico,México,22760,Colinas Del Mar,Baja California,02,Ensenada,001,,,31.8901,-116.6845,4,colinas-del-mar
MX,Mexico,México,22760,Santa Cruz,Baja California,02,Ensenada,001,,,31.9999,-116.6373,4,santa-cruz
MX,Mexico,México,22760,El Sauzal,Baja California,02,Ensenada,001,,,31.8933,-116.6926,4,el-sauzal
MX,Mexico,México,22760,Bajamar,Baja California,02,Ensenada,001,,,32.0167,-116.8572,4,bajamar
MX,Mexico,México,22760,Manchuria,Baja California,02,Ensenada,001,,,31.8971,-116.7053,4,manchuria
MX,Mexico,México,22765,La Misión,Baja California,02,Ensenada,001,,,32.0881,-116.7686,4,la-mision
MX,Mexico,México,22765,Puerto Salina La Marina,Baja California,02,Ensenada,001,,,32.0763,-116.8237,3,puerto-salina-la-marina
MX,Mexico,México,22765,La Salina,Baja California,02,Ensenada,001,,,32.0646,-116.8787,4,la-salina
MX,Mexico,México,22766,Santa Rosa,Baja California,02,Ensenada,001,,,32.0265,-116.7456,4,santa-rosa
MX,Mexico,México,22766,Villa de Juárez,Baja California,02,Ensenada,001,,,31.9704,-116.6524,4,villa-de-juarez
MX,Mexico,México,22766,San Antonio de Las Minas,Baja California,02,Ensenada,001,,,31.9333,-116.65,4,san-antonio-de-las-minas
MX,Mexico,México,22766,Lomas de San Antonio,Baja California,02,Ensenada,001,,,31.9767,-116.6827,3,lomas-de-san-antonio
MX,Mexico,México,22767,Cuatro Milpas,Baja California,02,Ensenada,001,,,31.9661,-116.7208,1,cuatro-milpas
MX,Mexico,México,22770,Real del Castillo Nuevo,Baja California,02,Ensenada,001,,,31.9117,-116.2711,4,real-del-castillo-nuevo
MX,Mexico,México,22770,Puerta Trampa,Baja California,02,Ensenada,001,,,31.9096,-116.204,4,puerta-trampa
