country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MX,Mexico,México,58460,Vista Bella,Michoacán de Ocampo,16,Acuitzio,001,,,19.466,-101.3399,3,vista-bella
MX,Mexico,México,58460,Magisterio,Michoacán de Ocampo,16,Acuitzio,001,,,19.466,-101.3399,3,magisterio
MX,Mexico,México,58460,Vicente Riva Palacio,Michoacán de Ocampo,16,Acuitzio,001,,,19.4833,-101.3326,4,vicente-riva-palacio
MX,Mexico,México,58460,Ricardo Flores Magón,Michoacán de Ocampo,16,Acuitzio,001,,,19.4887,-101.3399,4,ricardo-flores-magon
MX,Mexico,México,58460,Las Peñas,Michoacán de Ocampo,16,Acuitzio,001,,,19.5083,-101.3483,4,las-penas
MX,Mexico,México,58460,Francisco Villa,Michoacán de Ocampo,16,Acuitzio,001,,,19.5014,-101.3404,4,francisco-villa
MX,Mexico,México,58460,Acuitzio del Canje,Michoacán de Ocampo,16,Acuitzio,001,,,19.4959,-101.3332,4,acuitzio-del-canje
MX,Mexico,México,58463,El Paredón,Michoacán de Ocampo,16,Acuitzio,001,,,19.4731,-101.2842,4,el-paredon
MX,Mexico,México,58463,Tepatzicuaro,Michoacán de Ocampo,16,Acuitzio,001,,,19.4709,-101.3009,3,tepatzicuaro
MX,Mexico,México,58463,Huajumbo,Michoacán de Ocampo,16,Acuitzio,001,,,19.461,-101.3234,4,huajumbo
MX,Mexico,México,58463,Loma del Pastor,Michoacán de Ocampo,16,Acuitzio,001,,,19.4597,-101.2875,4,loma-del-pastor
MX,Mexico,México,58463,Rosa de Castilla,Michoacán de Ocampo,16,Acuitzio,001,,,19.4583,-101.3011,4,rosa-de-castilla
MX,Mexico,México,58463,Las Juntas,Michoacán de Ocampo,16,Acuitzio,001,,,19.4831,-101.3178,4,las-juntas
MX,Mexico,México,58463,Corralo (Tirindiriz),Michoacán de Ocampo,16,Acuitzio,001,,,19.4775,-101.3228,4,corralo-tirindiriz
