country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MX,Mexico,México,77600,Cozumel,Quintana Roo,23,Cozumel,001,Cozumel,02,20.5004,-86.9427,4,cozumel
MX,Mexico,México,77600,Cozumel Centro,Quintana Roo,23,Cozumel,001,Cozumel,02,20.5004,-86.9427,3,cozumel-centro
MX,Mexico,México,77609,Cozumel (Internacional de Cozumel),Quintana Roo,23,Cozumel,001,Cozumel,02,20.5004,-86.9427,1,cozumel-internacional-de-cozumel
MX,Mexico,México,77610,Militar,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4448,-86.9089,1,militar
MX,Mexico,México,77613,Zona Hotelera Norte,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4934,-86.9461,1,zona-hotelera-norte
MX,Mexico,México,77620,Félix González Canto,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4934,-86.9461,1,felix-gonzalez-canto
MX,Mexico,México,77620,Emiliano Zapata,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4448,-86.9089,1,emiliano-zapata
MX,Mexico,México,77620,Flamboyanes,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4448,-86.9089,1,flamboyanes
MX,Mexico,México,77622,10 de Abril,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4934,-86.9461,1,10-de-abril
MX,Mexico,México,77645,Altamar,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4964,-86.9354,3,altamar
MX,Mexico,México,77645,Nueva Generación,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4964,-86.9354,3,nueva-generacion
MX,Mexico,México,77645,Juan Bautista de La Vega,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4953,-86.9336,4,juan-bautista-de-la-vega
MX,Mexico,México,77645,Chen-tuk,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4974,-86.9371,4,chen-tuk
MX,Mexico,México,77645,Miraflores,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4448,-86.9089,3,miraflores
MX,Mexico,México,77660,FOVISSSTE,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4448,-86.9089,3,fovissste
MX,Mexico,México,77660,Flamingos I,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4925,-86.9476,3,flamingos-i
MX,Mexico,México,77660,Caribe,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4925,-86.9476,3,caribe
MX,Mexico,México,77660,Maravilla,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4925,-86.9476,4,maravilla
MX,Mexico,México,77660,Magisterio,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4925,-86.9476,3,magisterio
MX,Mexico,México,77660,Flamingos II,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4925,-86.9476,3,flamingos-ii
MX,Mexico,México,77664,Independencia,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4955,-86.9505,4,independencia
MX,Mexico,México,77664,Colonos Cuzamil,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4955,-86.9598,4,colonos-cuzamil
MX,Mexico,México,77664,Andrés Q. Roo,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4955,-86.9552,3,andres-q-roo
MX,Mexico,México,77665,San Miguel 1,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4944,-86.9475,1,san-miguel-1
MX,Mexico,México,77666,San Miguel 3,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4944,-86.9475,1,san-miguel-3
MX,Mexico,México,77666,San Miguel 2,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4944,-86.9475,1,san-miguel-2
MX,Mexico,México,77666,Flores Magón 3,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4944,-86.9475,1,flores-magon-3
MX,Mexico,México,77667,Flores Magón 1 y 2,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4941,-86.9397,3,flores-magon-1-y-2
MX,Mexico,México,77667,Repobladores de 1848,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4941,-86.9397,3,repobladores-de-1848
MX,Mexico,México,77667,Adolfo L. Mateos,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4941,-86.9397,3,adolfo-l-mateos
MX,Mexico,México,77667,Cuzamil,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4961,-86.9427,4,cuzamil
MX,Mexico,México,77667,San Gervasio,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4921,-86.9367,4,san-gervasio
MX,Mexico,México,77670,Zona Industrial,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4844,-86.9553,3,zona-industrial
MX,Mexico,México,77670,C T M,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4844,-86.9553,3,c-t-m
MX,Mexico,México,77670,Naval,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4448,-86.9089,3,naval
MX,Mexico,México,77670,Taxistas,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4448,-86.9089,3,taxistas
MX,Mexico,México,77670,Cozumel Turístico,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4839,-86.9552,4,cozumel-turistico
MX,Mexico,México,77670,Las Golondrinas,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4848,-86.9554,4,las-golondrinas
MX,Mexico,México,77673,Huertos Familiares,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4844,-86.9553,1,huertos-familiares
MX,Mexico,México,77675,Zona Hotelera Sur,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4844,-86.9553,1,zona-hotelera-sur
MX,Mexico,México,77676,Ix-chel,Quintana Roo,23,Cozumel,001,Cozumel,02,20.4844,-86.9553,1,ix-chel
MX,Mexico,México,77100,Laguna Kaná,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.5029,-88.3969,4,laguna-kana
MX,Mexico,México,77104,Mixtequilla,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.3861,-88.2644,4,mixtequilla
MX,Mexico,México,77104,Santa María Poniente,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.3676,-88.4072,4,santa-maria-poniente
MX,Mexico,México,77104,Chan Santa Cruz,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.3681,-88.3319,4,chan-santa-cruz
MX,Mexico,México,77104,Noh-Cah,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.4206,-88.1622,4,noh-cah
MX,Mexico,México,77105,San Andrés,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.4028,-88.1322,4,san-andres
MX,Mexico,México,77106,X-Konha,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.4306,-88.1019,4,x-konha
MX,Mexico,México,77106,X-Hazil Sur,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.3917,-88.0742,4,x-hazil-sur
MX,Mexico,México,77107,Betania,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.6381,-88.2881,4,betania
MX,Mexico,México,77108,Chunhuás,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.6306,-88.2103,4,chunhuas
MX,Mexico,México,77110,Tuzik,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.9151,-88.1595,4,tuzik
MX,Mexico,México,77114,San José Segundo,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.9698,-88.2271,4,san-jose-segundo
MX,Mexico,México,77115,San Felipe Berriozábal,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.0528,-88.1681,4,san-felipe-berriozabal
MX,Mexico,México,77115,Trapich,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.0144,-88.1398,4,trapich
MX,Mexico,México,77116,Yodzonot Chico,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.0492,-87.9488,4,yodzonot-chico
MX,Mexico,México,77116,Francisco I. Madero,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.0492,-87.9488,3,francisco-i-madero
MX,Mexico,México,77117,Francisco May,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.1542,-88.1576,4,francisco-may
MX,Mexico,México,77118,San Ramón,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.1449,-88.108,4,san-ramon
MX,Mexico,México,77120,Tepich,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.2421,-88.2569,4,tepich
MX,Mexico,México,77121,Tihosuco,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.1964,-88.3736,4,tihosuco
MX,Mexico,México,77123,Dzoyola,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.9436,-88.4446,4,dzoyola
MX,Mexico,México,77125,San Francisco Aké,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.9561,-88.3457,4,san-francisco-ake
MX,Mexico,México,77130,Chun On,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.0312,-87.8706,4,chun-on
MX,Mexico,México,77130,Chumpón,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.0022,-87.8122,4,chumpon
MX,Mexico,México,77135,Chun-Yah,Quintana Roo,23,Felipe Carrillo Puerto,002,,,20.1017,-87.9258,4,chun-yah
MX,Mexico,México,77140,X-Pichil,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.7,-88.3667,4,x-pichil
MX,Mexico,México,77140,Santa Rosa Segundo,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.9778,-88.2625,4,santa-rosa-segundo
MX,Mexico,México,77144,Tabi,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.7202,-88.2651,4,tabi
MX,Mexico,México,77145,Yaxley,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.7686,-88.1997,4,yaxley
MX,Mexico,México,77146,Tixcacal Guardia,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.8589,-88.1751,4,tixcacal-guardia
MX,Mexico,México,77147,Kampokolché,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.6617,-88.055,4,kampokolche
MX,Mexico,México,77148,Filomeno Mata,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.8592,-88.395,4,filomeno-mata
MX,Mexico,México,77148,Hobompich,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.8084,-88.3509,4,hobompich
MX,Mexico,México,77150,Señor,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.8442,-88.1352,4,senor
MX,Mexico,México,77156,José María Pino Suárez,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.8047,-88.1186,4,jose-maria-pino-suarez
MX,Mexico,México,77156,Santa Amalia,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.7647,-87.8631,4,santa-amalia
MX,Mexico,México,77158,Kancabchén,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.751,-88.4518,4,kancabchen
MX,Mexico,México,77160,X-Yatil,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.6618,-88.4438,4,x-yatil
MX,Mexico,México,77160,Chunhuhub,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.5853,-88.5922,4,chunhuhub
MX,Mexico,México,77160,Dzulá,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.6033,-88.4157,4,dzula
MX,Mexico,México,77163,Yoactún,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.4594,-88.3586,4,yoactun
MX,Mexico,México,77169,Polyuc,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.6089,-88.5615,4,polyuc
MX,Mexico,México,77170,Presidente Juárez,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.3284,-88.5616,4,presidente-juarez
MX,Mexico,México,77174,Ignacio Manuel Altamirano,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.2886,-88.5749,4,ignacio-manuel-altamirano
MX,Mexico,México,77175,Nuevo Israel,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.2412,-88.5519,4,nuevo-israel
MX,Mexico,México,77176,Nueva Loría,Quintana Roo,23,Felipe Carrillo Puerto,002,,,19.301,-88.5373,4,nueva-loria
