country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MX,Mexico,México,84920,Aconchi,Sonora,26,Aconchi,001,,,29.8263,-110.2249,4,aconchi
MX,Mexico,México,84923,Tres Álamos,Sonora,26,Aconchi,001,,,29.8398,-110.2319,4,tres-alamos
MX,Mexico,México,84923,La Loma,Sonora,26,Aconchi,001,,,29.7962,-110.2224,3,la-loma
MX,Mexico,México,84923,Agua Caliente,Sonora,26,Aconchi,001,,,29.8407,-110.2748,4,agua-caliente
MX,Mexico,México,84923,Rafael Noriega Soufflé,Sonora,26,Aconchi,001,,,29.8403,-110.2533,3,rafael-noriega-souffle
MX,Mexico,México,84923,Barranca las Higueritas,Sonora,26,Aconchi,001,,,29.8403,-110.2533,3,barranca-las-higueritas
MX,Mexico,México,84924,Las Albóndigas,Sonora,26,Aconchi,001,,,29.7943,-110.3153,4,las-albondigas
MX,Mexico,México,84924,Los Alisos,Sonora,26,Aconchi,001,,,29.7987,-110.3184,4,los-alisos
MX,Mexico,México,84925,Represo de Romo,Sonora,26,Aconchi,001,,,29.6987,-110.3157,3,represo-de-romo
MX,Mexico,México,84925,El Tarais,Sonora,26,Aconchi,001,,,29.6987,-110.3157,4,el-tarais
MX,Mexico,México,84928,El Rodeo (El Rodeo de Aconchi),Sonora,26,Aconchi,001,,,29.7642,-110.1951,4,el-rodeo-el-rodeo-de-aconchi
MX,Mexico,México,84928,La Alamedita,Sonora,26,Aconchi,001,,,29.7488,-110.2656,4,la-alamedita
MX,Mexico,México,84928,La Higuera,Sonora,26,Aconchi,001,,,29.7962,-110.2224,3,la-higuera
MX,Mexico,México,84928,La Alameda,Sonora,26,Aconchi,001,,,29.7962,-110.2224,3,la-alameda
MX,Mexico,México,84928,Havinanchi,Sonora,26,Aconchi,001,,,29.7622,-110.22,3,havinanchi
MX,Mexico,México,84928,San Pablo (San Pablo de Aconchi),Sonora,26,Aconchi,001,,,29.7736,-110.1993,4,san-pablo-san-pablo-de-aconchi
MX,Mexico,México,84929,Chavoverachi,Sonora,26,Aconchi,001,,,29.8108,-110.2214,4,chavoverachi
MX,Mexico,México,84929,La Estancia,Sonora,26,Aconchi,001,,,29.7938,-110.2096,4,la-estancia
MX,Mexico,México,84929,La Misión,Sonora,26,Aconchi,001,,,29.7962,-110.2224,3,la-mision
MX,Mexico,México,84929,Establo López,Sonora,26,Aconchi,001,,,29.8023,-110.2155,3,establo-lopez
MX,Mexico,México,84930,Las Garzas,Sonora,26,Aconchi,001,,,29.8229,-110.1228,4,las-garzas
MX,Mexico,México,84930,Maicobabi,Sonora,26,Aconchi,001,,,29.8068,-110.1279,4,maicobabi
MX,Mexico,México,84933,La Sauceda,Sonora,26,Aconchi,001,,,29.8454,-110.1119,4,la-sauceda
MX,Mexico,México,84934,Tepúa (El Carricito),Sonora,26,Aconchi,001,,,29.8259,-110.0722,4,tepua-el-carricito
MX,Mexico,México,84935,Valencia,Sonora,26,Aconchi,001,,,29.8011,-110.0698,4,valencia
MX,Mexico,México,84200,Centro,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.1044,-109.1973,1,centro
MX,Mexico,México,84210,Sector Industrial,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3283,-109.5772,3,sector-industrial
MX,Mexico,México,84210,Ferrocarril,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3283,-109.5772,4,ferrocarril
MX,Mexico,México,84213,Paseos del Parque,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3283,-109.5772,1,paseos-del-parque
MX,Mexico,México,84213,Coronado,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.1044,-109.1973,1,coronado
MX,Mexico,México,84220,Militar,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.1044,-109.1973,1,militar
MX,Mexico,México,84230,Cerrada San Ángel,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3316,-109.514,3,cerrada-san-angel
MX,Mexico,México,84230,Lomas del Sol,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3316,-109.514,3,lomas-del-sol
MX,Mexico,México,84230,El Alamito INFONAVIT,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3316,-109.514,3,el-alamito-infonavit
MX,Mexico,México,84230,Cueva de los Leones,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3316,-109.514,3,cueva-de-los-leones
MX,Mexico,México,84230,Valle Bonito,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3316,-109.514,3,valle-bonito
MX,Mexico,México,84230,Ibarrola,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3316,-109.514,3,ibarrola
MX,Mexico,México,84230,Deportiva,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3316,-109.514,4,deportiva
MX,Mexico,México,84230,Obrera,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.1044,-109.1973,3,obrera
MX,Mexico,México,84230,FOVISSSTE,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.1044,-109.1973,3,fovissste
MX,Mexico,México,84230,Praderas,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3316,-109.514,3,praderas
MX,Mexico,México,84230,Loma Linda,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.1044,-109.1973,3,loma-linda
MX,Mexico,México,84240,Jesús García,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.1044,-109.1973,1,jesus-garcia
MX,Mexico,México,84240,Unidad Deportiva,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3233,-109.5408,1,unidad-deportiva
MX,Mexico,México,84250,Nueva,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3137,-109.5655,1,nueva
MX,Mexico,México,84259,Tres Caminos,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3137,-109.5655,3,tres-caminos
MX,Mexico,México,84259,Solidaridad,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.1044,-109.1973,3,solidaridad
MX,Mexico,México,84259,Ejidal,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3137,-109.5655,4,ejidal
MX,Mexico,México,84259,Ladrillera,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.1044,-109.1973,3,ladrillera
MX,Mexico,México,84259,Ladrillera II,Sonora,26,Agua Prieta,002,Agua Prieta,02,31.3137,-109.5655,3,ladrillera-ii
