country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MX,Mexico,México,99940,De Abajo,Zacatecas,32,Apozol,001,,,21.4695,-103.0908,3,de-abajo
MX,Mexico,México,99940,Apozol,Zacatecas,32,Apozol,001,,,21.4695,-103.0908,4,apozol
MX,Mexico,México,99949,Los Llamas,Zacatecas,32,Apozol,001,,,21.5031,-103.0902,4,los-llamas
MX,Mexico,México,99950,El Rescoldo,Zacatecas,32,Apozol,001,,,21.4691,-103.1043,4,el-rescoldo
MX,Mexico,México,99920,San Pedro Apulco,Zacatecas,32,Apulco,002,,,21.3882,-102.6822,4,san-pedro-apulco
MX,Mexico,México,99921,Agua Blanca,Zacatecas,32,Apulco,002,,,21.4603,-102.6892,4,agua-blanca
MX,Mexico,México,99925,La Pitaya,Zacatecas,32,Apulco,002,,,21.4669,-102.6918,1,la-pitaya
MX,Mexico,México,99930,Tenayuca,Zacatecas,32,Apulco,002,,,21.4669,-102.6918,1,tenayuca
MX,Mexico,México,99730,Los Pinos,Zacatecas,32,Atolinga,003,,,21.7866,-103.4466,3,los-pinos
MX,Mexico,México,99730,Atolinga,Zacatecas,32,Atolinga,003,,,21.8066,-103.465,4,atolinga
MX,Mexico,México,99733,Juantón,Zacatecas,32,Atolinga,003,,,21.8358,-103.3983,3,juanton
MX,Mexico,México,99733,Covarrubias,Zacatecas,32,Atolinga,003,,,21.8633,-103.3814,4,covarrubias
MX,Mexico,México,99733,Salisflor,Zacatecas,32,Atolinga,003,,,21.8147,-103.4408,4,salisflor
MX,Mexico,México,99733,Cerrito Pelón,Zacatecas,32,Atolinga,003,,,21.817,-103.425,4,cerrito-pelon
MX,Mexico,México,99733,Talpa,Zacatecas,32,Atolinga,003,,,21.8347,-103.3782,4,talpa
MX,Mexico,México,99733,Terreros,Zacatecas,32,Atolinga,003,,,21.8492,-103.3664,4,terreros
MX,Mexico,México,99734,Charcuelos,Zacatecas,32,Atolinga,003,,,21.8058,-103.4036,4,charcuelos
MX,Mexico,México,99734,Laguna Grande,Zacatecas,32,Atolinga,003,,,21.7707,-103.4485,4,laguna-grande
MX,Mexico,México,99734,El Durazno,Zacatecas,32,Atolinga,003,,,21.7923,-103.4213,4,el-durazno
MX,Mexico,México,99734,Acatepulco,Zacatecas,32,Atolinga,003,,,21.7715,-103.4245,3,acatepulco
MX,Mexico,México,99734,Tapias Grandes,Zacatecas,32,Atolinga,003,,,21.7347,-103.4297,4,tapias-grandes
MX,Mexico,México,99734,Los Velas,Zacatecas,32,Atolinga,003,,,21.7538,-103.4196,4,los-velas
MX,Mexico,México,99735,La Ciénega,Zacatecas,32,Atolinga,003,,,21.6694,-103.5339,4,la-cienega
MX,Mexico,México,99735,Villa Hidalgo,Zacatecas,32,Atolinga,003,,,21.7296,-103.4529,4,villa-hidalgo
