country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
MY,Malaysia,Malasia,79000,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79100,Nusajaya,Johor,JHR,,,,,1.4835,103.6341,3,nusajaya
MY,Malaysia,Malasia,79150,Nusajaya,Johor,JHR,,,,,1.4968,103.6524,3,nusajaya
MY,Malaysia,Malasia,79200,Nusajaya,Johor,JHR,,,,,1.4836,103.6364,3,nusajaya
MY,Malaysia,Malasia,79250,Nusajaya,Johor,JHR,,,,,1.5034,103.6522,3,nusajaya
MY,Malaysia,Malasia,79502,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79503,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79504,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79505,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79511,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79513,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79514,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79517,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79518,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79520,Nusajaya,Johor,JHR,,,,,1.457,103.7623,3,nusajaya
MY,Malaysia,Malasia,79521,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79523,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79532,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79538,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79540,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79546,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79548,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79550,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79552,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79555,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79570,Nusajaya,Johor,JHR,,,,,6.1378,100.3711,3,nusajaya
MY,Malaysia,Malasia,79575,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79576,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
MY,Malaysia,Malasia,79592,Nusajaya,Johor,JHR,,,,,1.5014,103.6439,3,nusajaya
