country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
NL,Netherlands,Países Bajos,7091 AA,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8637,6.4888,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AB,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8647,6.4893,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AC,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8658,6.4912,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AD,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8668,6.4945,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AE,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8644,6.4894,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AG,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8659,6.4929,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AH,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8648,6.488,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AJ,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8617,6.4929,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AK,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8639,6.4918,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AL,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8623,6.4931,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AM,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8641,6.4922,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AN,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8653,6.4932,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AP,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8655,6.4926,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AR,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8647,6.4936,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AS,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8627,6.4937,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AT,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8637,6.4932,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AV,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8638,6.4936,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AW,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8638,6.4941,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AX,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8635,6.4947,6,dinxperlo
NL,Netherlands,Países Bajos,7091 AZ,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8633,6.4952,6,dinxperlo
NL,Netherlands,Países Bajos,7091 BA,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8622,6.4942,6,dinxperlo
NL,Netherlands,Países Bajos,7091 BB,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.862,6.4943,6,dinxperlo
NL,Netherlands,Países Bajos,7091 BC,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8617,6.4944,6,dinxperlo
NL,Netherlands,Países Bajos,7091 BD,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8614,6.4946,6,dinxperlo
NL,Netherlands,Países Bajos,7091 BE,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.864,6.4908,6,dinxperlo
NL,Netherlands,Países Bajos,7091 BG,Dinxperlo,Guelders,03,Aalten Municipality,0197,,,51.8611,6.4901,6,dinxperlo
