country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
NL,Netherlands,Países Bajos,5721 AA,Asten,North Brabant,06,Asten Municipality,0743,,,51.4034,5.7429,6,asten
NL,Netherlands,Países Bajos,5721 AB,Asten,North Brabant,06,Asten Municipality,0743,,,51.4039,5.743,6,asten
NL,Netherlands,Países Bajos,5721 AC,Asten,North Brabant,06,Asten Municipality,0743,,,51.4052,5.7403,6,asten
NL,Netherlands,Países Bajos,5721 AD,Asten,North Brabant,06,Asten Municipality,0743,,,51.4041,5.743,6,asten
NL,Netherlands,Países Bajos,5721 AE,Asten,North Brabant,06,Asten Municipality,0743,,,51.4055,5.7406,6,asten
NL,Netherlands,Países Bajos,5721 AG,Asten,North Brabant,06,Asten Municipality,0743,,,51.4047,5.7437,6,asten
NL,Netherlands,Países Bajos,5721 AH,Asten,North Brabant,06,Asten Municipality,0743,,,51.4061,5.7405,6,asten
NL,Netherlands,Países Bajos,5721 AJ,Asten,North Brabant,06,Asten Municipality,0743,,,51.4044,5.7448,6,asten
NL,Netherlands,Países Bajos,5721 AK,Asten,North Brabant,06,Asten Municipality,0743,,,51.4062,5.741,6,asten
NL,Netherlands,Países Bajos,5721 AL,Asten,North Brabant,06,Asten Municipality,0743,,,51.406,5.7385,6,asten
NL,Netherlands,Países Bajos,5721 AM,Asten,North Brabant,06,Asten Municipality,0743,,,51.408,5.7366,6,asten
NL,Netherlands,Países Bajos,5721 AN,Asten,North Brabant,06,Asten Municipality,0743,,,51.4148,5.7187,6,asten
NL,Netherlands,Países Bajos,5721 AP,Asten,North Brabant,06,Asten Municipality,0743,,,51.4085,5.7371,6,asten
NL,Netherlands,Países Bajos,5721 AR,Asten,North Brabant,06,Asten Municipality,0743,,,51.4154,5.7138,6,asten
NL,Netherlands,Países Bajos,5721 AS,Asten,North Brabant,06,Asten Municipality,0743,,,51.4139,5.7151,6,asten
NL,Netherlands,Países Bajos,5721 AT,Asten,North Brabant,06,Asten Municipality,0743,,,51.414,5.7115,6,asten
NL,Netherlands,Países Bajos,5721 AV,Asten,North Brabant,06,Asten Municipality,0743,,,51.4099,5.7378,6,asten
NL,Netherlands,Países Bajos,5721 AW,Asten,North Brabant,06,Asten Municipality,0743,,,51.4103,5.7369,6,asten
NL,Netherlands,Países Bajos,5721 AX,Asten,North Brabant,06,Asten Municipality,0743,,,51.4099,5.739,6,asten
NL,Netherlands,Países Bajos,5721 AZ,Asten,North Brabant,06,Asten Municipality,0743,,,51.4087,5.7387,6,asten
NL,Netherlands,Países Bajos,5721 BA,Asten,North Brabant,06,Asten Municipality,0743,,,51.4091,5.7405,6,asten
NL,Netherlands,Países Bajos,5721 BB,Asten,North Brabant,06,Asten Municipality,0743,,,51.4092,5.7401,6,asten
NL,Netherlands,Países Bajos,5721 BC,Asten,North Brabant,06,Asten Municipality,0743,,,51.4087,5.7446,6,asten
NL,Netherlands,Países Bajos,5721 BD,Asten,North Brabant,06,Asten Municipality,0743,,,51.4107,5.7488,6,asten
NL,Netherlands,Países Bajos,5721 BE,Asten,North Brabant,06,Asten Municipality,0743,,,51.4094,5.7488,6,asten
NL,Netherlands,Países Bajos,5721 BG,Asten,North Brabant,06,Asten Municipality,0743,,,51.4113,5.7499,6,asten
NL,Netherlands,Países Bajos,5721 BH,Asten,North Brabant,06,Asten Municipality,0743,,,51.4121,5.751,6,asten
NL,Netherlands,Países Bajos,5721 BJ,Asten,North Brabant,06,Asten Municipality,0743,,,51.4119,5.7501,6,asten
NL,Netherlands,Países Bajos,5721 BK,Asten,North Brabant,06,Asten Municipality,0743,,,51.4115,5.7533,6,asten
NL,Netherlands,Países Bajos,5721 BL,Asten,North Brabant,06,Asten Municipality,0743,,,51.4107,5.7511,6,asten
