country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
NL,Netherlands,Países Bajos,3038 CD,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9337,4.4646,6,rotterdam
NL,Netherlands,Países Bajos,3038 CE,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9334,4.4641,6,rotterdam
NL,Netherlands,Países Bajos,3038 CG,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9332,4.4638,6,rotterdam
NL,Netherlands,Países Bajos,3038 CH,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9328,4.4632,6,rotterdam
NL,Netherlands,Países Bajos,3038 CJ,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9325,4.4628,6,rotterdam
NL,Netherlands,Países Bajos,3038 CK,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9344,4.4682,6,rotterdam
NL,Netherlands,Países Bajos,3038 CL,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9342,4.467,6,rotterdam
NL,Netherlands,Países Bajos,3038 CM,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9339,4.4662,6,rotterdam
NL,Netherlands,Países Bajos,3038 CN,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9338,4.4659,6,rotterdam
NL,Netherlands,Países Bajos,3038 CP,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9333,4.4648,6,rotterdam
NL,Netherlands,Países Bajos,3038 CR,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.933,4.4645,6,rotterdam
NL,Netherlands,Países Bajos,3038 CS,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9328,4.4641,6,rotterdam
NL,Netherlands,Países Bajos,3038 CT,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9324,4.4636,6,rotterdam
NL,Netherlands,Países Bajos,3038 CV,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9322,4.4633,6,rotterdam
NL,Netherlands,Países Bajos,3038 CW,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9323,4.464,6,rotterdam
NL,Netherlands,Países Bajos,3038 CX,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9319,4.4642,6,rotterdam
NL,Netherlands,Países Bajos,3038 CZ,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9321,4.4644,6,rotterdam
NL,Netherlands,Países Bajos,3038 EA,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9321,4.4631,6,rotterdam
NL,Netherlands,Países Bajos,3038 EB,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9318,4.4661,6,rotterdam
NL,Netherlands,Países Bajos,3038 EC,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9318,4.4655,6,rotterdam
NL,Netherlands,Países Bajos,3038 ED,Rotterdam,South Holland,11,Rotterdam Municipality,0599,,,51.9317,4.465,6,rotterdam
