country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PE,Peru,Perú,12000,Pich Gana Huaccta,Junín,12,Huancayo,1201,Chilca,120107,-12.0785,-75.1781,3,pich-gana-huaccta
PE,Peru,Perú,12000,Uñas Alto,Junín,12,Huancayo,1201,Huancayo,120101,-12.0325,-75.1556,3,unas-alto
PE,Peru,Perú,12000,Huinchos,Junín,12,Huancayo,1201,Chilca,120107,-12.0493,-75.1373,3,huinchos
PE,Peru,Perú,12000,Yuracyacu,Junín,12,Huancayo,1201,Huancayo,120101,-11.983,-74.9733,4,yuracyacu
PE,Peru,Perú,12000,Cochas Grande,Junín,12,Huancayo,1201,El Tambo,120114,-11.997,-75.1885,3,cochas-grande
PE,Peru,Perú,12000,Independencia,Junín,12,Huancayo,1201,Huancan,120119,-12.1161,-75.209,3,independencia
PE,Peru,Perú,12000,La Cantuta,Junín,12,Huancayo,1201,El Tambo,120114,-12.0347,-75.201,3,la-cantuta
PE,Peru,Perú,12000,Huari,Junín,12,Huancayo,1201,Huancan,120119,-12.1197,-75.2037,4,huari
PE,Peru,Perú,12000,Latapampa,Junín,12,Huancayo,1201,Chilca,120107,-12.0805,-75.1795,3,latapampa
PE,Peru,Perú,12000,Tanquizcancha,Junín,12,Huancayo,1201,Chilca,120107,-12.0649,-75.1686,3,tanquizcancha
PE,Peru,Perú,12000,Tambo (Huari),Junín,12,Huancayo,1201,Huancan,120119,-12.1223,-75.1829,3,tambo-huari
PE,Peru,Perú,12000,Llamus,Junín,12,Huancayo,1201,Chilca,120107,-12.0979,-75.2245,3,llamus
PE,Peru,Perú,12000,Nueva Castilla,Junín,12,Huancayo,1201,Huancan,120119,-12.109,-75.1904,3,nueva-castilla
PE,Peru,Perú,12000,Cullpa Alta,Junín,12,Huancayo,1201,El Tambo,120114,-12.023,-75.2014,3,cullpa-alta
PE,Peru,Perú,12000,Pañaspampa,Junín,12,Huancayo,1201,Huancayo,120101,-12.0111,-75.1694,3,panaspampa
PE,Peru,Perú,12000,Saños Grande,Junín,12,Huancayo,1201,El Tambo,120114,-12.0114,-75.2268,3,sanos-grande
PE,Peru,Perú,12000,Paccha,Junín,12,Huancayo,1201,El Tambo,120114,-11.9981,-75.2077,4,paccha
PE,Peru,Perú,12000,Suytucancha,Junín,12,Huancayo,1201,El Tambo,120114,-11.9362,-75.193,4,suytucancha
PE,Peru,Perú,12000,Chucruz,Junín,12,Huancayo,1201,El Tambo,120114,-12.0052,-75.2194,3,chucruz
PE,Peru,Perú,12000,Chamiseria,Junín,12,Huancayo,1201,Huancayo,120101,-12.007,-75.1566,3,chamiseria
PE,Peru,Perú,12000,Alata,Junín,12,Huancayo,1201,Chilca,120107,-12.0993,-75.2154,3,alata
PE,Peru,Perú,12000,Auray,Junín,12,Huancayo,1201,Chilca,120107,-12.0973,-75.2151,3,auray
PE,Peru,Perú,12000,Aza,Junín,12,Huancayo,1201,El Tambo,120114,-12.0297,-75.2088,3,aza
PE,Peru,Perú,12000,Cullpa Baja,Junín,12,Huancayo,1201,El Tambo,120114,-12.0242,-75.2019,3,cullpa-baja
PE,Peru,Perú,12000,Ancalayo,Junín,12,Huancayo,1201,El Tambo,120114,-11.9845,-75.2103,4,ancalayo
PE,Peru,Perú,12000,Auquimarca,Junín,12,Huancayo,1201,Chilca,120107,-12.0981,-75.2306,4,auquimarca
PE,Peru,Perú,12000,Huala Hoyo,Junín,12,Huancayo,1201,El Tambo,120114,-12.0012,-75.2212,3,huala-hoyo
PE,Peru,Perú,12000,Vilcacoto,Junín,12,Huancayo,1201,Huancayo,120101,-12.015,-75.1821,4,vilcacoto
PE,Peru,Perú,12000,Cochas Chico,Junín,12,Huancayo,1201,El Tambo,120114,-11.9977,-75.1883,4,cochas-chico
PE,Peru,Perú,12000,Azapampa,Junín,12,Huancayo,1201,Chilca,120107,-12.0938,-75.0648,4,azapampa
PE,Peru,Perú,12000,Acopalca,Junín,12,Huancayo,1201,Huancayo,120101,-11.9864,-75.1024,4,acopalca
PE,Peru,Perú,12001,Chilca,Junín,12,Huancayo,1201,Chilca,120107,-12.0817,-75.2029,3,chilca
PE,Peru,Perú,12001,Huancayo,Junín,12,Huancayo,1201,Huancayo,120101,-12.0651,-75.2049,4,huancayo
PE,Peru,Perú,12002,Huancayo,Junín,12,Huancayo,1201,Huancayo,120101,-12.0651,-75.2049,4,huancayo
PE,Peru,Perú,12002,Chilca,Junín,12,Huancayo,1201,Chilca,120107,-12.0817,-75.2029,3,chilca
PE,Peru,Perú,12003,Huancayo,Junín,12,Huancayo,1201,Huancayo,120101,-12.0651,-75.2049,4,huancayo
PE,Peru,Perú,12003,Chilca,Junín,12,Huancayo,1201,Chilca,120107,-12.0817,-75.2029,3,chilca
PE,Peru,Perú,12004,Huancayo,Junín,12,Huancayo,1201,Huancayo,120101,-12.0651,-75.2049,4,huancayo
PE,Peru,Perú,12004,El Tambo,Junín,12,Huancayo,1201,El Tambo,120114,-12.0667,-75.2167,4,el-tambo
PE,Peru,Perú,12006,Pilcomayo,Junín,12,Huancayo,1201,Pilcomayo,120125,-12.0472,-75.2493,4,pilcomayo
PE,Peru,Perú,12006,El Tambo,Junín,12,Huancayo,1201,El Tambo,120114,-12.0667,-75.2167,4,el-tambo
PE,Peru,Perú,12007,El Tambo,Junín,12,Huancayo,1201,El Tambo,120114,-12.0667,-75.2167,4,el-tambo
PE,Peru,Perú,12007,Incho,Junín,12,Huancayo,1201,El Tambo,120114,-12.0425,-75.2031,3,incho
PE,Peru,Perú,12007,Urpaycancha,Junín,12,Huancayo,1201,El Tambo,120114,-12.0434,-75.2083,3,urpaycancha
PE,Peru,Perú,12051,Chilca,Junín,12,Huancayo,1201,Chilca,120107,-12.0817,-75.2029,3,chilca
PE,Peru,Perú,12051,Huancan,Junín,12,Huancayo,1201,Huancan,120119,-12.1086,-75.2166,4,huancan
PE,Peru,Perú,12100,Coyllor Pata,Junín,12,Huancayo,1201,San Agustín,120129,-12.0061,-75.2574,3,coyllor-pata
PE,Peru,Perú,12100,Coyllor Grande,Junín,12,Huancayo,1201,San Agustín,120129,-12.0104,-75.2501,3,coyllor-grande
PE,Peru,Perú,12100,Vista Alegre,Junín,12,Huancayo,1201,San Agustín,120129,-12.0176,-75.242,4,vista-alegre
PE,Peru,Perú,12100,Santa Ines,Junín,12,Huancayo,1201,San Agustín,120129,-11.9912,-75.2384,3,santa-ines
PE,Peru,Perú,12100,Anya,Junín,12,Huancayo,1201,San Agustín,120129,-11.9937,-75.2264,4,anya
PE,Peru,Perú,12100,Coyllor Chico,Junín,12,Huancayo,1201,San Agustín,120129,-12.0229,-75.248,3,coyllor-chico
PE,Peru,Perú,12100,Matañuñu,Junín,12,Huancayo,1201,San Agustín,120129,-11.9829,-75.2225,3,matanunu
PE,Peru,Perú,12100,Alala,Junín,12,Huancayo,1201,San Agustín,120129,-11.9641,-75.2147,3,alala
PE,Peru,Perú,12100,Talhuis,Junín,12,Huancayo,1201,San Agustín,120129,-11.9625,-75.21,4,talhuis
PE,Peru,Perú,12101,San Agustin,Junín,12,Huancayo,1201,San Agustín,120129,-11.9916,-75.2482,4,san-agustin
PE,Peru,Perú,12105,Veliz,Junín,12,Huancayo,1201,Hualhuas,120117,-11.9865,-75.2534,3,veliz
PE,Peru,Perú,12105,Beloy (San Roque),Junín,12,Huancayo,1201,Hualhuas,120117,-11.9575,-75.2465,3,beloy-san-roque
PE,Peru,Perú,12105,Chalars,Junín,12,Huancayo,1201,Hualhuas,120117,-11.9665,-75.2551,3,chalars
PE,Peru,Perú,12105,Muchacruz,Junín,12,Huancayo,1201,Hualhuas,120117,-11.9674,-75.2615,3,muchacruz
PE,Peru,Perú,12105,Primavera,Junín,12,Huancayo,1201,Hualhuas,120117,-11.9831,-75.2592,3,primavera
PE,Peru,Perú,12105,Chauca,Junín,12,Huancayo,1201,Hualhuas,120117,-11.9632,-75.2454,4,chauca
PE,Peru,Perú,12105,Beloy Chauca,Junín,12,Huancayo,1201,Hualhuas,120117,-11.9594,-75.2446,3,beloy-chauca
PE,Peru,Perú,12105,Hualhuas,Junín,12,Huancayo,1201,Hualhuas,120117,-11.9715,-75.2506,4,hualhuas
PE,Peru,Perú,12110,San Jose de Tiso,Junín,12,Huancayo,1201,Saño,120132,-11.9353,-75.2312,3,san-jose-de-tiso
PE,Peru,Perú,12110,Yacuto Mantaro Anexo,Junín,12,Huancayo,1201,Saño,120132,-11.9769,-75.2761,3,yacuto-mantaro-anexo
PE,Peru,Perú,12110,Siusa,Junín,12,Huancayo,1201,Saño,120132,-11.9337,-75.2292,4,siusa
PE,Peru,Perú,12110,Chambina,Junín,12,Huancayo,1201,Saño,120132,-11.9534,-75.2637,3,chambina
PE,Peru,Perú,12110,Progreso,Junín,12,Huancayo,1201,Saño,120132,-11.9481,-75.2524,4,progreso
PE,Peru,Perú,12110,Saño,Junín,12,Huancayo,1201,Saño,120132,-11.9567,-75.2569,4,sano
PE,Peru,Perú,12110,Jesus de Nazareno,Junín,12,Huancayo,1201,Saño,120132,-11.9597,-75.2659,3,jesus-de-nazareno
PE,Peru,Perú,12115,La Esperanza,Junín,12,Huancayo,1201,San Jerónimo De Tunán,120130,-11.935,-75.3067,4,la-esperanza
PE,Peru,Perú,12115,San Miguel Tambo Anya,Junín,12,Huancayo,1201,San Jerónimo De Tunán,120130,-11.9697,-75.2704,4,san-miguel-tambo-anya
PE,Peru,Perú,12116,San Jeronimo de Tunan,Junín,12,Huancayo,1201,San Jerónimo De Tunán,120130,-11.9559,-75.2841,4,san-jeronimo-de-tunan
PE,Peru,Perú,12120,Pachascucho,Junín,12,Huancayo,1201,Quilcas,120128,-11.923,-75.2485,4,pachascucho
PE,Peru,Perú,12120,Colpar,Junín,12,Huancayo,1201,Quilcas,120128,-11.92,-75.2501,4,colpar
PE,Peru,Perú,12120,Quilcas,Junín,12,Huancayo,1201,Quilcas,120128,-11.9358,-75.2596,4,quilcas
PE,Peru,Perú,12120,Hornuyo Grande,Junín,12,Huancayo,1201,Quilcas,120128,-11.9073,-75.1154,3,hornuyo-grande
PE,Peru,Perú,12120,Tunsho,Junín,12,Huancayo,1201,Quilcas,120128,-11.8381,-75.1106,4,tunsho
PE,Peru,Perú,12120,Llacta,Junín,12,Huancayo,1201,Quilcas,120128,-11.9357,-75.2547,4,llacta
PE,Peru,Perú,12120,Matacorral,Junín,12,Huancayo,1201,Quilcas,120128,-11.8642,-75.1374,4,matacorral
PE,Peru,Perú,12120,Manco Cancha,Junín,12,Huancayo,1201,Quilcas,120128,-11.8531,-75.1859,4,manco-cancha
PE,Peru,Perú,12120,Cuchis Chico,Junín,12,Huancayo,1201,Quilcas,120128,-11.909,-75.2091,3,cuchis-chico
PE,Peru,Perú,12120,Isla,Junín,12,Huancayo,1201,Quilcas,120128,-11.8993,-75.1886,4,isla
PE,Peru,Perú,12120,Morococha,Junín,12,Huancayo,1201,Quilcas,120128,-11.8681,-75.086,4,morococha
PE,Peru,Perú,12120,Agua Corral,Junín,12,Huancayo,1201,Quilcas,120128,-11.8858,-75.2034,3,agua-corral
PE,Peru,Perú,12120,Alampa,Junín,12,Huancayo,1201,Quilcas,120128,-11.8823,-75.1807,4,alampa
PE,Peru,Perú,12120,Acopuquio,Junín,12,Huancayo,1201,Quilcas,120128,-11.8869,-75.1893,3,acopuquio
PE,Peru,Perú,12120,Luco,Junín,12,Huancayo,1201,Quilcas,120128,-11.9421,-75.2546,3,luco
PE,Peru,Perú,12120,Hatunshpa,Junín,12,Huancayo,1201,Quilcas,120128,-11.8897,-75.1936,3,hatunshpa
PE,Peru,Perú,12120,Jatu Uclo,Junín,12,Huancayo,1201,Quilcas,120128,-11.8883,-75.1765,3,jatu-uclo
PE,Peru,Perú,12120,Malma Nera,Junín,12,Huancayo,1201,Quilcas,120128,-11.9013,-75.1569,3,malma-nera
PE,Peru,Perú,12120,Jatun Puquio,Junín,12,Huancayo,1201,Quilcas,120128,-11.8936,-75.1825,3,jatun-puquio
PE,Peru,Perú,12120,Ichilpampa,Junín,12,Huancayo,1201,Quilcas,120128,-11.9325,-75.2312,3,ichilpampa
PE,Peru,Perú,12120,Iscos,Junín,12,Huancayo,1201,Quilcas,120128,-11.8974,-75.1771,4,iscos
PE,Peru,Perú,12120,Mancoculi,Junín,12,Huancayo,1201,Quilcas,120128,-11.9213,-75.2416,3,mancoculi
PE,Peru,Perú,12120,Huachu Pata,Junín,12,Huancayo,1201,Quilcas,120128,-11.8443,-75.166,3,huachu-pata
PE,Peru,Perú,12120,Hingualoma,Junín,12,Huancayo,1201,Quilcas,120128,-11.9159,-75.2319,3,hingualoma
PE,Peru,Perú,12120,Espital,Junín,12,Huancayo,1201,Quilcas,120128,-11.9155,-75.234,3,espital
PE,Peru,Perú,12120,Pucacuto,Junín,12,Huancayo,1201,Quilcas,120128,-11.9044,-75.2044,3,pucacuto
PE,Peru,Perú,12120,Puca Macha Y,Junín,12,Huancayo,1201,Quilcas,120128,-11.8788,-75.2106,3,puca-macha-y
PE,Peru,Perú,12120,Quispetuna,Junín,12,Huancayo,1201,Quilcas,120128,-11.9294,-75.2617,3,quispetuna
PE,Peru,Perú,12120,Ñahinpuquio,Junín,12,Huancayo,1201,Quilcas,120128,-11.8912,-75.2101,3,nahinpuquio
PE,Peru,Perú,12120,Santa Cruz de Rangra,Junín,12,Huancayo,1201,Quilcas,120128,-11.9029,-75.2334,3,santa-cruz-de-rangra
PE,Peru,Perú,12120,Sayhua,Junín,12,Huancayo,1201,Quilcas,120128,-11.9072,-75.1395,3,sayhua
PE,Peru,Perú,12120,Silgueruyo,Junín,12,Huancayo,1201,Quilcas,120128,-11.8676,-75.1569,3,silgueruyo
PE,Peru,Perú,12120,Sotuly (Sutule),Junín,12,Huancayo,1201,Quilcas,120128,-11.8995,-75.1909,3,sotuly-sutule
PE,Peru,Perú,12120,Sutu Machay,Junín,12,Huancayo,1201,Quilcas,120128,-11.9065,-75.1714,3,sutu-machay
PE,Peru,Perú,12120,Tintihuasi,Junín,12,Huancayo,1201,Quilcas,120128,-11.9123,-75.2098,3,tintihuasi
PE,Peru,Perú,12120,Wihuyo,Junín,12,Huancayo,1201,Quilcas,120128,-11.9007,-75.1695,3,wihuyo
