country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PE,Peru,Perú,13000,Villa los Angeles,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0981,-79.0897,3,villa-los-angeles
PE,Peru,Perú,13000,Nuevo Horizonte,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0539,-79.0903,4,nuevo-horizonte
PE,Peru,Perú,13000,Huanchaquito Bajo,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.1007,-79.1061,3,huanchaquito-bajo
PE,Peru,Perú,13000,El Milagro,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0208,-79.0651,4,el-milagro
PE,Peru,Perú,13000,Huanchaquito Alto,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0879,-79.0975,3,huanchaquito-alto
PE,Peru,Perú,13000,Cerrito de la Virgen,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0416,-79.1121,3,cerrito-de-la-virgen
PE,Peru,Perú,13000,El Tablazo,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0675,-79.116,4,el-tablazo
PE,Peru,Perú,13000,Pampas de Alejandro,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.1104,-79.0662,3,pampas-de-alejandro
PE,Peru,Perú,13000,Valdivia (Valdivia Alta),La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0718,-79.091,3,valdivia-valdivia-alta
PE,Peru,Perú,13001,Trujillo,La Libertad,13,Trujillo,1301,Trujillo,130101,-8.116,-79.03,4,trujillo
PE,Peru,Perú,13002,El Porvenir,La Libertad,13,Trujillo,1301,El Porvenir,130102,-8.0833,-79,4,el-porvenir
PE,Peru,Perú,13002,Florencia de Mora,La Libertad,13,Trujillo,1301,Florencia De Mora,130103,-8.0856,-79.02,4,florencia-de-mora
PE,Peru,Perú,13002,La Esperanza,La Libertad,13,Trujillo,1301,La Esperanza,130105,-8.0764,-79.0437,4,la-esperanza
PE,Peru,Perú,13003,Florencia de Mora,La Libertad,13,Trujillo,1301,Florencia De Mora,130103,-8.0856,-79.02,4,florencia-de-mora
PE,Peru,Perú,13003,El Porvenir,La Libertad,13,Trujillo,1301,El Porvenir,130102,-8.0833,-79,4,el-porvenir
PE,Peru,Perú,13004,El Porvenir,La Libertad,13,Trujillo,1301,El Porvenir,130102,-8.0833,-79,4,el-porvenir
PE,Peru,Perú,13006,Trujillo,La Libertad,13,Trujillo,1301,Trujillo,130101,-8.116,-79.03,4,trujillo
PE,Peru,Perú,13007,Santa Rosa,La Libertad,13,Trujillo,1301,Trujillo,130101,-8.12,-79.0017,4,santa-rosa
PE,Peru,Perú,13007,Trujillo,La Libertad,13,Trujillo,1301,Trujillo,130101,-8.116,-79.03,4,trujillo
PE,Peru,Perú,13007,El Conde,La Libertad,13,Trujillo,1301,Trujillo,130101,-8.1261,-78.9892,3,el-conde
PE,Peru,Perú,13007,Nueva Victoria,La Libertad,13,Trujillo,1301,Trujillo,130101,-8.1349,-79.003,3,nueva-victoria
PE,Peru,Perú,13007,El Palmo,La Libertad,13,Trujillo,1301,Trujillo,130101,-8.1311,-79.0044,4,el-palmo
PE,Peru,Perú,13008,Trujillo,La Libertad,13,Trujillo,1301,Trujillo,130101,-8.116,-79.03,4,trujillo
PE,Peru,Perú,13008,La Encalada (La Encalada Vieja),La Libertad,13,Trujillo,1301,Trujillo,130101,-8.147,-79.0251,3,la-encalada-la-encalada-vieja
PE,Peru,Perú,13008,Ex Fundo Larrea,La Libertad,13,Trujillo,1301,Trujillo,130101,-8.1408,-79.014,3,ex-fundo-larrea
PE,Peru,Perú,13008,Buenos Aires,La Libertad,13,Trujillo,1301,Víctor Larco Herrera,130111,-8.1386,-79.0403,4,buenos-aires
PE,Peru,Perú,13009,La Encalada,La Libertad,13,Trujillo,1301,Víctor Larco Herrera,130111,-8.1435,-79.0288,4,la-encalada
PE,Peru,Perú,13009,Buenos Aires,La Libertad,13,Trujillo,1301,Víctor Larco Herrera,130111,-8.1386,-79.0403,4,buenos-aires
PE,Peru,Perú,13009,El Arenal,La Libertad,13,Trujillo,1301,Víctor Larco Herrera,130111,-8.1504,-79.0286,3,el-arenal
PE,Peru,Perú,13009,Bocana Sur,La Libertad,13,Trujillo,1301,Víctor Larco Herrera,130111,-8.1567,-79.0339,3,bocana-sur
PE,Peru,Perú,13009,Los Israelitas,La Libertad,13,Trujillo,1301,Víctor Larco Herrera,130111,-8.1544,-79.0374,3,los-israelitas
PE,Peru,Perú,13011,Nuevo Progreso,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0946,-79.0597,3,nuevo-progreso
PE,Peru,Perú,13011,Villa del Mar,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0971,-79.0623,3,villa-del-mar
PE,Peru,Perú,13011,Huanchaco,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0833,-79.1167,4,huanchaco
PE,Peru,Perú,13011,El Progreso,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0883,-79.0549,4,el-progreso
PE,Peru,Perú,13011,Trujillo,La Libertad,13,Trujillo,1301,Trujillo,130101,-8.116,-79.03,4,trujillo
PE,Peru,Perú,13011,Santa Maria,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0883,-79.0622,4,santa-maria
PE,Peru,Perú,13012,La Esperanza,La Libertad,13,Trujillo,1301,La Esperanza,130105,-8.0764,-79.0437,4,la-esperanza
PE,Peru,Perú,13013,La Esperanza,La Libertad,13,Trujillo,1301,La Esperanza,130105,-8.0764,-79.0437,4,la-esperanza
PE,Peru,Perú,13014,Wichanzao,La Libertad,13,Trujillo,1301,Huanchaco,130104,-8.0186,-79.0543,3,wichanzao
