country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PE,Peru,Perú,15001,Lima,Lima,15,Lima,1501,Lima,150101,-12.0432,-77.0282,4,lima
PE,Peru,Perú,15003,Lima,Lima,15,Lima,1501,Lima,150101,-12.0432,-77.0282,4,lima
PE,Peru,Perú,15003,El Agustino,Lima,15,Lima,1501,El Agustino,150111,-12.0426,-76.989,4,el-agustino
PE,Peru,Perú,15004,Lima,Lima,15,Lima,1501,Lima,150101,-12.0432,-77.0282,4,lima
PE,Peru,Perú,15004,El Agustino,Lima,15,Lima,1501,El Agustino,150111,-12.0426,-76.989,4,el-agustino
PE,Peru,Perú,15004,San Luis,Lima,15,Lima,1501,San Luis,150134,-12.0767,-76.9944,4,san-luis
PE,Peru,Perú,15004,Vitarte,Lima,15,Lima,1501,Ate,150103,-12.0333,-76.9333,4,vitarte
PE,Peru,Perú,15006,Lima,Lima,15,Lima,1501,Lima,150101,-12.0432,-77.0282,4,lima
PE,Peru,Perú,15006,El Agustino,Lima,15,Lima,1501,El Agustino,150111,-12.0426,-76.989,4,el-agustino
PE,Peru,Perú,15007,El Agustino,Lima,15,Lima,1501,El Agustino,150111,-12.0426,-76.989,4,el-agustino
PE,Peru,Perú,15007,Santa Anita - los Ficus,Lima,15,Lima,1501,Santa Anita,150137,-12.0435,-76.9853,3,santa-anita-los-ficus
PE,Peru,Perú,15008,El Agustino,Lima,15,Lima,1501,El Agustino,150111,-12.0426,-76.989,4,el-agustino
PE,Peru,Perú,15008,Santa Anita - los Ficus,Lima,15,Lima,1501,Santa Anita,150137,-12.0435,-76.9853,3,santa-anita-los-ficus
PE,Peru,Perú,15009,Santa Anita - los Ficus,Lima,15,Lima,1501,Santa Anita,150137,-12.0435,-76.9853,3,santa-anita-los-ficus
PE,Peru,Perú,15009,El Agustino,Lima,15,Lima,1501,El Agustino,150111,-12.0426,-76.989,4,el-agustino
PE,Peru,Perú,15011,El Agustino,Lima,15,Lima,1501,El Agustino,150111,-12.0426,-76.989,4,el-agustino
PE,Peru,Perú,15011,Vitarte,Lima,15,Lima,1501,Ate,150103,-12.0333,-76.9333,4,vitarte
