country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PE,Peru,Perú,16000,Centro Mazana I Zona,Loreto,16,Maynas,1601,Belén,160112,-3.7981,-73.2391,3,centro-mazana-i-zona
PE,Peru,Perú,16000,Centro Fuerte,Loreto,16,Maynas,1601,Punchana,160108,-3.6459,-73.3195,3,centro-fuerte
PE,Peru,Perú,16000,Huaturi,Loreto,16,Maynas,1601,Iquitos,160101,-3.7744,-73.3718,3,huaturi
PE,Peru,Perú,16000,Indelsa,Loreto,16,Maynas,1601,Punchana,160108,-3.6349,-73.2075,3,indelsa
PE,Peru,Perú,16000,Isla Iquitos,Loreto,16,Maynas,1601,Belén,160112,-3.6618,-73.2054,3,isla-iquitos
PE,Peru,Perú,16000,Ayacucho,Loreto,16,Maynas,1601,Iquitos,160101,-3.8312,-73.5142,3,ayacucho
PE,Peru,Perú,16000,Centro Arenal,Loreto,16,Maynas,1601,Punchana,160108,-3.6225,-73.2305,3,centro-arenal
PE,Peru,Perú,16000,Los Cedros,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1594,-73.3935,3,los-cedros
PE,Peru,Perú,16000,Los Delfines,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.8464,-73.3394,3,los-delfines
PE,Peru,Perú,16000,Nuevo Piura,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1647,-73.4012,3,nuevo-piura
PE,Peru,Perú,16000,Canta Gallo,Loreto,16,Maynas,1601,Belén,160112,-3.8933,-73.2516,3,canta-gallo
PE,Peru,Perú,16000,Cañaveral,Loreto,16,Maynas,1601,Belén,160112,-3.7662,-73.1864,3,canaveral
PE,Peru,Perú,16000,Lupuna Ii Zona,Loreto,16,Maynas,1601,Belén,160112,-3.7602,-73.1691,3,lupuna-ii-zona
PE,Peru,Perú,16000,Cahuide,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1922,-73.4008,3,cahuide
PE,Peru,Perú,16000,Union Familiar,Loreto,16,Maynas,1601,Punchana,160108,-3.5742,-73.3712,3,union-familiar
PE,Peru,Perú,16000,Lupuna I Zona,Loreto,16,Maynas,1601,Belén,160112,-3.749,-73.1856,3,lupuna-i-zona
PE,Peru,Perú,16000,San Pedro de Huashalado,Loreto,16,Maynas,1601,Belén,160112,-3.6944,-73.1958,3,san-pedro-de-huashalado
PE,Peru,Perú,16000,San Pedro de Falcon,Loreto,16,Maynas,1601,Belén,160112,-3.6726,-73.0724,3,san-pedro-de-falcon
PE,Peru,Perú,16000,Alfonso Ugarte,Loreto,16,Maynas,1601,Punchana,160108,-3.4753,-73.3468,3,alfonso-ugarte
PE,Peru,Perú,16000,Luz de Oriente,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.2635,-73.5966,3,luz-de-oriente
PE,Peru,Perú,16000,Maynas,Loreto,16,Maynas,1601,Punchana,160108,-3.4829,-73.44,3,maynas
PE,Peru,Perú,16000,Mazanillo,Loreto,16,Maynas,1601,Belén,160112,-3.878,-73.2433,3,mazanillo
PE,Peru,Perú,16000,Meliton Carbajal,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.2572,-73.5748,3,meliton-carbajal
PE,Peru,Perú,16000,Rumococha,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.7785,-73.3242,3,rumococha
PE,Peru,Perú,16000,Roca Fuerte,Loreto,16,Maynas,1601,Punchana,160108,-3.631,-73.3299,3,roca-fuerte
PE,Peru,Perú,16000,Mishana,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.882,-73.4922,3,mishana
PE,Peru,Perú,16000,Rafael Belaunde,Loreto,16,Maynas,1601,Belén,160112,-3.7349,-73.195,3,rafael-belaunde
PE,Peru,Perú,16000,Punto Alegre,Loreto,16,Maynas,1601,Punchana,160108,-3.4897,-73.4355,3,punto-alegre
PE,Peru,Perú,16000,Mohena Caño,Loreto,16,Maynas,1601,Belén,160112,-3.7644,-73.2235,3,mohena-cano
PE,Peru,Perú,16000,28 de Julio,Loreto,16,Maynas,1601,Belén,160112,-3.8044,-73.2773,3,28-de-julio
PE,Peru,Perú,16000,Nuevo San Antonio,Loreto,16,Maynas,1601,Punchana,160108,-3.6595,-73.3111,3,nuevo-san-antonio
PE,Peru,Perú,16000,Nina Rumi,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.8457,-73.3879,3,nina-rumi
PE,Peru,Perú,16000,Hipolito Unanue,Loreto,16,Maynas,1601,Punchana,160108,-3.6202,-73.3395,3,hipolito-unanue
PE,Peru,Perú,16000,Huascar,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.2053,-73.4008,3,huascar
PE,Peru,Perú,16000,Puerto Gen Gen,Loreto,16,Maynas,1601,Punchana,160108,-3.6552,-73.3025,3,puerto-gen-gen
PE,Peru,Perú,16000,Puerto Alegria I Zona,Loreto,16,Maynas,1601,Belén,160112,-3.7959,-73.2555,3,puerto-alegria-i-zona
PE,Peru,Perú,16000,Progreso,Loreto,16,Maynas,1601,Belén,160112,-3.6738,-73.2069,4,progreso
PE,Peru,Perú,16000,Limon,Loreto,16,Maynas,1601,Belén,160112,-3.8092,-73.2889,3,limon
PE,Peru,Perú,16000,Loboyacu,Loreto,16,Maynas,1601,Iquitos,160101,-3.7805,-73.3547,3,loboyacu
PE,Peru,Perú,16000,Nueva Vida,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.151,-73.4055,3,nueva-vida
PE,Peru,Perú,16000,Nuevo Milagro,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.9301,-73.3721,3,nuevo-milagro
PE,Peru,Perú,16000,Nuevo San Jose,Loreto,16,Maynas,1601,Belén,160112,-3.7684,-73.2421,4,nuevo-san-jose
PE,Peru,Perú,16000,Peña Negra,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.8624,-73.3349,4,pena-negra
PE,Peru,Perú,16000,Primero de Mayo,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.0629,-73.4463,4,primero-de-mayo
PE,Peru,Perú,16000,San Lucas,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1096,-73.4157,3,san-lucas
PE,Peru,Perú,16000,Puerto Alegria Ii Zona,Loreto,16,Maynas,1601,Belén,160112,-3.7906,-73.2516,3,puerto-alegria-ii-zona
PE,Peru,Perú,16000,Union,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1322,-73.3965,3,union
PE,Peru,Perú,16000,Nueva Amazonia,Loreto,16,Maynas,1601,Belén,160112,-3.6228,-73.1618,3,nueva-amazonia
PE,Peru,Perú,16000,Progreso I Zona,Loreto,16,Maynas,1601,Punchana,160108,-3.6636,-73.3265,3,progreso-i-zona
PE,Peru,Perú,16000,Progreso II Zona,Loreto,16,Maynas,1601,Punchana,160108,-3.6706,-73.3784,3,progreso-ii-zona
PE,Peru,Perú,16000,Maravilla,Loreto,16,Maynas,1601,Iquitos,160101,-3.8614,-73.567,3,maravilla
PE,Peru,Perú,16000,Picuro Yacu,Loreto,16,Maynas,1601,Punchana,160108,-3.6334,-73.2246,3,picuro-yacu
PE,Peru,Perú,16000,Paujil Ii Zona,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.0325,-73.4394,3,paujil-ii-zona
PE,Peru,Perú,16000,Padre Isla I Zona,Loreto,16,Maynas,1601,Belén,160112,-3.6824,-73.1669,3,padre-isla-i-zona
PE,Peru,Perú,16000,Nueva Primavera,Loreto,16,Maynas,1601,Punchana,160108,-3.6864,-73.3947,3,nueva-primavera
PE,Peru,Perú,16000,Creacion 2000,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.0925,-73.3868,3,creacion-2000
PE,Peru,Perú,16000,Gabriela Nuñez,Loreto,16,Maynas,1601,Belén,160112,-3.7363,-73.2318,3,gabriela-nunez
PE,Peru,Perú,16000,Grau Pampa Hermosa,Loreto,16,Maynas,1601,Punchana,160108,-3.6135,-73.3585,3,grau-pampa-hermosa
PE,Peru,Perú,16000,Costanera,Loreto,16,Maynas,1601,Punchana,160108,-3.6313,-73.203,3,costanera
PE,Peru,Perú,16000,Centro Union Lupuna,Loreto,16,Maynas,1601,Belén,160112,-3.7465,-73.1268,3,centro-union-lupuna
PE,Peru,Perú,16000,Habana,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1453,-73.4258,3,habana
PE,Peru,Perú,16000,Huambe,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1191,-73.4657,3,huambe
PE,Peru,Perú,16000,Centro Mazana II Zona,Loreto,16,Maynas,1601,Belén,160112,-3.8088,-73.2271,3,centro-mazana-ii-zona
PE,Peru,Perú,16000,Union Progreso,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.8536,-73.3408,3,union-progreso
PE,Peru,Perú,16000,Independencia,Loreto,16,Maynas,1601,Punchana,160108,-3.6419,-73.2228,3,independencia
PE,Peru,Perú,16000,Ushpa Caño,Loreto,16,Maynas,1601,Belén,160112,-3.7657,-73.2052,3,ushpa-cano
PE,Peru,Perú,16000,San Juan de Huashalado,Loreto,16,Maynas,1601,Belén,160112,-3.7068,-73.1673,4,san-juan-de-huashalado
PE,Peru,Perú,16000,Santa Catalina,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.0929,-73.4416,4,santa-catalina
PE,Peru,Perú,16000,Anguilla,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.9113,-73.6543,4,anguilla
PE,Peru,Perú,16000,Ciudad Saltelite,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1514,-73.4805,3,ciudad-saltelite
PE,Peru,Perú,16000,Soledad,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.9855,-73.3608,4,soledad
PE,Peru,Perú,16000,Shiriara,Loreto,16,Maynas,1601,Iquitos,160101,-3.854,-73.4732,4,shiriara
PE,Peru,Perú,16000,Varadero de Omaguas,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1555,-73.3937,3,varadero-de-omaguas
PE,Peru,Perú,16000,Villa el Buen Pastor,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.9365,-73.3654,3,villa-el-buen-pastor
PE,Peru,Perú,16000,Santa Cruz,Loreto,16,Maynas,1601,Belén,160112,-3.6345,-73.1929,4,santa-cruz
PE,Peru,Perú,16000,Carococha,Loreto,16,Maynas,1601,Belén,160112,-3.6721,-73.1761,4,carococha
PE,Peru,Perú,16000,Santo Tomas,Loreto,16,Maynas,1601,San Juan Bautista,160113,-2.5716,-73.4819,4,santo-tomas
PE,Peru,Perú,16000,Yanayacu de Bombonaje,Loreto,16,Maynas,1601,Belén,160112,-3.6999,-73.0837,3,yanayacu-de-bombonaje
PE,Peru,Perú,16000,Santa Rita,Loreto,16,Maynas,1601,Iquitos,160101,-3.7338,-73.3239,4,santa-rita
PE,Peru,Perú,16000,San Miguel,Loreto,16,Maynas,1601,Belén,160112,-3.8167,-73.2667,4,san-miguel
PE,Peru,Perú,16000,Puerto Almendras,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.8296,-73.3727,3,puerto-almendras
PE,Peru,Perú,16000,Paujil I Zona,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.0406,-73.4084,3,paujil-i-zona
PE,Peru,Perú,16000,Llanchama,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.8582,-73.4086,3,llanchama
PE,Peru,Perú,16000,Lupunillo,Loreto,16,Maynas,1601,Punchana,160108,-3.6895,-73.2488,3,lupunillo
PE,Peru,Perú,16000,Santa Maria de Ojeal,Loreto,16,Maynas,1601,Punchana,160108,-3.6089,-73.1727,4,santa-maria-de-ojeal
PE,Peru,Perú,16000,Flor de Agosto,Loreto,16,Maynas,1601,Punchana,160108,-3.6503,-73.3332,3,flor-de-agosto
PE,Peru,Perú,16000,Momoncillo,Loreto,16,Maynas,1601,Punchana,160108,-3.6723,-73.2681,3,momoncillo
PE,Peru,Perú,16000,San Pedro,Loreto,16,Maynas,1601,Iquitos,160101,-3.7823,-73.4328,4,san-pedro
PE,Peru,Perú,16000,Cabo Pantoja,Loreto,16,Maynas,1601,Belén,160112,-3.6864,-73.1385,4,cabo-pantoja
PE,Peru,Perú,16000,Puerto Alicia,Loreto,16,Maynas,1601,Punchana,160108,-3.5218,-73.3836,3,puerto-alicia
PE,Peru,Perú,16000,Cruz del Sur,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.8431,-73.3342,4,cruz-del-sur
PE,Peru,Perú,16000,Zungaro Cocha,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.8285,-73.3578,4,zungaro-cocha
PE,Peru,Perú,16000,Lagunas,Loreto,16,Maynas,1601,Iquitos,160101,-3.8554,-73.5834,4,lagunas
PE,Peru,Perú,16000,Palo Seco,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.0409,-73.3829,4,palo-seco
PE,Peru,Perú,16000,Yuto,Loreto,16,Maynas,1601,San Juan Bautista,160113,-3.8826,-73.5388,4,yuto
PE,Peru,Perú,16000,Peña Blanca,Loreto,16,Maynas,1601,Belén,160112,-4.0121,-73.366,4,pena-blanca
PE,Peru,Perú,16000,Astoria,Loreto,16,Maynas,1601,Punchana,160108,-3.6667,-73.25,4,astoria
PE,Peru,Perú,16000,El Milagro,Loreto,16,Maynas,1601,Punchana,160108,-3.6536,-73.2387,3,el-milagro
PE,Peru,Perú,16000,El Triunfo,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1272,-73.4269,3,el-triunfo
PE,Peru,Perú,16000,San Pablo de Cuyana,Loreto,16,Maynas,1601,Iquitos,160101,-3.771,-73.3622,3,san-pablo-de-cuyana
PE,Peru,Perú,16000,San Martin II Zona,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1653,-73.4348,3,san-martin-ii-zona
PE,Peru,Perú,16000,San Luis de Vista Alegre,Loreto,16,Maynas,1601,Punchana,160108,-3.5406,-73.3811,3,san-luis-de-vista-alegre
PE,Peru,Perú,16000,San Juan de Sinchicuy,Loreto,16,Maynas,1601,Punchana,160108,-3.5761,-73.1832,3,san-juan-de-sinchicuy
PE,Peru,Perú,16000,Yarina,Loreto,16,Maynas,1601,Iquitos,160101,-3.8369,-73.562,4,yarina
PE,Peru,Perú,16000,San Juan de Pintuyacu,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.0721,-73.4662,3,san-juan-de-pintuyacu
PE,Peru,Perú,16000,San Juan de Padrecocha,Loreto,16,Maynas,1601,Belén,160112,-3.6388,-73.1897,3,san-juan-de-padrecocha
PE,Peru,Perú,16000,Nuevo Peru,Loreto,16,Maynas,1601,Punchana,160108,-3.592,-73.177,3,nuevo-peru
PE,Peru,Perú,16000,Nuevo Paraiso,Loreto,16,Maynas,1601,Punchana,160108,-3.6496,-73.4409,3,nuevo-paraiso
PE,Peru,Perú,16000,Nuevo Miraflores,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1715,-73.4053,3,nuevo-miraflores
PE,Peru,Perú,16000,Nuevo Humaral,Loreto,16,Maynas,1601,Belén,160112,-3.737,-73.0758,3,nuevo-humaral
PE,Peru,Perú,16000,Yarana,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.0118,-73.4485,3,yarana
PE,Peru,Perú,16000,Santa Clotilde,Loreto,16,Maynas,1601,Punchana,160108,-3.6602,-73.2459,4,santa-clotilde
PE,Peru,Perú,16000,Nuevo Campeon,Loreto,16,Maynas,1601,Belén,160112,-3.7821,-73.2471,3,nuevo-campeon
PE,Peru,Perú,16000,Nueva York,Loreto,16,Maynas,1601,Punchana,160108,-3.4484,-73.4764,4,nueva-york
PE,Peru,Perú,16000,Nuevo Progreso,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.1715,-73.3998,3,nuevo-progreso
PE,Peru,Perú,16000,Nueva Villa Belen,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.282,-73.613,3,nueva-villa-belen
PE,Peru,Perú,16000,Nueva Santa Eloysa,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.0836,-73.3844,3,nueva-santa-eloysa
PE,Peru,Perú,16000,General Merino,Loreto,16,Maynas,1601,Belén,160112,-3.719,-73.0753,3,general-merino
PE,Peru,Perú,16000,Fray Martin,Loreto,16,Maynas,1601,Iquitos,160101,-3.8552,-73.4042,3,fray-martin
PE,Peru,Perú,16000,Ex Petroleros II Zona,Loreto,16,Maynas,1601,San Juan Bautista,160113,-4.0696,-73.424,3,ex-petroleros-ii-zona
