country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PE,Peru,Perú,18000,San Jose,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.285,-70.9835,4,san-jose
PE,Peru,Perú,18000,Clemesi Asicle,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.235,-71.2832,3,clemesi-asicle
PE,Peru,Perú,18000,La Chimba,Moquegua,18,Mariscal Nieto,1801,Samegua,180104,-17.1366,-70.8543,4,la-chimba
PE,Peru,Perú,18000,Chimba Baja,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.1857,-70.9514,3,chimba-baja
PE,Peru,Perú,18000,Pampas de Granero,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2659,-71.1773,3,pampas-de-granero
PE,Peru,Perú,18000,La Merced,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2986,-70.9882,4,la-merced
PE,Peru,Perú,18000,Cruz Verde,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2513,-70.9847,4,cruz-verde
PE,Peru,Perú,18000,Charsagua,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.1635,-70.9179,3,charsagua
PE,Peru,Perú,18000,Alto la Villa,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.1826,-70.9415,4,alto-la-villa
PE,Peru,Perú,18000,Altillo,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2157,-70.9761,4,altillo
PE,Peru,Perú,18000,Montalvo,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2123,-70.9657,4,montalvo
PE,Peru,Perú,18000,El Comun,Moquegua,18,Mariscal Nieto,1801,Samegua,180104,-17.1523,-70.8598,4,el-comun
PE,Peru,Perú,18000,La Cuevita,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2341,-70.9874,3,la-cuevita
PE,Peru,Perú,18000,San Pedro,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2833,-70.9833,4,san-pedro
PE,Peru,Perú,18000,Estopacage (Tupacaje),Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.19,-70.9649,3,estopacage-tupacaje
PE,Peru,Perú,18000,Yahuay,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.1631,-70.9315,4,yahuay
PE,Peru,Perú,18000,Santa Ana,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2902,-70.993,4,santa-ana
PE,Peru,Perú,18000,Escapalaque,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.1845,-70.9073,4,escapalaque
PE,Peru,Perú,18000,Tamayo,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.3331,-71.0042,4,tamayo
PE,Peru,Perú,18000,Cambrune,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2782,-70.9015,4,cambrune
PE,Peru,Perú,18000,Terron,Moquegua,18,Mariscal Nieto,1801,Samegua,180104,-17.1339,-70.8451,3,terron
PE,Peru,Perú,18000,La Pampa,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2555,-70.9871,4,la-pampa
PE,Peru,Perú,18000,Pampa Blanca,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2085,-70.884,4,pampa-blanca
PE,Peru,Perú,18000,La Cuchilla,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.1678,-70.9268,4,la-cuchilla
PE,Peru,Perú,18000,Buena Vista,Moquegua,18,Mariscal Nieto,1801,Samegua,180104,-17.153,-70.8604,4,buena-vista
PE,Peru,Perú,18000,Quebrada de Calaluna,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2286,-70.9831,3,quebrada-de-calaluna
PE,Peru,Perú,18000,Quebrada Mama Rosa,Moquegua,18,Mariscal Nieto,1801,Samegua,180104,-17.1552,-70.8579,3,quebrada-mama-rosa
PE,Peru,Perú,18000,Quebradillas,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.1762,-70.9477,3,quebradillas
PE,Peru,Perú,18000,Samatelo,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.1756,-70.9445,3,samatelo
PE,Peru,Perú,18000,Siglo Xxi,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2402,-70.911,3,siglo-xxi
PE,Peru,Perú,18000,Tocino Montalvo,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.1986,-70.9894,3,tocino-montalvo
PE,Peru,Perú,18000,Tres Peñas,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.1683,-70.902,3,tres-penas
PE,Peru,Perú,18000,Tucuman,Moquegua,18,Mariscal Nieto,1801,Samegua,180104,-17.1753,-70.893,3,tucuman
PE,Peru,Perú,18000,Olleria Baja,Moquegua,18,Mariscal Nieto,1801,Samegua,180104,-17.1664,-70.8745,3,olleria-baja
PE,Peru,Perú,18000,Pampas del Chen Chen Sur,Moquegua,18,Mariscal Nieto,1801,Moquegua,180101,-17.2135,-70.8242,3,pampas-del-chen-chen-sur
