country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PE,Peru,Perú,19000,Atacocha,Pasco,19,Pasco,1901,Yanacancha,190113,-10.55,-76.2,4,atacocha
PE,Peru,Perú,19000,Pacoyan,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6667,-76.45,4,pacoyan
PE,Peru,Perú,19000,Pichuc Chico,Pasco,19,Pasco,1901,Yanacancha,190113,-10.6593,-76.1776,3,pichuc-chico
PE,Peru,Perú,19000,Pucahuanca,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6701,-76.2011,3,pucahuanca
PE,Peru,Perú,19000,Pucayacu,Pasco,19,Pasco,1901,Yanacancha,190113,-10.6527,-76.2344,3,pucayacu
PE,Peru,Perú,19000,Puchgay,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6657,-76.3864,3,puchgay
PE,Peru,Perú,19000,Quimacocha,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.801,-76.4885,4,quimacocha
PE,Peru,Perú,19000,San Pedro de Raco,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.781,-76.3805,3,san-pedro-de-raco
PE,Peru,Perú,19000,San Ramon de Yanapampa,Pasco,19,Pasco,1901,Yanacancha,190113,-10.6038,-76.182,3,san-ramon-de-yanapampa
PE,Peru,Perú,19000,Tambillo,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6275,-76.3856,4,tambillo
PE,Peru,Perú,19000,Yoclla,Pasco,19,Pasco,1901,Yanacancha,190113,-10.6301,-76.2017,3,yoclla
PE,Peru,Perú,19000,Yoragasha,Pasco,19,Pasco,1901,Yanacancha,190113,-10.6308,-76.1457,3,yoragasha
PE,Peru,Perú,19000,Yupahuanca,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6151,-76.314,3,yupahuanca
PE,Peru,Perú,19000,Yuracgaga,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.8066,-76.4573,3,yuracgaga
PE,Peru,Perú,19000,Yurajchaga,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.7671,-76.4998,3,yurajchaga
PE,Peru,Perú,19000,Yurajhuanca,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.7033,-76.3114,3,yurajhuanca
PE,Peru,Perú,19000,Carnicancha,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.777,-76.5262,4,carnicancha
PE,Peru,Perú,19000,Iscucancha,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6339,-76.3914,4,iscucancha
PE,Peru,Perú,19000,Paria Chica,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6408,-76.3649,3,paria-chica
PE,Peru,Perú,19000,Cauquish,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.7547,-76.3526,3,cauquish
PE,Peru,Perú,19000,Chalhuacocha,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.7676,-76.5279,3,chalhuacocha
PE,Peru,Perú,19000,Champa Cruz,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6242,-76.3778,3,champa-cruz
PE,Peru,Perú,19000,Jirishmachay,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.8087,-76.4356,3,jirishmachay
PE,Peru,Perú,19000,Jucho,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.7796,-76.5128,3,jucho
PE,Peru,Perú,19000,Jumar,Pasco,19,Pasco,1901,Yanacancha,190113,-10.6442,-76.2619,3,jumar
PE,Peru,Perú,19000,Jupayragra,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.7804,-76.3125,3,jupayragra
PE,Peru,Perú,19000,Picho,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6362,-76.3746,3,picho
PE,Peru,Perú,19000,Pillijcocha,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.7699,-76.4417,3,pillijcocha
PE,Peru,Perú,19000,Carmen Chico,Pasco,19,Pasco,1901,Yanacancha,190113,-10.638,-76.2069,3,carmen-chico
PE,Peru,Perú,19000,Casa Cancha,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6382,-76.3962,3,casa-cancha
PE,Peru,Perú,19000,Cashacorral,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.7633,-76.3269,3,cashacorral
PE,Peru,Perú,19000,Cashajirca,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.8348,-76.3148,3,cashajirca
PE,Peru,Perú,19000,Gapina,Pasco,19,Pasco,1901,Yanacancha,190113,-10.6326,-76.1424,3,gapina
PE,Peru,Perú,19000,Garacancha,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.632,-76.3874,3,garacancha
PE,Peru,Perú,19000,Jircacancha Grande,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.7026,-76.4111,3,jircacancha-grande
PE,Peru,Perú,19000,Gara Huangor,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6739,-76.3552,3,gara-huangor
PE,Peru,Perú,19000,Huicra,Pasco,19,Pasco,1901,Simón Bolivar,190109,-10.6423,-76.2956,3,huicra
