country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PE,Peru,Perú,20000,La Palma,Piura,20,Piura,2001,Piura,200101,-5.1046,-80.6393,4,la-palma
PE,Peru,Perú,20000,Huaquillas (Comunidad Campesina Huaquillas),Piura,20,Piura,2001,Castilla,200104,-5.1953,-80.5657,3,huaquillas-comunidad-campesina-huaquillas
PE,Peru,Perú,20000,Pedregal Chico,Piura,20,Piura,2001,Catacaos,200105,-5.2961,-80.6905,4,pedregal-chico
PE,Peru,Perú,20000,Chapayra,Piura,20,Piura,2001,Castilla,200104,-5.1167,-80.6333,4,chapayra
PE,Peru,Perú,20000,Nueva Esperanza,Piura,20,Piura,2001,Piura,200101,-5.083,-80.7013,4,nueva-esperanza
PE,Peru,Perú,20000,Cerezal,Piura,20,Piura,2001,Piura,200101,-5.0667,-80.6333,4,cerezal
PE,Peru,Perú,20000,Loma Blanca,Piura,20,Piura,2001,Catacaos,200105,-5.5506,-80.3841,4,loma-blanca
PE,Peru,Perú,20000,El Molino,Piura,20,Piura,2001,Piura,200101,-5.0842,-80.6258,4,el-molino
PE,Peru,Perú,20000,Rio Seco,Piura,20,Piura,2001,Castilla,200104,-5.1391,-80.614,4,rio-seco
PE,Peru,Perú,20000,Ejidos de Huan,Piura,20,Piura,2001,Piura,200101,-5.1333,-80.6333,4,ejidos-de-huan
PE,Peru,Perú,20000,La Obrilla,Piura,20,Piura,2001,Castilla,200104,-4.9833,-80.5833,4,la-obrilla
PE,Peru,Perú,20000,Terela,Piura,20,Piura,2001,Castilla,200104,-5.0794,-80.6104,4,terela
PE,Peru,Perú,20000,San Rafael,Piura,20,Piura,2001,Castilla,200104,-4.9902,-80.5857,4,san-rafael
PE,Peru,Perú,20000,Simbila,Piura,20,Piura,2001,Catacaos,200105,-5.247,-80.6483,4,simbila
PE,Peru,Perú,20000,Monte Verde,Piura,20,Piura,2001,Catacaos,200105,-5.7321,-80.1909,4,monte-verde
PE,Peru,Perú,20000,Cruz de Caña,Piura,20,Piura,2001,Castilla,200104,-5.15,-80.4,4,cruz-de-cana
PE,Peru,Perú,20000,La Piedra,Piura,20,Piura,2001,Catacaos,200105,-5.2538,-80.7021,4,la-piedra
PE,Peru,Perú,20000,Mocara,Piura,20,Piura,2001,Catacaos,200105,-5.3,-80.7167,4,mocara
PE,Peru,Perú,20000,Santa Sara,Piura,20,Piura,2001,Piura,200101,-5.0724,-80.6244,4,santa-sara
PE,Peru,Perú,20000,Santa Lucia,Piura,20,Piura,2001,Piura,200101,-5.1698,-80.7036,4,santa-lucia
PE,Peru,Perú,20000,San Pablo,Piura,20,Piura,2001,Catacaos,200105,-5.2891,-80.6347,4,san-pablo
PE,Peru,Perú,20000,El Papayo,Piura,20,Piura,2001,Castilla,200104,-5.0446,-80.6077,4,el-papayo
PE,Peru,Perú,20000,02 de Febrero,Piura,20,Piura,2001,Catacaos,200105,-5.2616,-80.6112,3,02-de-febrero
PE,Peru,Perú,20000,Sector Chocan,Piura,20,Piura,2001,Castilla,200104,-5.1462,-80.4347,3,sector-chocan
PE,Peru,Perú,20000,San Miguel,Piura,20,Piura,2001,Piura,200101,-5.0583,-80.6641,4,san-miguel
PE,Peru,Perú,20000,La Campiña,Piura,20,Piura,2001,Catacaos,200105,-5.2989,-80.6835,3,la-campina
PE,Peru,Perú,20000,La Merced,Piura,20,Piura,2001,Piura,200101,-5.0629,-80.6573,3,la-merced
PE,Peru,Perú,20000,Paredones,Piura,20,Piura,2001,Catacaos,200105,-5.2672,-80.7044,4,paredones
PE,Peru,Perú,20000,Las Mercedes,Piura,20,Piura,2001,Castilla,200104,-5.2142,-80.4062,4,las-mercedes
PE,Peru,Perú,20000,San Vicente,Piura,20,Piura,2001,Castilla,200104,-5.0152,-80.5884,4,san-vicente
PE,Peru,Perú,20000,Vega del Caballo,Piura,20,Piura,2001,Catacaos,200105,-5.4343,-80.2844,4,vega-del-caballo
PE,Peru,Perú,20000,Mancomun Morante,Piura,20,Piura,2001,Catacaos,200105,-5.5565,-80.2783,3,mancomun-morante
PE,Peru,Perú,20000,El Cenizo,Piura,20,Piura,2001,Catacaos,200105,-5.6597,-80.1672,3,el-cenizo
PE,Peru,Perú,20000,Ejidos de Mariposa,Piura,20,Piura,2001,Piura,200101,-5.1452,-80.621,3,ejidos-de-mariposa
PE,Peru,Perú,20000,Cristo Es el Camino,Piura,20,Piura,2001,Piura,200101,-5.2022,-80.6875,3,cristo-es-el-camino
PE,Peru,Perú,20000,El Gredal,Piura,20,Piura,2001,Catacaos,200105,-5.258,-80.6298,3,el-gredal
PE,Peru,Perú,20000,Bella Naturaleza,Piura,20,Piura,2001,Catacaos,200105,-5.2416,-80.6391,3,bella-naturaleza
PE,Peru,Perú,20000,Virgen del Carmen,Piura,20,Piura,2001,Piura,200101,-5.061,-80.661,3,virgen-del-carmen
PE,Peru,Perú,20000,Virgen de Fatima,Piura,20,Piura,2001,Castilla,200104,-5.1482,-80.4048,3,virgen-de-fatima
PE,Peru,Perú,20000,Victor Raul,Piura,20,Piura,2001,Piura,200101,-5.1035,-80.6555,3,victor-raul
PE,Peru,Perú,20000,Vega Jabonillo,Piura,20,Piura,2001,Catacaos,200105,-5.2923,-80.6132,3,vega-jabonillo
PE,Peru,Perú,20000,Nuevo Pedregal (Pedregal Grande),Piura,20,Piura,2001,Catacaos,200105,-5.3126,-80.6811,3,nuevo-pedregal-pedregal-grande
PE,Peru,Perú,20000,Loma el Mirador,Piura,20,Piura,2001,Castilla,200104,-5.1515,-80.4597,3,loma-el-mirador
PE,Peru,Perú,20000,Juan Pablo II,Piura,20,Piura,2001,Piura,200101,-5.0524,-80.6642,3,juan-pablo-ii
PE,Peru,Perú,20000,Juan Velasco,Piura,20,Piura,2001,Piura,200101,-5.0385,-80.6893,3,juan-velasco
PE,Peru,Perú,20000,La Cortina,Piura,20,Piura,2001,Piura,200101,-5.0306,-80.6945,3,la-cortina
PE,Peru,Perú,20000,Ex Predio Tacala,Piura,20,Piura,2001,Castilla,200104,-5.191,-80.565,3,ex-predio-tacala
PE,Peru,Perú,20000,Las Mercedes Ii,Piura,20,Piura,2001,Piura,200101,-5.1007,-80.7077,3,las-mercedes-ii
PE,Peru,Perú,20000,Los Ejidos del Norte,Piura,20,Piura,2001,Piura,200101,-5.1519,-80.6197,3,los-ejidos-del-norte
PE,Peru,Perú,20000,La Tea,Piura,20,Piura,2001,Piura,200101,-5.1005,-80.6626,3,la-tea
PE,Peru,Perú,20000,Loma Cheleque,Piura,20,Piura,2001,Catacaos,200105,-5.6705,-80.316,3,loma-cheleque
PE,Peru,Perú,20000,El Morante,Piura,20,Piura,2001,Catacaos,200105,-5.5464,-80.1411,3,el-morante
PE,Peru,Perú,20000,El Patio Excooperativa San Miguel,Piura,20,Piura,2001,Catacaos,200105,-5.2462,-80.6918,3,el-patio-excooperativa-san-miguel
PE,Peru,Perú,20000,Nuevo Cucungara,Piura,20,Piura,2001,Catacaos,200105,-5.3091,-80.6597,3,nuevo-cucungara
PE,Peru,Perú,20000,Maria Vega de la Redonda,Piura,20,Piura,2001,Catacaos,200105,-5.7023,-80.1939,3,maria-vega-de-la-redonda
PE,Peru,Perú,20000,Maria Auxiliadora,Piura,20,Piura,2001,Piura,200101,-5.0602,-80.6546,3,maria-auxiliadora
PE,Peru,Perú,20000,San Sebastian,Piura,20,Piura,2001,Piura,200101,-5.0579,-80.6507,4,san-sebastian
PE,Peru,Perú,20000,El Porvenir,Piura,20,Piura,2001,Piura,200101,-5.0655,-80.6973,4,el-porvenir
PE,Peru,Perú,20000,El Milagro,Piura,20,Piura,2001,Piura,200101,-5.0899,-80.7,4,el-milagro
PE,Peru,Perú,20000,Las Vegas,Piura,20,Piura,2001,Piura,200101,-5.0512,-80.6928,4,las-vegas
PE,Peru,Perú,20000,Santa Fe,Piura,20,Piura,2001,Piura,200101,-5.0668,-80.6542,3,santa-fe
PE,Peru,Perú,20000,Pedregal Grande,Piura,20,Piura,2001,Catacaos,200105,-5.3065,-80.6852,3,pedregal-grande
PE,Peru,Perú,20000,San Juan de Curumuy,Piura,20,Piura,2001,Piura,200101,-5.0284,-80.6309,3,san-juan-de-curumuy
PE,Peru,Perú,20000,Señor Cautivo de Ayabaca,Piura,20,Piura,2001,Piura,200101,-5.1624,-80.6911,3,senor-cautivo-de-ayabaca
PE,Peru,Perú,20000,Nuevo Porvenir,Piura,20,Piura,2001,Catacaos,200105,-5.6039,-80.2909,3,nuevo-porvenir
PE,Peru,Perú,20000,Sarita Colonia,Piura,20,Piura,2001,Catacaos,200105,-5.2781,-80.6104,3,sarita-colonia
PE,Peru,Perú,20000,Vega de Mera,Piura,20,Piura,2001,Catacaos,200105,-5.5584,-80.259,3,vega-de-mera
PE,Peru,Perú,20001,Piura,Piura,20,Piura,2001,Piura,200101,-5.1945,-80.6328,4,piura
PE,Peru,Perú,20002,Castilla,Piura,20,Piura,2001,Castilla,200104,-5.2266,-80.6158,4,castilla
PE,Peru,Perú,20002,Miraflores,Piura,20,Piura,2001,Castilla,200104,-5.1642,-80.6135,4,miraflores
PE,Peru,Perú,20003,Castilla,Piura,20,Piura,2001,Castilla,200104,-5.2266,-80.6158,4,castilla
PE,Peru,Perú,20004,Piura,Piura,20,Piura,2001,Piura,200101,-5.1945,-80.6328,4,piura
PE,Peru,Perú,20004,Coscomba Sur,Piura,20,Piura,2001,Piura,200101,-5.2255,-80.6517,3,coscomba-sur
PE,Peru,Perú,20004,Catacaos,Piura,20,Piura,2001,Catacaos,200105,-5.2667,-80.6833,4,catacaos
PE,Peru,Perú,20004,Coscomba,Piura,20,Piura,2001,Piura,200101,-5.2142,-80.643,4,coscomba
PE,Peru,Perú,20004,Coscomba Alta,Piura,20,Piura,2001,Piura,200101,-5.2198,-80.6484,3,coscomba-alta
PE,Peru,Perú,20006,Viduque,Piura,20,Piura,2001,Catacaos,200105,-5.2563,-80.6609,4,viduque
PE,Peru,Perú,20006,Buenos Aires de Cumbibira,Piura,20,Piura,2001,Catacaos,200105,-5.2762,-80.7407,3,buenos-aires-de-cumbibira
PE,Peru,Perú,20006,La Legua- San Jacinto (La Legua),Piura,20,Piura,2001,Catacaos,200105,-5.2351,-80.6577,3,la-legua-san-jacinto-la-legua
PE,Peru,Perú,20006,La Compuerta de Narihuala,Piura,20,Piura,2001,Catacaos,200105,-5.2965,-80.6991,3,la-compuerta-de-narihuala
PE,Peru,Perú,20006,Catacaos,Piura,20,Piura,2001,Catacaos,200105,-5.2667,-80.6833,4,catacaos
PE,Peru,Perú,20007,Piura,Piura,20,Piura,2001,Piura,200101,-5.1945,-80.6328,4,piura
PE,Peru,Perú,20008,Piura,Piura,20,Piura,2001,Piura,200101,-5.1945,-80.6328,4,piura
PE,Peru,Perú,20008,Puente las Monjas,Piura,20,Piura,2001,Piura,200101,-5.1706,-80.6863,3,puente-las-monjas
PE,Peru,Perú,20009,Piura,Piura,20,Piura,2001,Piura,200101,-5.1945,-80.6328,4,piura
PE,Peru,Perú,20200,Ex Cat Sojo,Piura,20,Piura,2001,Tambo Grande,200114,-4.8967,-80.5191,3,ex-cat-sojo
PE,Peru,Perú,20200,Bella Esperanza,Piura,20,Piura,2001,Tambo Grande,200114,-4.8235,-80.5153,4,bella-esperanza
PE,Peru,Perú,20200,Progreso Alto,Piura,20,Piura,2001,Tambo Grande,200114,-4.938,-80.4947,4,progreso-alto
PE,Peru,Perú,20200,Cp 14 Santa Rosa,Piura,20,Piura,2001,Tambo Grande,200114,-4.809,-80.2949,3,cp-14-santa-rosa
PE,Peru,Perú,20200,Cp2 Colera,Piura,20,Piura,2001,Tambo Grande,200114,-4.9043,-80.3412,3,cp2-colera
PE,Peru,Perú,20200,Carrizo,Piura,20,Piura,2001,Tambo Grande,200114,-4.8851,-80.1194,4,carrizo
PE,Peru,Perú,20200,La Peñita,Piura,20,Piura,2001,Tambo Grande,200114,-4.942,-80.5277,4,la-penita
PE,Peru,Perú,20200,Las Monicas,Piura,20,Piura,2001,Tambo Grande,200114,-4.9299,-80.2825,4,las-monicas
PE,Peru,Perú,20200,Cruceta,Piura,20,Piura,2001,Tambo Grande,200114,-4.8357,-80.2666,4,cruceta
PE,Peru,Perú,20200,San Martin de Angostura,Piura,20,Piura,2001,Tambo Grande,200114,-4.9487,-80.3586,4,san-martin-de-angostura
PE,Peru,Perú,20200,Guaraguaos Bajo,Piura,20,Piura,2001,Tambo Grande,200114,-4.9244,-80.2311,3,guaraguaos-bajo
PE,Peru,Perú,20200,Guaraguaos Alto,Piura,20,Piura,2001,Tambo Grande,200114,-4.91,-80.2165,3,guaraguaos-alto
PE,Peru,Perú,20200,La Quebrada,Piura,20,Piura,2001,Tambo Grande,200114,-4.9627,-80.5814,4,la-quebrada
PE,Peru,Perú,20200,Santa Ana,Piura,20,Piura,2001,Tambo Grande,200114,-4.9548,-80.4516,4,santa-ana
PE,Peru,Perú,20200,Valle Hermoso,Piura,20,Piura,2001,Tambo Grande,200114,-4.9438,-80.5653,4,valle-hermoso
PE,Peru,Perú,20200,Pedregal Bajo,Piura,20,Piura,2001,Tambo Grande,200114,-4.8872,-80.3888,3,pedregal-bajo
PE,Peru,Perú,20200,Ocoto Bajo,Piura,20,Piura,2001,Tambo Grande,200114,-4.9322,-80.4112,4,ocoto-bajo
PE,Peru,Perú,20200,Palo Parado,Piura,20,Piura,2001,Tambo Grande,200114,-4.9201,-80.2736,4,palo-parado
PE,Peru,Perú,20200,Hualtaco III el Porvenir,Piura,20,Piura,2001,Tambo Grande,200114,-4.8598,-80.2983,3,hualtaco-iii-el-porvenir
PE,Peru,Perú,20200,Cesteadero,Piura,20,Piura,2001,Tambo Grande,200114,-4.8775,-80.1414,4,cesteadero
PE,Peru,Perú,20200,El Convento,Piura,20,Piura,2001,Tambo Grande,200114,-4.9333,-80.15,4,el-convento
PE,Peru,Perú,20200,Hualtaco II San Pablo,Piura,20,Piura,2001,Tambo Grande,200114,-4.8385,-80.3032,3,hualtaco-ii-san-pablo
PE,Peru,Perú,20200,Pueblo Libre,Piura,20,Piura,2001,Tambo Grande,200114,-4.9347,-80.2412,4,pueblo-libre
PE,Peru,Perú,20200,Carrizalillo,Piura,20,Piura,2001,Tambo Grande,200114,-4.8513,-80.1812,4,carrizalillo
PE,Peru,Perú,20200,El Papayo,Piura,20,Piura,2001,Tambo Grande,200114,-4.9946,-80.3159,4,el-papayo
