country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PL,Poland,Polonia,59-700,Rakowice,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.2447,15.5347,6,rakowice
PL,Poland,Polonia,59-700,Golnice,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.3504,15.5852,6,golnice
PL,Poland,Polonia,59-700,Chościszowice,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.2868,15.5891,6,chosciszowice
PL,Poland,Polonia,59-700,Bolesławiec,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020101,51.2628,15.5599,6,boles-awiec
PL,Poland,Polonia,59-700,Nowa Wieś,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.3299,15.6101,6,nowa-wies
PL,Poland,Polonia,59-700,Otok,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.2354,15.5259,6,otok
PL,Poland,Polonia,59-700,Pstrąże,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.4396,15.5568,6,pstraze
PL,Poland,Polonia,59-700,Lipiany,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.3415,15.6345,6,lipiany
PL,Poland,Polonia,59-700,Dobra,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.2773,15.5172,6,dobra
PL,Poland,Polonia,59-700,Stara Oleszna,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.4155,15.5994,6,stara-oleszna
PL,Poland,Polonia,59-700,Krępnica,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.3224,15.5596,6,krepnica
PL,Poland,Polonia,59-700,Mierzwin,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.2277,15.4818,6,mierzwin
PL,Poland,Polonia,59-700,Parkoszów,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.3753,15.5811,6,parkoszow
PL,Poland,Polonia,59-700,Żeliszów,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.1917,15.6354,6,zeliszow
PL,Poland,Polonia,59-700,Bożejowice,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.2425,15.5512,6,bozejowice
PL,Poland,Polonia,59-700,Nowe Jaroszowice,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.2154,15.5682,6,nowe-jaroszowice
PL,Poland,Polonia,59-700,Kraśnik Dolny,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.3069,15.608,6,krasnik-dolny
PL,Poland,Polonia,59-700,Kraszowice,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.2112,15.5251,6,kraszowice
PL,Poland,Polonia,59-700,Bolesławice,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.2798,15.5485,6,boles-awice
PL,Poland,Polonia,59-700,Łąka,Lower Silesia,72,Powiat bolesławiecki,0201,Bolesławiec,020102,51.2989,15.5702,6,aka
