country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PL,Poland,Polonia,11-200,Brzostkowo,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.2074,20.8347,6,brzostkowo
PL,Poland,Polonia,11-200,Galinki,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.1584,20.8712,6,galinki
PL,Poland,Polonia,11-200,Falczewo,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.2686,20.8343,6,falczewo
PL,Poland,Polonia,11-200,Ceglarki,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.2386,20.8333,6,ceglarki
PL,Poland,Polonia,11-200,Burkarty,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.208,20.6121,6,burkarty
PL,Poland,Polonia,11-200,Borki (Osada),Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.2594,20.7182,6,borki-osada
PL,Poland,Polonia,11-200,Karolewko,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.3063,20.7476,6,karolewko
PL,Poland,Polonia,11-200,Łabędnik Mały,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.1893,20.9291,6,abednik-ma-y
PL,Poland,Polonia,11-200,Spurgle,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.2016,20.9961,6,spurgle
PL,Poland,Polonia,11-200,Karolewka,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.2436,20.8455,6,karolewka
PL,Poland,Polonia,11-200,Kisity,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.322,20.7464,6,kisity
PL,Poland,Polonia,11-200,Matyjaszki,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.1629,20.9811,6,matyjaszki
PL,Poland,Polonia,11-200,Ganitajny,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.3422,20.8035,6,ganitajny
PL,Poland,Polonia,11-200,Gruda,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.2169,20.9518,6,gruda
PL,Poland,Polonia,11-200,Wipławki,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.2888,20.8133,6,wip-awki
PL,Poland,Polonia,11-200,Klekotki,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.1716,20.7812,6,klekotki
PL,Poland,Polonia,11-200,Okopa,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.2494,20.8409,6,okopa
PL,Poland,Polonia,11-200,Glitajny,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.1997,20.8861,6,glitajny
PL,Poland,Polonia,11-200,Gile,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.232,20.8767,6,gile
PL,Poland,Polonia,11-200,Dębiany,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.1881,20.9104,6,debiany
PL,Poland,Polonia,11-200,Czerwona Górka,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.217,20.8572,6,czerwona-gorka
PL,Poland,Polonia,11-200,Ciemna Wola,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.178,20.8402,6,ciemna-wola
PL,Poland,Polonia,11-200,Wojtkowo,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.2184,20.6093,6,wojtkowo
PL,Poland,Polonia,11-200,Wola,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.3141,20.7198,6,wola
PL,Poland,Polonia,11-200,Bukowo,Warmia-Masuria,85,Powiat bartoszycki,2801,Bartoszyce,280103,54.1986,20.7532,6,bukowo
