country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PR,Puerto Rico,Puerto Rico,00601,Adjuntas,Adjuntas,001,,,,,18.1627,-66.7221,4,adjuntas
PR,Puerto Rico,Puerto Rico,00602,Aguada,Aguada,003,,,,,18.3794,-67.1882,4,aguada
PR,Puerto Rico,Puerto Rico,00603,Aguadilla,Aguadilla,005,,,,,18.4274,-67.1541,4,aguadilla
PR,Puerto Rico,Puerto Rico,00604,Aguadilla,Aguadilla,005,,,,,18.4274,-67.1541,4,aguadilla
PR,Puerto Rico,Puerto Rico,00605,Aguadilla,Aguadilla,005,,,,,18.4274,-67.1541,4,aguadilla
PR,Puerto Rico,Puerto Rico,00690,San Antonio,Aguadilla,005,,,,,18.4922,-67.0985,4,san-antonio
PR,Puerto Rico,Puerto Rico,00703,Aguas Buenas,Aguas Buenas,007,,,,,18.2569,-66.1029,4,aguas-buenas
PR,Puerto Rico,Puerto Rico,00705,Aibonito,Aibonito,009,,,,,18.14,-66.266,4,aibonito
PR,Puerto Rico,Puerto Rico,00786,La Plata,Aibonito,009,,,,,18.1544,-66.2329,4,la-plata
PR,Puerto Rico,Puerto Rico,00610,Anasco,Anasco,011,,,,,18.2827,-67.1396,4,anasco
PR,Puerto Rico,Puerto Rico,00612,Arecibo,Arecibo,013,,,,,18.4724,-66.7157,4,arecibo
PR,Puerto Rico,Puerto Rico,00613,Arecibo,Arecibo,013,,,,,18.4724,-66.7157,4,arecibo
PR,Puerto Rico,Puerto Rico,00614,Arecibo,Arecibo,013,,,,,18.4724,-66.7157,4,arecibo
PR,Puerto Rico,Puerto Rico,00616,Bajadero,Arecibo,013,,,,,18.4266,-66.6832,4,bajadero
PR,Puerto Rico,Puerto Rico,00652,Garrochales,Arecibo,013,,,,,18.4577,-66.611,4,garrochales
PR,Puerto Rico,Puerto Rico,00688,Sabana Hoyos,Arecibo,013,,,,,18.4338,-66.6138,4,sabana-hoyos
PR,Puerto Rico,Puerto Rico,00714,Arroyo,Arroyo,015,,,,,17.9658,-66.0613,4,arroyo
PR,Puerto Rico,Puerto Rico,00617,Barceloneta,Barceloneta,017,,,,,18.4505,-66.5385,4,barceloneta
PR,Puerto Rico,Puerto Rico,00794,Barranquitas,Barranquitas,019,,,,,18.1866,-66.3063,4,barranquitas
PR,Puerto Rico,Puerto Rico,00934,Fort Buchanan,Bayamon,021,,,,,18.4122,-66.1221,4,fort-buchanan
PR,Puerto Rico,Puerto Rico,00956,Bayamon,Bayamon,021,,,,,18.3986,-66.1557,4,bayamon
PR,Puerto Rico,Puerto Rico,00957,Bayamon,Bayamon,021,,,,,18.3986,-66.1557,4,bayamon
PR,Puerto Rico,Puerto Rico,00958,Bayamon,Bayamon,021,,,,,18.3986,-66.1557,4,bayamon
PR,Puerto Rico,Puerto Rico,00959,Bayamon,Bayamon,021,,,,,18.3986,-66.1557,4,bayamon
PR,Puerto Rico,Puerto Rico,00960,Bayamon,Bayamon,021,,,,,18.3986,-66.1557,4,bayamon
PR,Puerto Rico,Puerto Rico,00961,Bayamon,Bayamon,021,,,,,18.3986,-66.1557,4,bayamon
PR,Puerto Rico,Puerto Rico,00622,Boqueron,Cabo Rojo,023,,,,,18.0269,-67.1691,4,boqueron
PR,Puerto Rico,Puerto Rico,00623,Cabo Rojo,Cabo Rojo,023,,,,,18.0866,-67.1457,4,cabo-rojo
PR,Puerto Rico,Puerto Rico,00725,Caguas,Caguas,025,,,,,18.2341,-66.0485,4,caguas
PR,Puerto Rico,Puerto Rico,00726,Caguas,Caguas,025,,,,,18.2341,-66.0485,4,caguas
PR,Puerto Rico,Puerto Rico,00727,Caguas,Caguas,025,,,,,18.2341,-66.0485,4,caguas
PR,Puerto Rico,Puerto Rico,00627,Camuy,Camuy,027,,,,,18.4838,-66.8449,4,camuy
PR,Puerto Rico,Puerto Rico,00729,Canovanas,Canovanas,029,,,,,18.3751,-65.8993,4,canovanas
PR,Puerto Rico,Puerto Rico,00983,Carolina,Carolina,031,,,,,18.3808,-65.9574,4,carolina
PR,Puerto Rico,Puerto Rico,00984,Carolina,Carolina,031,,,,,18.3808,-65.9574,4,carolina
PR,Puerto Rico,Puerto Rico,00985,Carolina,Carolina,031,,,,,18.3808,-65.9574,4,carolina
PR,Puerto Rico,Puerto Rico,00986,Carolina,Carolina,031,,,,,18.3808,-65.9574,4,carolina
PR,Puerto Rico,Puerto Rico,00987,Carolina,Carolina,031,,,,,18.3808,-65.9574,4,carolina
PR,Puerto Rico,Puerto Rico,00988,Carolina,Carolina,031,,,,,18.3808,-65.9574,4,carolina
PR,Puerto Rico,Puerto Rico,00962,Catano,Catano,033,,,,,18.4413,-66.1182,4,catano
PR,Puerto Rico,Puerto Rico,00963,Catano,Catano,033,,,,,18.4413,-66.1182,4,catano
PR,Puerto Rico,Puerto Rico,00736,Cayey,Cayey,035,,,,,18.1119,-66.166,4,cayey
PR,Puerto Rico,Puerto Rico,00737,Cayey,Cayey,035,,,,,18.1119,-66.166,4,cayey
PR,Puerto Rico,Puerto Rico,00735,Ceiba,Ceiba,037,,,,,18.2641,-65.6485,4,ceiba
PR,Puerto Rico,Puerto Rico,00742,Roosevelt Roads,Ceiba,037,,,,,18.235,-65.6291,4,roosevelt-roads
PR,Puerto Rico,Puerto Rico,00638,Ciales,Ciales,039,,,,,18.3361,-66.4688,4,ciales
PR,Puerto Rico,Puerto Rico,00739,Cidra,Cidra,041,,,,,18.1758,-66.1613,4,cidra
PR,Puerto Rico,Puerto Rico,00769,Coamo,Coamo,043,,,,,18.08,-66.3579,4,coamo
PR,Puerto Rico,Puerto Rico,00782,Comerio,Comerio,045,,,,,18.218,-66.226,4,comerio
PR,Puerto Rico,Puerto Rico,00783,Corozal,Corozal,047,,,,,18.3411,-66.3168,4,corozal
PR,Puerto Rico,Puerto Rico,00775,Culebra,Culebra,049,,,,,18.303,-65.301,4,culebra
PR,Puerto Rico,Puerto Rico,00646,Dorado,Dorado,051,,,,,18.4588,-66.2677,4,dorado
PR,Puerto Rico,Puerto Rico,00738,Fajardo,Fajardo,053,,,,,18.3258,-65.6524,4,fajardo
PR,Puerto Rico,Puerto Rico,00740,Puerto Real,Fajardo,053,,,,,18.25,-65.7493,1,puerto-real
PR,Puerto Rico,Puerto Rico,00650,Florida,Florida,054,,,,,18.3624,-66.5613,4,florida
PR,Puerto Rico,Puerto Rico,00647,Ensenada,Guanica,055,,,,,17.9689,-66.9335,4,ensenada
PR,Puerto Rico,Puerto Rico,00653,Guanica,Guanica,055,,,,,17.9716,-66.908,4,guanica
PR,Puerto Rico,Puerto Rico,00704,Aguirre,Guayama,057,,,,,17.9529,-66.262,4,aguirre
PR,Puerto Rico,Puerto Rico,00784,Guayama,Guayama,057,,,,,17.9841,-66.1138,4,guayama
PR,Puerto Rico,Puerto Rico,00656,Guayanilla,Guayanilla,059,,,,,18.0191,-66.7918,4,guayanilla
PR,Puerto Rico,Puerto Rico,00785,Guayama,Guayanilla,059,,,,,17.9841,-66.1138,4,guayama
PR,Puerto Rico,Puerto Rico,00965,Guaynabo,Guaynabo,061,,,,,18.3575,-66.111,4,guaynabo
PR,Puerto Rico,Puerto Rico,00966,Guaynabo,Guaynabo,061,,,,,18.3575,-66.111,4,guaynabo
PR,Puerto Rico,Puerto Rico,00969,Guaynabo,Guaynabo,061,,,,,18.3575,-66.111,4,guaynabo
PR,Puerto Rico,Puerto Rico,00970,Guaynabo,Guaynabo,061,,,,,18.3575,-66.111,4,guaynabo
PR,Puerto Rico,Puerto Rico,00971,Guaynabo,Guaynabo,061,,,,,18.3575,-66.111,4,guaynabo
PR,Puerto Rico,Puerto Rico,00778,Gurabo,Gurabo,063,,,,,18.2544,-65.9729,4,gurabo
PR,Puerto Rico,Puerto Rico,00659,Hatillo,Hatillo,065,,,,,18.4863,-66.8255,4,hatillo
PR,Puerto Rico,Puerto Rico,00660,Hormigueros,Hormigueros,067,,,,,18.1397,-67.1274,4,hormigueros
PR,Puerto Rico,Puerto Rico,00741,Punta Santiago,Humacao,069,,,,,18.1663,-65.7482,4,punta-santiago
PR,Puerto Rico,Puerto Rico,00791,Humacao,Humacao,069,,,,,18.1497,-65.8274,4,humacao
PR,Puerto Rico,Puerto Rico,00792,Humacao,Humacao,069,,,,,18.1497,-65.8274,4,humacao
PR,Puerto Rico,Puerto Rico,00662,Isabela,Isabela,071,,,,,18.5008,-67.0243,4,isabela
PR,Puerto Rico,Puerto Rico,00664,Jayuya,Jayuya,073,,,,,18.2186,-66.5916,4,jayuya
PR,Puerto Rico,Puerto Rico,00795,Juana Diaz,Juana Diaz,075,,,,,18.0525,-66.5066,4,juana-diaz
PR,Puerto Rico,Puerto Rico,00777,Juncos,Juncos,077,,,,,18.2275,-65.921,4,juncos
PR,Puerto Rico,Puerto Rico,00667,Lajas,Lajas,079,,,,,18.05,-67.0593,4,lajas
PR,Puerto Rico,Puerto Rico,00631,Castaner,Lares,081,,,,,18.1805,-66.8321,4,castaner
PR,Puerto Rico,Puerto Rico,00669,Lares,Lares,081,,,,,18.2947,-66.8771,4,lares
PR,Puerto Rico,Puerto Rico,00670,Las Marias,Las Marias,083,,,,,18.2519,-66.9921,4,las-marias
PR,Puerto Rico,Puerto Rico,00771,Las Piedras,Las Piedras,085,,,,,18.183,-65.8663,4,las-piedras
PR,Puerto Rico,Puerto Rico,00772,Loiza,Loiza,087,,,,,18.4313,-65.8802,4,loiza
PR,Puerto Rico,Puerto Rico,00773,Luquillo,Luquillo,089,,,,,18.3725,-65.7166,4,luquillo
PR,Puerto Rico,Puerto Rico,00674,Manati,Manati,091,,,,,18.4274,-66.4921,4,manati
PR,Puerto Rico,Puerto Rico,00606,Maricao,Maricao,093,,,,,18.1808,-66.9799,4,maricao
PR,Puerto Rico,Puerto Rico,00707,Maunabo,Maunabo,095,,,,,18.0072,-65.8993,4,maunabo
PR,Puerto Rico,Puerto Rico,00680,Mayaguez,Mayaguez,097,,,,,18.2011,-67.1396,4,mayaguez
PR,Puerto Rico,Puerto Rico,00681,Mayaguez,Mayaguez,097,,,,,18.2011,-67.1396,4,mayaguez
PR,Puerto Rico,Puerto Rico,00682,Mayaguez,Mayaguez,097,,,,,18.2011,-67.1396,4,mayaguez
PR,Puerto Rico,Puerto Rico,00676,Moca,Moca,099,,,,,18.3947,-67.1132,4,moca
PR,Puerto Rico,Puerto Rico,00687,Morovis,Morovis,101,,,,,18.3258,-66.4066,4,morovis
PR,Puerto Rico,Puerto Rico,00718,Naguabo,Naguabo,103,,,,,18.2116,-65.7349,4,naguabo
PR,Puerto Rico,Puerto Rico,00744,Rio Blanco,Naguabo,103,,,,,18.2183,-65.7885,4,rio-blanco
PR,Puerto Rico,Puerto Rico,00719,Naranjito,Naranjito,105,,,,,18.3008,-66.2449,4,naranjito
PR,Puerto Rico,Puerto Rico,00720,Orocovis,Orocovis,107,,,,,18.2269,-66.391,4,orocovis
PR,Puerto Rico,Puerto Rico,00723,Patillas,Patillas,109,,,,,18.0064,-66.0157,4,patillas
PR,Puerto Rico,Puerto Rico,00624,Penuelas,Penuelas,111,,,,,18.0564,-66.7216,4,penuelas
PR,Puerto Rico,Puerto Rico,00715,Mercedita,Ponce,113,,,,,18.011,-66.5632,4,mercedita
PR,Puerto Rico,Puerto Rico,00716,Ponce,Ponce,113,,,,,18.0111,-66.6141,4,ponce
