country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
PT,Portugal,Portugal,4970-010,Aboim,Viana do Castelo,20,Arcos de Valdevez,1601,Aboim Das Choças,160101,41.986,-8.4125,1,aboim
PT,Portugal,Portugal,4970-011,Barral,Viana do Castelo,20,Arcos de Valdevez,1601,Aboim Das Choças,160101,41.9249,-8.4526,4,barral
PT,Portugal,Portugal,4970-012,Bouças,Viana do Castelo,20,Arcos de Valdevez,1601,Aboim Das Choças,160101,41.9249,-8.4526,4,boucas
PT,Portugal,Portugal,4970-013,Choças (Aboim),Viana do Castelo,20,Arcos de Valdevez,1601,Aboim Das Choças,160101,41.986,-8.4125,1,chocas-aboim
PT,Portugal,Portugal,4970-014,Costa do Monte,Viana do Castelo,20,Arcos de Valdevez,1601,Aboim Das Choças,160101,41.986,-8.4125,1,costa-do-monte
PT,Portugal,Portugal,4970-015,Lavandeira,Viana do Castelo,20,Arcos de Valdevez,1601,Aboim Das Choças,160101,41.9249,-8.4526,4,lavandeira
PT,Portugal,Portugal,4970-016,Longra,Viana do Castelo,20,Arcos de Valdevez,1601,Aboim Das Choças,160101,41.9274,-8.4556,4,longra
PT,Portugal,Portugal,4970-017,Pedreira,Viana do Castelo,20,Arcos de Valdevez,1601,Aboim Das Choças,160101,41.9249,-8.4526,4,pedreira
PT,Portugal,Portugal,4970-018,Vilar,Viana do Castelo,20,Arcos de Valdevez,1601,Aboim Das Choças,160101,41.9249,-8.4526,4,vilar
PT,Portugal,Portugal,4970-019,Paços,Viana do Castelo,20,Arcos de Valdevez,1601,Aboim Das Choças,160101,41.9249,-8.4526,4,pacos
PT,Portugal,Portugal,4970-032,Bouça Soeiro,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8811,-8.4423,4,bouca-soeiro
PT,Portugal,Portugal,4970-033,Bouçôs,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8816,-8.4432,4,boucos
PT,Portugal,Portugal,4970-034,Cardida,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8833,-8.45,4,cardida
PT,Portugal,Portugal,4970-035,Cerdeira,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8816,-8.4432,4,cerdeira
PT,Portugal,Portugal,4970-036,Chanla,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.9577,-8.4358,1,chanla
PT,Portugal,Portugal,4970-037,Chedas,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.9577,-8.4358,1,chedas
PT,Portugal,Portugal,4970-038,Cruzes,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.9577,-8.4358,1,cruzes
PT,Portugal,Portugal,4970-039,Outeiro,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8816,-8.4432,4,outeiro
PT,Portugal,Portugal,4970-041,Pedreira,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8816,-8.4432,4,pedreira
PT,Portugal,Portugal,4970-042,Penagude,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.9102,-8.4661,1,penagude
PT,Portugal,Portugal,4970-043,Penedinhos,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.9102,-8.4661,1,penedinhos
PT,Portugal,Portugal,4970-044,Quintães,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.9102,-8.4661,1,quintaes
PT,Portugal,Portugal,4970-046,São Martinho,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8816,-8.4432,4,sao-martinho
PT,Portugal,Portugal,4970-047,Senra,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8816,-8.4432,4,senra
PT,Portugal,Portugal,4970-048,Souto Novo,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.9102,-8.4661,1,souto-novo
PT,Portugal,Portugal,4970-049,Vila Nova,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8816,-8.4432,4,vila-nova
PT,Portugal,Portugal,4970-050,Viso,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8816,-8.4432,1,viso
PT,Portugal,Portugal,4970-051,Aguiã,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8845,-8.4434,4,aguia
PT,Portugal,Portugal,4970-052,Seara,Viana do Castelo,20,Arcos de Valdevez,1601,Aguiã,160102,41.8816,-8.4432,4,seara
PT,Portugal,Portugal,4970-062,Casaldoufes,Viana do Castelo,20,Arcos de Valdevez,1601,Alvora,160103,41.9001,-8.4587,1,casaldoufes
PT,Portugal,Portugal,4970-063,Choças,Viana do Castelo,20,Arcos de Valdevez,1601,Alvora,160103,41.9276,-8.4438,4,chocas
PT,Portugal,Portugal,4970-064,São Martinho,Viana do Castelo,20,Arcos de Valdevez,1601,Alvora,160103,41.9525,-8.4392,4,sao-martinho
PT,Portugal,Portugal,4970-065,Fonte,Viana do Castelo,20,Arcos de Valdevez,1601,Alvora,160103,41.9525,-8.4392,4,fonte
PT,Portugal,Portugal,4970-066,Barbeitos,Viana do Castelo,20,Arcos de Valdevez,1601,Alvora,160103,41.9537,-8.4382,4,barbeitos
PT,Portugal,Portugal,4970-071,Além,Viana do Castelo,20,Arcos de Valdevez,1601,Ázere Avv,,41.8315,-8.6617,4,alem
PT,Portugal,Portugal,4970-072,Nunide,Viana do Castelo,20,Arcos de Valdevez,1601,Ázere Avv,,41.8417,-8.4464,1,nunide
