country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
SG,Singapore,Singapur,018906,Straits Boulevard,,,,,,,1.2758,103.8496,,straits-boulevard
SG,Singapore,Singapur,018907,Straits Boulevard,,,,,,,1.2749,103.8517,,straits-boulevard
SG,Singapore,Singapur,018910,Marina Gardens Drive,,,,,,,1.2796,103.869,,marina-gardens-drive
SG,Singapore,Singapur,018915,Central Boulevard,,,,,,,1.2737,103.8601,,central-boulevard
SG,Singapore,Singapur,018916,Central Boulevard,,,,,,,1.2798,103.8515,,central-boulevard
SG,Singapore,Singapur,018925,Park Street,,,,,,,1.2764,103.8546,,park-street
SG,Singapore,Singapur,018926,Park Street,,,,,,,1.2763,103.8554,,park-street
SG,Singapore,Singapur,018927,Park Street,,,,,,,1.2752,103.8537,,park-street
SG,Singapore,Singapur,018928,Park Street,,,,,,,1.2777,103.8503,,park-street
SG,Singapore,Singapur,018929,Park Street,,,,,,,1.275,103.8552,,park-street
SG,Singapore,Singapur,018930,Marina South Drive,,,,,,,1.2754,103.867,,marina-south-drive
SG,Singapore,Singapur,018935,Straits View,,,,,,,1.2774,103.8528,,straits-view
SG,Singapore,Singapur,018936,Straits View,,,,,,,1.2779,103.8529,,straits-view
SG,Singapore,Singapur,018937,Straits View,,,,,,,1.2771,103.8523,,straits-view
SG,Singapore,Singapur,018940,Marina Boulevard,,,,,,,1.2803,103.8562,,marina-boulevard
SG,Singapore,Singapur,018946,Marina Coastal Drive,,,,,,,1.27,103.8573,,marina-coastal-drive
SG,Singapore,Singapur,018947,Marina Coastal Drive,,,,,,,1.2661,103.8606,,marina-coastal-drive
SG,Singapore,Singapur,018948,Marina Coastal Drive,,,,,,,1.271,103.8624,,marina-coastal-drive
SG,Singapore,Singapur,018951,Marina Gardens Drive,,,,,,,1.2799,103.8705,,marina-gardens-drive
SG,Singapore,Singapur,018953,Marina Gardens Drive,,,,,,,1.2829,103.8649,,marina-gardens-drive
SG,Singapore,Singapur,018955,Bayfront Avenue,,,,,,,1.2841,103.8595,,bayfront-avenue
SG,Singapore,Singapur,018956,Bayfront Avenue,,,,,,,1.2824,103.8584,,bayfront-avenue
SG,Singapore,Singapur,018957,Bayfront Avenue,,,,,,,1.2819,103.8591,,bayfront-avenue
SG,Singapore,Singapur,018958,Bayfront Avenue,,,,,,,1.2842,103.859,,bayfront-avenue
SG,Singapore,Singapur,018959,Bayfront Avenue,,,,,,,1.2794,103.8587,,bayfront-avenue
SG,Singapore,Singapur,018960,Marina View,,,,,,,1.2789,103.8512,,marina-view
SG,Singapore,Singapur,018961,Marina View,,,,,,,1.2783,103.8509,,marina-view
SG,Singapore,Singapur,018962,Marina View,,,,,,,1.2748,103.849,,marina-view
SG,Singapore,Singapur,018965,Central Boulevard,,,,,,,1.2803,103.8521,,central-boulevard
SG,Singapore,Singapur,018969,Central Boulevard,,,,,,,1.2794,103.8528,,central-boulevard
SG,Singapore,Singapur,018971,Bayfront Avenue,,,,,,,1.284,103.8608,,bayfront-avenue
SG,Singapore,Singapur,018972,Bayfront Avenue,,,,,,,1.2838,103.8587,,bayfront-avenue
SG,Singapore,Singapur,018973,Bayfront Avenue,,,,,,,1.2852,103.86,,bayfront-avenue
SG,Singapore,Singapur,018974,Bayfront Avenue,,,,,,,1.2862,103.8593,,bayfront-avenue
SG,Singapore,Singapur,018978,Marina Way,,,,,,,1.2767,103.8533,,marina-way
SG,Singapore,Singapur,018979,Marina Way,,,,,,,1.2772,103.8537,,marina-way
SG,Singapore,Singapur,018980,Marina Boulevard,,,,,,,1.2796,103.855,,marina-boulevard
