country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
SI,Slovenia,Eslovenia,1000,Ljubljana - dostava,,,,,,,46.0511,14.5051,,ljubljana-dostava
SI,Slovenia,Eslovenia,1001,Ljubljana - poštni predali,,,,,,,46.0511,14.5051,,ljubljana-postni-predali
SI,Slovenia,Eslovenia,1210,Ljubljana Šentvid,,,,,,,46.0964,14.4697,4,ljubljana-sentvid
SI,Slovenia,Eslovenia,1211,Ljubljana-Šmartno,,,,,,,46.168,14.5217,1,ljubljana-smartno
SI,Slovenia,Eslovenia,1215,Medvode,,,,,,,46.1333,14.4333,4,medvode
SI,Slovenia,Eslovenia,1216,Smlednik,,,,,,,46.1642,14.4325,4,smlednik
SI,Slovenia,Eslovenia,1217,Vodice,,,,,,,46.1899,14.4949,4,vodice
SI,Slovenia,Eslovenia,1218,Komenda,,,,,,,46.2048,14.5384,4,komenda
SI,Slovenia,Eslovenia,1219,Laze v Tuhinju,,,,,,,46.2194,14.7611,4,laze-v-tuhinju
SI,Slovenia,Eslovenia,1221,Motnik,,,,,,,46.2153,14.8911,4,motnik
SI,Slovenia,Eslovenia,1222,Trojane,,,,,,,46.1883,14.8831,4,trojane
SI,Slovenia,Eslovenia,1223,Blagovica,,,,,,,46.1769,14.8072,4,blagovica
SI,Slovenia,Eslovenia,1225,Lukovica,,,,,,,46.1667,14.7,4,lukovica
SI,Slovenia,Eslovenia,1230,Domžale,,,,,,,46.1377,14.5937,4,domzale
SI,Slovenia,Eslovenia,1231,Ljubljana Črnuče,,,,,,,46.1527,14.5952,1,ljubljana-crnuce
SI,Slovenia,Eslovenia,1233,Dob,,,,,,,46.1519,14.6286,4,dob
SI,Slovenia,Eslovenia,1234,Mengeš,,,,,,,46.1669,14.575,4,menges
SI,Slovenia,Eslovenia,1235,Radomlje,,,,,,,46.1736,14.6122,4,radomlje
SI,Slovenia,Eslovenia,1236,Trzin,,,,,,,46.1333,14.5667,4,trzin
SI,Slovenia,Eslovenia,1241,Kamnik,,,,,,,46.2259,14.6121,4,kamnik
SI,Slovenia,Eslovenia,1242,Stahovica,,,,,,,46.2619,14.6022,4,stahovica
SI,Slovenia,Eslovenia,1251,Moravče,,,,,,,46.1369,14.745,4,moravce
SI,Slovenia,Eslovenia,1252,Vače,,,,,,,46.12,14.8392,4,vace
SI,Slovenia,Eslovenia,1260,Ljubljana Polje,,,,,,,46.0667,14.5833,4,ljubljana-polje
SI,Slovenia,Eslovenia,1261,Ljubljana-Dobrunje,,,,,,,46.0333,14.5833,4,ljubljana-dobrunje
SI,Slovenia,Eslovenia,1262,Dol pri Ljubljani,,,,,,,46.0886,14.6008,4,dol-pri-ljubljani
SI,Slovenia,Eslovenia,1270,Litija,,,,,,,46.0586,14.8225,4,litija
SI,Slovenia,Eslovenia,1272,Polšnik,,,,,,,46.0667,14.95,4,polsnik
SI,Slovenia,Eslovenia,1273,Dole pri Litiji,,,,,,,46.0353,15.0189,4,dole-pri-litiji
SI,Slovenia,Eslovenia,1274,Gabrovka,,,,,,,46.0167,15,4,gabrovka
SI,Slovenia,Eslovenia,1275,Šmartno pri Litiji,,,,,,,46.0444,14.8442,4,smartno-pri-litiji
SI,Slovenia,Eslovenia,1276,Primskovo,,,,,,,45.9717,14.9104,4,primskovo
SI,Slovenia,Eslovenia,1281,Kresnice,,,,,,,46.102,14.7858,4,kresnice
SI,Slovenia,Eslovenia,1282,Sava,,,,,,,46.0898,14.8904,4,sava
SI,Slovenia,Eslovenia,1290,Grosuplje,,,,,,,45.9556,14.6589,4,grosuplje
SI,Slovenia,Eslovenia,1291,Škofljica,,,,,,,45.9833,14.5767,4,skofljica
SI,Slovenia,Eslovenia,1292,Ig,,,,,,,45.9603,14.5289,4,ig
SI,Slovenia,Eslovenia,1293,Šmarje-Sap,,,,,,,45.9762,14.6118,4,smarje-sap
SI,Slovenia,Eslovenia,1294,Višnja Gora,,,,,,,45.9539,14.7453,4,visnja-gora
SI,Slovenia,Eslovenia,1295,Ivančna Gorica,,,,,,,45.9383,14.8044,4,ivancna-gorica
SI,Slovenia,Eslovenia,1296,Šentvid pri Stični,,,,,,,45.95,14.8434,4,sentvid-pri-sticni
SI,Slovenia,Eslovenia,1301,Krka,,,,,,,45.8813,14.7781,4,krka
SI,Slovenia,Eslovenia,1303,Zagradec,,,,,,,45.8614,14.8342,4,zagradec
SI,Slovenia,Eslovenia,1310,Ribnica,,,,,,,45.7386,14.7275,4,ribnica
SI,Slovenia,Eslovenia,1311,Turjak,,,,,,,45.8789,14.6153,4,turjak
SI,Slovenia,Eslovenia,1312,Videm-Dobrepolje,,,,,,,45.85,14.6942,4,videm-dobrepolje
SI,Slovenia,Eslovenia,1313,Struge,,,,,,,45.7817,14.7747,4,struge
SI,Slovenia,Eslovenia,1314,Rob,,,,,,,45.8486,14.5722,4,rob
