country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
SK,Slovakia,República Eslovaca,974 01,Banská Bystrica 1,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.7321,19.1784,3,banska-bystrica-1
SK,Slovakia,República Eslovaca,974 01,Banská Bystrica,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.7395,19.1535,4,banska-bystrica
SK,Slovakia,República Eslovaca,974 01,Čerín - Čačín,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.6668,19.255,4,cerin-cacin
SK,Slovakia,República Eslovaca,974 01,Špania Dolina,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.8075,19.1341,4,spania-dolina
SK,Slovakia,República Eslovaca,974 01,Riečka,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.7562,19.0768,4,riecka
SK,Slovakia,República Eslovaca,974 01,Kynceľová,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.7499,19.1857,4,kyncelova
SK,Slovakia,República Eslovaca,974 01,Dolná Mičiná,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.6754,19.2223,4,dolna-micina
SK,Slovakia,República Eslovaca,974 01,Môlča,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.712,19.2269,3,molca
SK,Slovakia,República Eslovaca,974 01,Nemce,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.7622,19.1853,4,nemce
SK,Slovakia,República Eslovaca,974 01,Sebedín-Bečov,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.6399,19.2406,3,sebedin-becov
SK,Slovakia,República Eslovaca,974 01,Horná Mičiná,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.6989,19.2144,4,horna-micina
SK,Slovakia,República Eslovaca,974 04,Banská Bystrica,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.7395,19.1535,4,banska-bystrica
SK,Slovakia,República Eslovaca,974 05,Horné Pršany,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.6996,19.0833,4,horne-prsany
SK,Slovakia,República Eslovaca,974 05,Malachov,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.7103,19.0897,4,malachov
SK,Slovakia,República Eslovaca,974 09,Banská Bystrica,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.7395,19.1535,4,banska-bystrica
SK,Slovakia,República Eslovaca,974 11,Banská Bystrica,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.7395,19.1535,4,banska-bystrica
SK,Slovakia,República Eslovaca,976 02,Staré Hory,Banska Bystrica,BC,Okres Banská Bystrica,601,,,48.8391,19.1148,4,stare-hory
